"","df","logLik","AICc","delta","weight"
"1+4+6+7+8+10+11",10,-1853.23269057261,3726.60550853376,0,0.21930453270168
"4+5+6+7+8+10+11",10,-1853.68883771237,3727.51780281327,0.912294279508387,0.138977796701395
"1+4+5+6+7+8+10+11",11,-1852.69331194933,3727.55488393689,0.949375403130944,0.136424810304824
"1+2+4+6+7+8+10+11",11,-1852.85671384235,3727.88168772295,1.27617918918259,0.11585874453681
"1+3+4+6+7+8+10+11",11,-1852.90897334973,3727.98620673771,1.38069820394139,0.109959511657378
"2+4+5+6+7+8+10+11",11,-1852.97078488595,3728.10982981014,1.50432127637578,0.103368542637606
"1+2+4+5+6+7+8+10+11",12,-1852.09192211027,3728.38282381238,1.77731527861988,0.090179640350403
"1+4+6+7+8+9+10+11",11,-1853.15559421037,3728.47944845898,1.87393992521629,0.085926421109904
