"","df","logLik","AICc","delta","weight"
"2+6+9+10",7,-911.20508257814,1836.56090539854,0,0.0696377877300884
"2+5+6+10",7,-911.308855139668,1836.7684505216,0.207545123056207,0.06277361146961
"2+6+10",6,-912.331671136597,1836.776245499,0.215340100459116,0.0625294281880519
"2+5+6+9+10",8,-910.383255190326,1836.96058046151,0.399675062973074,0.0570238622205061
"2+3+5+6+10",8,-910.485142507742,1837.16435509635,0.603449697804535,0.0515000355655638
"2+5+9+10",7,-911.539083126213,1837.22890649469,0.668001096144963,0.0498643739607666
"2+4+6+9+10",8,-910.521637649771,1837.23734538041,0.67643998186395,0.0496544173455853
"2+9+10",6,-912.734493078377,1837.58188938256,1.02098398401881,0.0417966149901964
"2+4+6+10",7,-911.79661912882,1837.7439784999,1.18307310135924,0.0385428572109712
"2+4+5+6+9+10",9,-909.785216831311,1837.81334864238,1.25244324383834,0.0372289142907959
"2+3+5+6+9+10",9,-909.809498772113,1837.86191252398,1.30100712544186,0.0363358110199009
"2+4+5+6+10",8,-910.844611938121,1837.88329395711,1.32238855856394,0.035949424219207
"2+5+7+9+10",8,-910.90892727589,1838.01192463264,1.45101923410175,0.0337101079014447
"1+2+5+6+10",8,-910.914381580698,1838.02283324226,1.46192784371669,0.0335267432158833
"1+2+5+6+9+10",9,-909.982618890939,1838.20815276164,1.64724736309358,0.0305597463933939
"2+3+4+5+6+10",9,-909.993037231574,1838.2289894429,1.66808404436301,0.0302430173063733
"2+3+5+9+10",8,-911.028506016318,1838.2510821135,1.69017671495749,0.0299107811710046
"2+5+6+7+9+10",9,-910.0214064681,1838.28572791596,1.72482251741553,0.0293971017177832
"2+5+10",6,-913.088913291075,1838.29072980796,1.72982440941428,0.0293236730127351
"2+3+6+10",7,-912.087833721184,1838.32640768463,1.76550228608721,0.0288052079998482
"2+3+6+9+10",8,-911.068107703846,1838.33028548855,1.76938009001287,0.0287494116348381
"4+5+6+8+10",8,-911.114865517378,1838.42380111562,1.86289571707721,0.0274360951753614
"5+6+8+10",7,-912.149705491661,1838.45015122558,1.88924582704112,0.0270769938969265
"2+6+7+10",7,-912.174339071924,1838.49941838611,1.93851298756817,0.026418138889815
"4+5+6+8+9+10",9,-910.131950297296,1838.50681557435,1.94591017580819,0.0263206093888552
"2+6+8+9+10",8,-911.180808728462,1838.55568753779,1.99478213924431,0.0256852340844942
