"","(Intercept)","ai","bio_1","bio_12","bio_15","bio_4","lat","srad","wind","df","logLik","AICc","delta","weight"
"95",-0.149,NA,-0.284,-0.141,-0.002,-0.142,NA,0.174,NA,8,-2085.781,4187.654,5.306,0.014
"256",-0.151,-0.05,-0.25,-0.081,0.01,-0.217,0.11,0.135,0.02,11,-2082.754,4187.676,5.329,0.013
"223",-0.151,NA,-0.267,-0.141,0.007,-0.152,NA,0.152,0.043,9,-2084.841,4187.797,5.45,0.013
"220",-0.146,-0.134,-0.288,NA,0.015,-0.158,NA,0.113,0.046,9,-2085.216,4188.546,6.199,0.009
"92",-0.143,-0.133,-0.306,NA,0.005,-0.147,NA,0.135,NA,8,-2086.264,4188.619,6.272,0.008
"96",-0.146,-0.048,-0.29,-0.096,-0.001,-0.145,NA,0.16,NA,9,-2085.608,4189.331,6.984,0.006
"224",-0.148,-0.052,-0.274,-0.09,0.009,-0.156,NA,0.137,0.044,10,-2084.632,4189.403,7.056,0.006
"188",-0.139,-0.151,-0.198,NA,0.041,-0.237,0.111,NA,0.071,9,-2088.897,4195.909,13.561,0
"71",-0.152,NA,-0.198,-0.112,NA,NA,NA,0.171,NA,6,-2092.196,4196.445,14.097,0
"180",-0.139,-0.17,-0.197,NA,NA,-0.243,0.109,NA,0.064,8,-2090.25,4196.591,14.244,0
"192",-0.139,-0.212,-0.219,0.074,0.041,-0.237,0.115,NA,0.063,10,-2088.345,4196.83,14.483,0
"184",-0.138,-0.23,-0.218,0.071,NA,-0.243,0.112,NA,0.056,9,-2089.735,4197.584,15.237,0
"156",-0.136,-0.161,-0.223,NA,0.04,-0.176,NA,NA,0.095,8,-2090.813,4197.718,15.371,0
"199",-0.153,NA,-0.189,-0.113,NA,NA,NA,0.164,0.017,7,-2092.041,4198.154,15.807,0
"103",-0.151,NA,-0.212,-0.116,NA,NA,-0.02,0.173,NA,7,-2092.073,4198.217,15.869,0
"148",-0.136,-0.18,-0.222,NA,NA,-0.182,NA,NA,0.088,7,-2092.092,4198.255,15.908,0
"68",-0.149,-0.103,-0.215,NA,NA,NA,NA,0.144,NA,6,-2093.124,4198.301,15.953,0
"79",-0.151,NA,-0.199,-0.109,0.008,NA,NA,0.168,NA,7,-2092.143,4198.357,16.01,0
"72",-0.152,-0.001,-0.198,-0.112,NA,NA,NA,0.171,NA,7,-2092.196,4198.463,16.115,0
"123",-0.17,NA,-0.273,NA,0.044,-0.193,0.16,0.154,NA,8,-2091.262,4198.615,16.267,0
"64",-0.134,-0.243,-0.225,0.108,0.035,-0.251,0.161,NA,NA,9,-2090.343,4198.801,16.453,0
"56",-0.134,-0.256,-0.223,0.103,NA,-0.255,0.155,NA,NA,8,-2091.359,4198.81,16.462,0
"160",-0.136,-0.216,-0.243,0.066,0.04,-0.174,NA,NA,0.089,9,-2090.37,4198.854,16.506,0
"52",-0.134,-0.171,-0.192,NA,NA,-0.257,0.159,NA,NA,7,-2092.497,4199.065,16.718,0
"60",-0.134,-0.155,-0.193,NA,0.033,-0.254,0.165,NA,NA,8,-2091.597,4199.286,16.939,0
"152",-0.135,-0.233,-0.241,0.064,NA,-0.181,NA,NA,0.082,8,-2091.679,4199.45,17.102,0
"231",-0.152,NA,-0.207,-0.12,NA,NA,-0.036,0.163,0.028,8,-2091.713,4199.518,17.171,0
"207",-0.153,NA,-0.188,-0.108,0.013,NA,NA,0.158,0.021,8,-2091.914,4199.919,17.571,0
"115",-0.174,NA,-0.281,NA,NA,-0.19,0.153,0.171,NA,7,-2092.928,4199.927,17.58,0
"76",-0.148,-0.098,-0.216,NA,0.015,NA,NA,0.14,NA,7,-2092.941,4199.954,17.606,0
"196",-0.15,-0.103,-0.206,NA,NA,NA,NA,0.137,0.016,7,-2092.987,4200.045,17.697,0
"100",-0.147,-0.107,-0.229,NA,NA,NA,-0.02,0.145,NA,7,-2092.998,4200.067,17.72,0
"200",-0.153,0,-0.189,-0.113,NA,NA,NA,0.164,0.017,8,-2092.041,4200.174,17.827,0
"111",-0.15,NA,-0.212,-0.113,0.006,NA,-0.018,0.171,NA,8,-2092.044,4200.179,17.831,0
"104",-0.15,-0.005,-0.212,-0.112,NA,NA,-0.02,0.172,NA,8,-2092.071,4200.233,17.886,0
"80",-0.151,-0.003,-0.2,-0.106,0.008,NA,NA,0.168,NA,8,-2092.142,4200.376,18.029,0
"251",-0.17,NA,-0.271,NA,0.046,-0.191,0.153,0.149,0.012,9,-2091.203,4200.52,18.172,0
"239",-0.151,NA,-0.206,-0.115,0.012,NA,-0.035,0.158,0.032,9,-2091.609,4201.333,18.985,0
"228",-0.148,-0.111,-0.225,NA,NA,NA,-0.036,0.134,0.027,8,-2092.665,4201.422,19.075,0
"204",-0.149,-0.096,-0.204,NA,0.02,NA,NA,0.129,0.023,8,-2092.678,4201.447,19.099,0
"232",-0.151,-0.007,-0.208,-0.113,NA,NA,-0.037,0.161,0.028,9,-2091.709,4201.533,19.185,0
"108",-0.147,-0.102,-0.227,NA,0.013,NA,-0.017,0.142,NA,8,-2092.858,4201.808,19.46,0
"243",-0.174,NA,-0.282,NA,NA,-0.191,0.156,0.173,-0.006,8,-2092.913,4201.918,19.571,0
"208",-0.152,-0.004,-0.189,-0.104,0.013,NA,NA,0.157,0.021,9,-2091.912,4201.939,19.592,0
"112",-0.15,-0.006,-0.212,-0.107,0.006,NA,-0.019,0.169,NA,9,-2092.04,4202.195,19.848,0
"236",-0.148,-0.104,-0.222,NA,0.019,NA,-0.035,0.127,0.033,9,-2092.386,4202.886,20.538,0
"240",-0.151,-0.011,-0.207,-0.105,0.012,NA,-0.036,0.155,0.032,10,-2091.601,4203.341,20.994,0
"191",-0.147,NA,-0.155,-0.129,0.055,-0.228,0.121,NA,0.088,9,-2093.623,4205.36,23.012,0
"24",-0.126,-0.282,-0.267,0.114,NA,-0.161,NA,NA,NA,7,-2095.791,4205.653,23.306,0
"219",-0.168,NA,-0.308,NA,0.048,-0.101,NA,0.153,0.045,8,-2094.93,4205.952,23.604,0
"91",-0.165,NA,-0.325,NA,0.038,-0.09,NA,0.176,NA,7,-2095.956,4205.984,23.636,0
"32",-0.126,-0.272,-0.27,0.118,0.029,-0.155,NA,NA,NA,8,-2095.104,4206.3,23.953,0
"20",-0.125,-0.188,-0.234,NA,NA,-0.161,NA,NA,NA,6,-2097.188,4206.43,24.082,0
"83",-0.17,NA,-0.33,NA,NA,-0.091,NA,0.19,NA,6,-2097.238,4206.53,24.182,0
"28",-0.125,-0.176,-0.235,NA,0.026,-0.155,NA,NA,NA,7,-2096.614,4207.299,24.952,0
"211",-0.172,NA,-0.32,NA,NA,-0.098,NA,0.178,0.028,7,-2096.813,4207.698,25.35,0
"159",-0.143,NA,-0.179,-0.142,0.054,-0.161,NA,NA,0.115,8,-2095.86,4207.811,25.464,0
"183",-0.147,NA,-0.145,-0.156,NA,-0.234,0.118,NA,0.082,8,-2096.093,4208.277,25.929,0
"117",-0.133,NA,NA,-0.156,NA,-0.165,0.216,0.1,NA,7,-2097.545,4209.161,26.814,0
"75",-0.165,NA,-0.26,NA,0.039,NA,NA,0.172,NA,6,-2098.726,4209.505,27.158,0
"245",-0.135,NA,NA,-0.161,NA,-0.161,0.187,0.087,0.039,8,-2096.825,4209.742,27.395,0
"67",-0.169,NA,-0.265,NA,NA,NA,NA,0.186,NA,5,-2100.068,4210.175,27.827,0
"151",-0.144,NA,-0.169,-0.168,NA,-0.169,NA,NA,0.109,7,-2098.238,4210.548,28.2,0
"203",-0.166,NA,-0.244,NA,0.046,NA,NA,0.157,0.029,7,-2098.289,4210.65,28.303,0
"118",-0.136,0.052,NA,-0.205,NA,-0.162,0.213,0.116,NA,8,-2097.325,4210.741,28.394,0
"107",-0.165,NA,-0.238,NA,0.04,NA,0.029,0.167,NA,7,-2098.458,4210.987,28.64,0
"125",-0.132,NA,NA,-0.152,0.01,-0.165,0.218,0.096,NA,8,-2097.465,4211.021,28.674,0
"253",-0.134,NA,NA,-0.153,0.019,-0.161,0.187,0.079,0.045,9,-2096.582,4211.278,28.93,0
"246",-0.137,0.047,NA,-0.205,NA,-0.159,0.185,0.103,0.038,9,-2096.646,4211.407,29.06,0
"63",-0.142,NA,-0.149,-0.124,0.048,-0.246,0.19,NA,NA,8,-2097.73,4211.552,29.204,0
"99",-0.17,NA,-0.246,NA,NA,NA,0.024,0.183,NA,6,-2099.875,4211.804,29.456,0
"195",-0.17,NA,-0.258,NA,NA,NA,NA,0.181,0.013,6,-2099.972,4211.998,29.651,0
"235",-0.166,NA,-0.234,NA,0.045,NA,0.017,0.157,0.024,8,-2098.213,4212.517,30.169,0
"126",-0.136,0.05,NA,-0.199,0.009,-0.162,0.215,0.112,NA,9,-2097.265,4212.644,30.297,0
"254",-0.137,0.042,NA,-0.193,0.017,-0.159,0.186,0.094,0.043,10,-2096.44,4213.02,30.672,0
"55",-0.142,NA,-0.141,-0.148,NA,-0.251,0.184,NA,NA,7,-2099.668,4213.408,31.061,0
"227",-0.17,NA,-0.245,NA,NA,NA,0.021,0.18,0.007,7,-2099.854,4213.779,31.432,0
"140",-0.139,-0.124,-0.117,NA,0.05,NA,NA,NA,0.077,7,-2100.129,4214.328,31.981,0
"144",-0.138,-0.188,-0.142,0.077,0.051,NA,NA,NA,0.07,8,-2099.526,4215.143,32.796,0
"172",-0.137,-0.134,-0.145,NA,0.048,NA,-0.049,NA,0.091,8,-2099.531,4215.154,32.807,0
"114",-0.128,-0.138,NA,NA,NA,-0.165,0.232,0.057,NA,7,-2100.663,4215.398,33.05,0
"186",-0.128,-0.141,NA,NA,0.039,-0.172,0.194,NA,0.064,8,-2099.846,4215.784,33.436,0
"242",-0.13,-0.142,NA,NA,NA,-0.161,0.204,0.044,0.039,8,-2099.978,4216.048,33.701,0
"176",-0.136,-0.194,-0.166,0.072,0.049,NA,-0.046,NA,0.083,9,-2099.002,4216.118,33.771,0
"178",-0.127,-0.16,NA,NA,NA,-0.178,0.192,NA,0.057,7,-2101.08,4216.232,33.884,0
"132",-0.138,-0.146,-0.11,NA,NA,NA,NA,NA,0.067,6,-2102.179,4216.411,34.063,0
"189",-0.134,NA,NA,-0.148,0.046,-0.183,0.176,NA,0.083,8,-2100.181,4216.454,34.107,0
"190",-0.129,-0.083,NA,-0.071,0.039,-0.179,0.182,NA,0.072,9,-2099.209,4216.532,34.185,0
"122",-0.128,-0.128,NA,NA,0.023,-0.165,0.236,0.053,NA,8,-2100.246,4216.584,34.236,0
"250",-0.129,-0.131,NA,NA,0.032,-0.161,0.203,0.034,0.048,9,-2099.237,4216.589,34.241,0
"164",-0.136,-0.157,-0.142,NA,NA,NA,-0.056,NA,0.083,7,-2101.401,4216.874,34.526,0
"182",-0.129,-0.1,NA,-0.073,NA,-0.185,0.18,NA,0.066,8,-2100.421,4216.933,34.585,0
"136",-0.138,-0.209,-0.134,0.075,NA,NA,NA,NA,0.06,7,-2101.613,4217.297,34.95,0
"50",-0.123,-0.16,NA,NA,NA,-0.192,0.235,NA,NA,6,-2102.863,4217.78,35.432,0
"101",-0.133,NA,NA,-0.142,NA,NA,0.093,0.118,NA,6,-2102.876,4217.806,35.459,0
"181",-0.135,NA,NA,-0.169,NA,-0.19,0.171,NA,0.078,7,-2101.904,4217.88,35.532,0
"229",-0.135,NA,NA,-0.148,NA,NA,0.062,0.103,0.046,7,-2101.912,4217.896,35.548,0
"168",-0.136,-0.215,-0.163,0.07,NA,NA,-0.053,NA,0.076,8,-2100.915,4217.921,35.574,0
"58",-0.123,-0.145,NA,NA,0.032,-0.189,0.241,NA,NA,7,-2102.016,4218.102,35.755,0
"197",-0.13,NA,NA,-0.17,NA,NA,NA,0.09,0.075,6,-2103.164,4218.381,36.033,0
"102",-0.138,0.072,NA,-0.21,NA,NA,0.092,0.14,NA,7,-2102.459,4218.99,36.642,0
"16",-0.13,-0.236,-0.172,0.118,0.041,NA,NA,NA,NA,7,-2102.502,4219.075,36.728,0
"213",-0.127,NA,NA,-0.185,NA,-0.041,NA,0.079,0.088,7,-2102.504,4219.079,36.731,0
"230",-0.139,0.066,NA,-0.209,NA,NA,0.063,0.124,0.044,8,-2101.566,4219.223,36.875,0
"237",-0.135,NA,NA,-0.139,0.02,NA,0.063,0.095,0.051,8,-2101.635,4219.361,37.013,0
"54",-0.123,-0.128,NA,-0.04,NA,-0.197,0.232,NA,NA,7,-2102.651,4219.372,37.025,0
"187",-0.163,NA,-0.182,NA,0.092,-0.206,0.163,NA,0.08,8,-2101.773,4219.637,37.29,0
"109",-0.133,NA,NA,-0.137,0.01,NA,0.095,0.114,NA,7,-2102.795,4219.661,37.314,0
"198",-0.133,0.064,NA,-0.23,NA,NA,NA,0.11,0.073,7,-2102.833,4219.737,37.39,0
"62",-0.123,-0.115,NA,-0.036,0.032,-0.193,0.238,NA,NA,8,-2101.839,4219.77,37.422,0
"8",-0.131,-0.248,-0.163,0.112,NA,NA,NA,NA,NA,6,-2103.877,4219.807,37.46,0
"205",-0.129,NA,NA,-0.163,0.018,NA,NA,0.082,0.08,7,-2102.926,4219.923,37.576,0
"12",-0.129,-0.139,-0.137,NA,0.038,NA,NA,NA,NA,6,-2103.997,4220.048,37.7,0
"4",-0.13,-0.155,-0.13,NA,NA,NA,NA,NA,NA,5,-2105.212,4220.461,38.114,0
"214",-0.13,0.059,NA,-0.24,NA,-0.04,NA,0.098,0.086,8,-2102.226,4220.544,38.196,0
"221",-0.126,NA,NA,-0.178,0.017,-0.041,NA,0.072,0.093,8,-2102.293,4220.677,38.329,0
"238",-0.139,0.061,NA,-0.197,0.018,NA,0.064,0.115,0.049,9,-2101.344,4220.803,38.456,0
"110",-0.137,0.07,NA,-0.204,0.009,NA,0.094,0.136,NA,8,-2102.405,4220.902,38.555,0
"48",-0.13,-0.235,-0.17,0.118,0.041,NA,0.003,NA,NA,8,-2102.5,4221.091,38.744,0
"206",-0.133,0.06,NA,-0.219,0.016,NA,NA,0.101,0.078,8,-2102.646,4221.384,39.037,0
"143",-0.145,NA,-0.092,-0.107,0.062,NA,NA,NA,0.095,7,-2103.707,4221.485,39.138,0
"61",-0.129,NA,NA,-0.142,0.04,-0.202,0.239,NA,NA,7,-2103.835,4221.741,39.394,0
"40",-0.13,-0.25,-0.167,0.112,NA,NA,-0.007,NA,NA,7,-2103.863,4221.797,39.45,0
"44",-0.13,-0.138,-0.134,NA,0.039,NA,0.006,NA,NA,7,-2103.988,4222.046,39.699,0
"222",-0.13,0.055,NA,-0.229,0.016,-0.039,NA,0.09,0.091,9,-2102.058,4222.231,39.883,0
"53",-0.13,NA,NA,-0.161,NA,-0.208,0.232,NA,NA,6,-2105.161,4222.375,40.027,0
"36",-0.13,-0.156,-0.132,NA,NA,NA,-0.004,NA,NA,6,-2105.208,4222.469,40.121,0
"175",-0.144,NA,-0.109,-0.114,0.061,NA,-0.035,NA,0.105,8,-2103.414,4222.919,40.572,0
"31",-0.132,NA,-0.192,-0.144,0.043,-0.129,NA,NA,NA,7,-2104.489,4223.05,40.702,0
