"","df","logLik","AICc","delta","weight"
"2+6+9+10",7,-166.773008879715,347.696758001691,0,0.0696377877293921
"2+5+6+10",7,-166.876781441244,347.904303124749,0.207545123057571,0.0627736114689395
"2+6+10",6,-167.899597438172,347.912098102151,0.215340100460025,0.0625294281873983
"2+5+6+9+10",8,-165.951181491901,348.096433064665,0.399675062973927,0.0570238622199117
"2+3+5+6+10",8,-166.053068809317,348.300207699496,0.603449697804479,0.0515000355650504
"2+5+9+10",7,-167.107009427788,348.364759097838,0.668001096146781,0.0498643739602227
"2+4+6+9+10",8,-166.089563951263,348.373197983388,0.676439981697001,0.0496544173492338
"2+9+10",6,-168.302419379951,348.717741985708,1.02098398401654,0.0417966149898261
"2+4+6+10",7,-167.364545430395,348.879831103051,1.1830731013597,0.0385428572105771
"2+4+5+6+9+10",9,-165.353143132887,348.949201245531,1.25244324383948,0.0372289142904025
"2+3+5+6+9+10",9,-165.377425073689,348.997765127135,1.3010071254439,0.0363358110195004
"2+4+5+6+10",8,-166.412538239696,349.019146560255,1.32238855856343,0.0359494242188568
"2+5+7+9+10",8,-166.476853577464,349.147777235791,1.45101923410033,0.0337101079011316
"1+2+5+6+10",8,-166.482307882273,349.158685845409,1.461927843718,0.0335267432155262
"1+2+5+6+9+10",9,-165.550545192513,349.344005364783,1.64724736309154,0.0305597463931197
"2+3+4+5+6+10",9,-165.560963533148,349.364842046052,1.66808404436097,0.0302430173061019
"2+3+5+9+10",8,-166.596432317895,349.386934716652,1.69017671496107,0.029910781170652
"2+5+6+7+9+10",9,-165.589332769674,349.421580519106,1.72482251741485,0.0293971017174993
"2+5+10",6,-168.656839592643,349.426582411092,1.72982440940109,0.0293236730126353
"2+3+6+10",7,-167.655760022757,349.462260287775,1.76550228608357,0.0288052079996126
"2+3+6+9+10",8,-166.636034005317,349.466138091497,1.76938008980591,0.0287494116375258
"4+5+6+8+10",8,-166.682791818954,349.55965371877,1.86289571707852,0.0274360951750691
"5+6+8+10",7,-167.717631793236,349.586003828732,1.88924582704112,0.0270769938966558
"2+6+7+10",7,-167.742265373498,349.635270989257,1.93851298756545,0.0264181388895869
"4+5+6+8+9+10",9,-165.699876598871,349.642668177498,1.94591017580706,0.026320609388607
"2+6+8+9+10",8,-166.74873502993,349.691540140723,1.99478213903188,0.0256852340869654
