"","x"
"1","Amborella_trichopoda_Baill."
"2","Platanus_orientalis_L."
"3","Aphloia_theiformis_-Vahl-_Benn."
"4","Siparuna_decipiens_-Tul.-_A.DC."
"5","Ascarina_marquesensis_A.C.Sm."
"6","Ceratophyllum_echinatum_A.Gray"
"7","Aucuba_japonica_Thunb."
"8","Glaucium_flavum_Crantz"
"9","Leea_macrophylla_Roxb._ex_Hornem."
"10","Hedyosmum_orientale_Merr._&_Chun"
"11","Trimenia_moorei_-Oliv.-_Philipson"
"12","Berberis_trifoliolata_Moric."
"13","Zygogynum_tanyostigma_Vink"
"14","Ampelopsis_denudata_Planch."
"15","Takhtajania_perrieri_-Capuron-_Baranova_&_J.-F.Leroy"
"16","Mauloutchia_chapelieri_Warb."
"17","Idiospermum_australiense_-Diels-_S.T.Blake"
"18","Phoradendron_robustissimum_Eichler"
"19","Cabomba_caroliniana_A.Gray"
"20","Virola_sebifera_Aubl."
"21","Peperomia_nivalis_Miq."
"22","Cinnamosma_macrocarpa_H.Perrier"
"23","Peridiscus_lucidus_Benth."
"24","Myrothamnus_flabellifolius_-Sond.-_Welw."
"25","Ampelopsis_glandulosa_-Wall.-_Momiy."
"26","Beilschmiedia_costaricensis_-Mez_&_Pittier-_C.K.Allen"
"27","Nandina_domestica_Thunb."
"28","Sarcandra_glabra_-Thunb.-_Nakai"
"29","Schisandra_grandiflora_-Wall.-_Hook.fil._&_Thomson"
"30","Pseudowintera_axillaris_-J.R.Forst._&_G.Forst.-_Dandy"
"31","Illicium_burmanicum_E.H.Wilson"
"32","Hernandia_ovigera_L."
"33","Geniostoma_rupestre_J.R.Forst._&_G.Forst."
"34","Buxus_citrifolia_-Willd.-_Spreng."
"35","Sabia_yunnanensis_Franch."
"36","Ascarina_rubricaulis_Solms"
"37","Schisandra_elongata_-Blume-_Baill."
"38","Euptelea_polyandra_Siebold_&_Zucc."
"39","Eupomatia_barbata_Jessup"
"40","Schisandra_propinqua_-Wall.-_Baill."
"41","Staavia_radiata_-L.-_Dahl"
"42","Brasenia_schreberi_J.F.Gmel."
"43","Degeneria_vitiensis_L.W.Bailey_&_A.C.Sm."
"44","Illicium_verum_Hook.fil."
"45","Manekia_sydowii_-Trel.-_T.Arias-_Callejas_&_Bornst."
"46","Pachysandra_axillaris_Franch."
"47","Ripogonum_album_R.Br."
