"","df","logLik","AICc","delta","weight"
"1+4+6+7+8+9+10",10,-2322.76588368354,4665.67171647649,0,0.236595120553901
"4+5+6+7+8+9+10",10,-2323.23929718782,4666.61854348504,0.946827008558103,0.147368584170183
"1+4+5+6+7+8+9+10",11,-2322.23379258653,4666.63563100374,0.96391452725311,0.146114865811963
"1+2+4+6+7+8+9+10",11,-2322.34552517488,4666.85909618044,1.18737970395068,0.1306680942139
"1+3+4+6+7+8+9+10",11,-2322.43387077117,4667.03578737302,1.36407089653585,0.119619381358068
"2+4+5+6+7+8+9+10",11,-2322.4533190859,4667.07468400248,1.40296752599079,0.117315462272141
"1+2+4+5+6+7+8+9+10",12,-2321.57475509369,4667.34823630204,1.67651982554889,0.102318491619845
