"","df","logLik","AICc","delta","weight"
"1+2+3+5+6+9+10",10,-2013.57982567533,4047.2997787392,0,0.0667220826217543
"1+2+3+6+7+10",9,-2014.69337146066,4047.50131962406,0.201540884854239,0.0603261412379353
"1+2+3+6+9+10",9,-2014.76156173863,4047.63770017999,0.337921440787341,0.0563496061734074
"1+2+3+7+8+10",9,-2014.7696032579,4047.65378321853,0.354004479324885,0.0558982868083449
"1+2+3+5+6+10",9,-2014.90642244088,4047.92742158449,0.627642845285209,0.0487504559039273
"1+2+3+6+7+8+10",10,-2013.98317133067,4048.10647004987,0.806691310667702,0.0445757645941824
"1+2+7+8+10",8,-2016.01294287412,4048.11748880167,0.81771006246845,0.0443308552193723
"1+2+3+6+10",8,-2016.12717587654,4048.34595480652,1.04617606731381,0.039545343026281
"1+2+3+6+8+9+10",10,-2014.12580803469,4048.39174345791,1.09196471870928,0.0386502642714416
"1+2+3+10",7,-2017.1627380461,4048.39667761794,1.09689887873446,0.0385550285024115
"1+2+3+7+10",8,-2016.18471044079,4048.46102393502,1.16124519581217,0.0373343335584421
"1+2+5+6+10",8,-2016.20018445309,4048.49197195962,1.19219322041181,0.0367610684164289
"1+2+3+6+7+9+10",10,-2014.18589494157,4048.51191727167,1.21213853246809,0.0363962848795103
"1+2+3+5+6+7+10",10,-2014.22965256536,4048.59943251925,1.29965378004454,0.0348380117348557
"1+2+8+10",7,-2017.2671670922,4048.60553571014,1.30575697093445,0.0347318622619323
"1+2+3+5+10",8,-2016.29150943373,4048.6746219209,1.374843181698,0.0335526008180103
"1+2+5+10",7,-2017.32079675423,4048.7127950342,1.41301629499412,0.0329182700537707
"1+2+3+5+6+8+9+10",11,-2013.27772535732,4048.72371075288,1.42393201367122,0.0327390961638655
"1+2+3+8+10",8,-2016.34285992072,4048.77732289488,1.47754415567533,0.0318731478167509
"1+2+10",6,-2018.39776379106,4048.84889479939,1.54911606018914,0.030752704506736
"1+2+3+6+7+8+9+10",11,-2013.35100216873,4048.87026437569,1.57048563648823,0.0304258675751733
"2+3+5+6+9+10",9,-2015.42376715972,4048.96211102218,1.66233228297688,0.0290602084274248
"1+2+5+8+10",8,-2016.52058726531,4049.13277758405,1.83299884484632,0.0266832639226127
"1+2+3+5+6+7+9+10",11,-2013.48284499546,4049.13395002917,1.83417128996462,0.0266676261753975
"1+2+3+8+9+10",9,-2015.51659390964,4049.14776452201,1.84798578280743,0.0264840610046891
"1+2+3+4+5+6+9+10",11,-2013.54431375234,4049.25688754292,1.95710880371917,0.0250777643253419
