"","(Intercept)","ai","bio_18","bio_2","bio_3","bio_5","srad","wind","bio_19","alt","bio_15"
"full",2.33526804951362,1.54117708042215e-05,0.000455418485023615,-0.127583317481899,0.012776536508156,0.048295740644931,-5.48865895838861e-05,-0.143379483063217,0.000138594665599443,2.85337565579308e-05,-0.000129047089494204
"subset",2.33526804951362,2.09593858662453e-05,0.000455418485023615,-0.127583317481899,0.012776536508156,0.048295740644931,-5.48865895838861e-05,-0.143379483063217,0.000270103225018344,8.14547237511609e-05,-0.00107881421914326
