"","(Intercept)","bio_1","bio_12","bio_4","deciduousnessevergreen","srad","wind","lat","bio_15","ai"
"full",-0.609017259298166,-0.260518923324191,-0.150705407097867,-0.126551750730063,0.490676243874261,0.15590944917035,0.0895281851489025,0.0140253984321933,0.00439909860761205,0.00663609866402665
"subset",-0.609017259298166,-0.260518923324191,-0.150705407097867,-0.126551750730063,0.490676243874261,0.15590944917035,0.0895281851489025,0.0661157998392466,0.0231584282822556,0.0401526196051118
