"","(Intercept)","bio_1","bio_12","bio_4","srad","wind","ai"
"full",0.446362828626723,-0.0160131197784173,-3.89480838387671e-05,-0.000191018964481601,2.31354793785386e-05,0.00627895817958003,-2.97637351614172e-06
"subset",0.446362828626723,-0.0160131197784173,-5.54266998719045e-05,-0.000191018964481601,2.31354793785387e-05,0.0132351144043344,-5.82265658846721e-06
