"","(Intercept)","ai","bio_18","bio_2","bio_3","bio_5","srad","wind","bio_19","alt","bio_15"
"full",0.152455523373877,0.0672976007543873,0.0862192050261215,-0.198297047143943,0.171640939392299,0.141873581715948,-0.0907965217960038,-0.112352969421843,0.0290066328035524,0.0147921310291028,-0.00230230490159336
"subset",0.152455523373877,0.0915220191113229,0.0862192050261215,-0.198297047143943,0.171640939392299,0.141873581715948,-0.0907965217960038,-0.112352969421843,0.0565302065074596,0.0422267900204657,-0.0192469219908708
