"","df","logLik","AICc","delta","weight"
"1+5+6+7+8+10",9,-1062.4295087837,2143.10193254716,0,0.249640205954808
"1+2+5+6+7+8+10",10,-1061.4755261937,2143.24834968469,0.146417137531898,0.23201734604502
"1+4+5+6+7+8+10",10,-1061.69297734376,2143.68325198482,0.581319437658749,0.186673478478311
"1+2+4+5+6+7+8+10",11,-1061.12051376446,2144.59826704177,1.49633449460907,0.118138002965219
"1+2+5+6+7+8+9+10",11,-1061.21688254228,2144.79100459742,1.68907205026562,0.107284553163507
"1+3+5+6+7+8+10",10,-1062.25657727907,2144.81045185544,1.70851930827575,0.106246413393135
