"","Estimate","StdErr","t.value","p.value"
"(Intercept)",1.68023588292099,0.630577014393145,2.66460058734937,0.00787611096284405
"bio_2",-0.141606800962319,0.0259364328491879,-5.45976394617245,6.51508898186238e-08
"bio_3",0.0118670498352692,0.00371136223278752,3.19749167311975,0.00144535061518718
"bio_5",0.0666346798640899,0.0202147144157338,3.29634534991134,0.00102630571576273
"bio_15",-0.000669847832044434,0.00196524117191294,-0.340847648430046,0.733315154752734
"bio_18",-4.81685064637833e-05,0.000259084453234346,-0.185918166306236,0.852559955187641
"bio_19",-0.000189096554281452,0.000245827879486882,-0.769223387827914,0.442006486977809
"alt",0.000135595462926362,0.000107377310259728,1.26279437060193,0.207061393953055
"ai",4.34792458624642e-05,1.54870613771816e-05,2.80745615992237,0.00512504814367894
"wind",-0.14422264000218,0.0582818139509497,-2.4745736315544,0.0135629252533333
"srad",-1.04396063765282e-05,2.95805850382527e-05,-0.352920889259898,0.724248388653844
"deciduousnessevergreen",-0.458401863652052,0.120002269186004,-3.81994329575157,0.000144694939104533
