"","(Intercept)","ai","bio_18","bio_2","bio_3","bio_5","srad","wind","bio_19","alt","bio_15","deciduousnesslikely_evergreen"
"full",0.151379821174756,0.0734131609272841,0.0823917470348976,-0.193187316753755,0.171654043337995,0.13956663735627,-0.0875025166699071,-0.116323721027084,0.0253255509132483,0.0125115512073449,-0.00225985608163521,0.00205304744287159
"subset",0.151379821174756,0.0950552382718411,0.0823917470348976,-0.193187316753755,0.171654043337995,0.13956663735627,-0.0875025166699071,-0.116323721027084,0.0557579218821027,0.040538423236234,-0.0196922444874446,0.0234382098166141
