"","plant_name_id","ipni_id","taxon_rank","taxon_status","family","genus_hybrid","genus","species_hybrid","species","infraspecific_rank","infraspecies","parenthetical_author","primary_author","publication_author","place_of_publication","volume_and_page","first_published","nomenclatural_remarks","geographic_area","lifeform_description","climate_description","taxon_name","taxon_authors","accepted_plant_name_id","basionym_plant_name_id","homotypic_synonym","parent_plant_name_id"
"9820","362507-az","52383-1","Species","Accepted","Acanthaceae","","Mendoncia","","glabra","","","","Poepp.","E.F.Poeppig & S.L.Endlicher","Nov. Gen. Sp. Pl.","3: 10","(1840)","","S. Trop. America","Liana","Wet Tropical","Mendoncia glabra","Poepp.","362507-az","",NA,"362677-az"
"15551","924150-az","365009-1","Species","Accepted","Achariaceae","","Caloncoba","","echinata","","","Oliv.","Gilg","","Bot. Jahrb. Syst.","40: 464","(1908)","","W. Trop. Africa to Cameroon","Nanophanerophyte or phanerophyte","Wet Tropical","Caloncoba echinata","(Oliv.) Gilg","924150-az","923013-az",NA,"924143-az"
"15816","922700-az","111770-1","Species","Accepted","Achariaceae","","Kiggelaria","","africana","","","","L.","","Sp. Pl.",": 1037","(1753)","","Ethiopia to S. Africa.","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Kiggelaria africana","L.","922700-az","",NA,"922699-az"
"15903","923531-az","111972-1","Species","Accepted","Achariaceae","","Pangium","","edule","","","","Reinw.","","Syll. Pl. Nov.","2: 12","(1828)","","Nicobar Is. to W. Pacific","Phanerophyte","Wet Tropical","Pangium edule","Reinw.","923531-az","",NA,"923533-az"
"16038","923396-az","112183-1","Species","Accepted","Achariaceae","","Xylotheca","","kraussiana","","","","Hochst.","","Flora","26: 69","(1843)","","S. Mozambique to KwaZulu-Natal","Nanophanerophyte or phanerophyte","Subtropical","Xylotheca kraussiana","Hochst.","923396-az","",NA,"923318-az"
"16073","500166-wcs","327318-2","Species","Accepted","Achatocarpaceae","","Phaulothamnus","","spinescens","","","","A.Gray","","Proc. Amer. Acad. Arts","20: 294","(1885)","","S. Texas to Mexico","Nanophanerophyte","Desert or Dry Shrubland","Phaulothamnus spinescens","A.Gray","500166-wcs","",NA,"500165-wcs"
"16205","620670-az","828399-1","Species","Accepted","Actinidiaceae","","Actinidia","","eriantha","","","","Benth.","","J. Proc. Linn. Soc., Bot.","5: 55","(1860)","","SE. China (to Guizhou)","Climbing nanophanerophyte","Temperate","Actinidia eriantha","Benth.","620670-az","",NA,"620606-az"
"16219","620682-az","828400-1","Species","Accepted","Actinidiaceae","","Actinidia","","fulvicoma","","","","Hance","","J. Bot.","23: 321","(1885)","","S. China to Vietnam","Climbing nanophanerophyte","Subtropical","Actinidia fulvicoma","Hance","620682-az","",NA,"620606-az"
"16289","620747-az","828403-1","Species","Accepted","Actinidiaceae","","Actinidia","","melanandra","","","","Franch.","","J. Bot. (Morot)","8: 278","(1894)","","C. & S. China","Climbing nanophanerophyte","Temperate","Actinidia melanandra","Franch.","620747-az","",NA,"620606-az"
"16559","595266-az","829312-1","Species","Accepted","Actinidiaceae","","Saurauia","","conferta","","","","Warb.","","Bot. Jahrb. Syst.","13: 379","(1891)","","New Guinea to Solomon Is.","Phanerophyte","Wet Tropical","Saurauia conferta","Warb.","595266-az","",NA,"490794-az"
"16621","595288-az","829328-1","Species","Accepted","Actinidiaceae","","Saurauia","","ferox","","","","Korth.","","Verh. Nat. Gesch. Ned. Bezitt., Bot.",": t. 19","(1841)","","Borneo","Phanerophyte","Wet Tropical","Saurauia ferox","Korth.","595288-az","",NA,"490794-az"
"16775","595247-az","829369-1","Species","Accepted","Actinidiaceae","","Saurauia","","montana","","","","Seem.","","Bot. Voy. Herald",": 87","(1853)","","Mexico (Chiapas) to C. America","Nanophanerophyte or phanerophyte","Wet Tropical","Saurauia montana","Seem.","595247-az","",NA,"490794-az"
"16929","594514-az","829407-1","Species","Accepted","Actinidiaceae","","Saurauia","","roxburghii","","","","Wall.","","Pl. Asiat. Rar.","2: 40","(1831)","","E. Nepal to Pen. Malaysia","Phanerophyte","Wet Tropical","Saurauia roxburghii","Wall.","594514-az","",NA,"490794-az"
"17048","594461-az","829438-1","Species","Accepted","Actinidiaceae","","Saurauia","","tristyla","","","","DC.","","Mém. Soc. Phys. Genève","1: 423","(1822)","","Nepal to Taiwan and Pen. Malaysia","Phanerophyte","Subtropical","Saurauia tristyla","DC.","594461-az","",NA,"490794-az"
"17059","491066-az","228162-2","Species","Accepted","Actinidiaceae","","Saurauia","","ursina","","","","Triana & Planch.","","Ann. Sci. Nat., Bot.",", sér. 4, 18: 265","(1862)","","Colombia","Nanophanerophyte or phanerophyte","Wet Tropical","Saurauia ursina","Triana & Planch.","491066-az","",NA,"490794-az"
"17126","4284-wcs","338257-1","Species","Accepted","Aextoxicaceae","","Aextoxicon","","punctatum","","","","Ruiz & Pav.","","Syst. Veg. Fl. Peruv. Chil.",": 260","(1797)","","C. & SC. Chile to SW. Argentina (Chubut, Río Negro)","Nanophanerophyte or phanerophyte","Subtropical","Aextoxicon punctatum","Ruiz & Pav.","4284-wcs","",NA,"4283-wcs"
"23051","476906-az","364622-1","Species","Synonym","Aizoaceae","","Sesuvium","","revolutifolium","","","","Ortega","","Nov. Rar. Pl. Descr. Dec.",": 19","(1797)","","","","","Sesuvium revolutifolium","Ortega","1259136-az","",NA,""
"23506","468755-az","58126-1","Species","Accepted","Aizoaceae","","Zaleya","","galericulata","","","Melville","H.Eichler","","Suppl. J. M. Black, Fl. S. Austral.",", ed. 2: 136","(1965)","","Australia","Chamaephyte or nanophanerophyte","Desert and Dry Shrubland","Zaleya galericulata","(Melville) H.Eichler","468755-az","436579-az",NA,"451273-az"
"23521","5434-wcs","946988-1","Species","Accepted","Akaniaceae","","Akania","","bidwillii","","","Hend. ex R.Hogg","Mabb.","","Plant-book",", reimpr.: 707","(1989)","","SE. Queensland to NE. New South Wales","Phanerophyte","Seasonally Dry Tropical","Akania bidwillii","(Hend. ex R.Hogg) Mabb.","5434-wcs","115081-wcs",NA,"5433-wcs"
"24506","630181-az","148252-1","Species","Accepted","Alseuosmiaceae","","Alseuosmia","","quercifolia","","","","A.Cunn.","","Ann. Nat. Hist.","2: 210","(1839)","","New Zealand North I.","Nanophanerophyte","Subtropical","Alseuosmia quercifolia","A.Cunn.","630181-az","",NA,"630169-az"
"24511","742772-az","913843-1","Species","Accepted","Alseuosmiaceae","","Crispiloba","","disperma","","","S.Moore","Steenis","","Blumea","29: 393","(1984)","","Queensland (Bellenden-Ken Range)","Nanophanerophyte","Seasonally Dry Tropical","Crispiloba disperma","(S.Moore) Steenis","742772-az","",NA,"742771-az"
"25353","500204-wcs","58631-1","Species","Accepted","Altingiaceae","","Liquidambar","","excelsa","","","Noronha","Oken","","Allg. Naturgesch.","3(3): 1539","(1841)","","Bhutan to China (SE. Yunnan) and W. Malesia","Phanerophyte","Wet Tropical","Liquidambar excelsa","(Noronha) Oken","500204-wcs","500177-wcs",NA,"500190-wcs"
"25354","500205-wcs","430709-1","Species","Accepted","Altingiaceae","","Liquidambar","","formosana","","","","Hance","","Ann. Sci. Nat., Bot.",", sér. 5, 5: 215","(1866)","","S. Korea, Taiwan, C. & S. China to N. Vietnam","Phanerophyte","Temperate","Liquidambar formosana","Hance","500205-wcs","",NA,"500190-wcs"
"25362","500213-wcs","77134711-1","Species","Accepted","Altingiaceae","","Liquidambar","","obovata","","","Merr. & Chun","Ickert-Bond & J.Wen","","PhytoKeys","31: 38","(2013)","","Hainan","Phanerophyte","Wet Tropical","Liquidambar obovata","(Merr. & Chun) Ickert-Bond & J.Wen","500213-wcs","500183-wcs",NA,"500190-wcs"
"25363","500214-wcs","430714-1","Species","Accepted","Altingiaceae","","Liquidambar","","orientalis","","","","Mill.","","Gard. Dict. ed. 8",": n.° 2","(1768)","","E. Aegean Is. (Rodos) to W. & SW. Turkey","Phanerophyte","Temperate","Liquidambar orientalis","Mill.","500214-wcs","",NA,"500190-wcs"
"25393","7487-wcs","30130749-2","Species","Accepted","Alzateaceae","","Alzatea","","verticillata","","","","Ruiz & Pav.","","Fl. Peruv.","3: 20","(1802)","","Costa Rica to W. Bolivia","Phanerophyte","Seasonally Dry Tropical","Alzatea verticillata","Ruiz & Pav.","7487-wcs","",NA,"7485-wcs"
"27996","665422-az","1048190-2","Species","Accepted","Amaranthaceae","","Atriplex","","lentiformis","","","Torr.","S.Watson","","Proc. Amer. Acad. Arts","9: 118","(1874)","","SW. U.S.A. and W. Texas to NW. Mexico","Nanophanerophyte","Desert and Dry Shrubland","Atriplex lentiformis","(Torr.) S.Watson","665422-az","386265-az",NA,"664993-az"
"29095","680385-az","59770-1","Species","Accepted","Amaranthaceae","","Bosea","","yervamora","","","","L.","","Sp. Pl.",": 225","(1753)","","Canary Is.","Nanophanerophyte","Subtropical","Bosea yervamora","L.","680385-az","",NA,"680379-az"
"29753","715941-az","60105-1","Species","Accepted","Amaranthaceae","","Charpentiera","","obovata","","","","Gaudich.","","Voy. Uranie",": 444","(1829)","","Hawaiian Is.","Nanophanerophyte or phanerophyte","Wet Tropical","Charpentiera obovata","Gaudich.","715941-az","",NA,"715937-az"
"30344","717337-az","164942-1","Species","Accepted","Amaranthaceae","","Chenopodium","","frutescens","","","","C.A.Mey.","C.F.von Ledebour","Fl. Altaic.","1: 408","(1829)","","SW. Siberia to Mongolia","Chamaephyte","Temperate","Chenopodium frutescens","C.A.Mey.","717337-az","",NA,"716928-az"
"31490","758801-az","60226-1","Species","Accepted","Amaranthaceae","","Deeringia","","amaranthoides","","","Lam.","Merr.","","Interpr. Herb. Amboin.",": 211","(1917)","","Trop. & Subtrop. Asia to W. Pacific","Scrambling nanophanerophyte","Seasonally Dry Tropical","Deeringia amaranthoides","(Lam.) Merr.","758801-az","617464-az",NA,"758799-az"
"31832","806309-az","165605-1","Species","Accepted","Amaranthaceae","","Exomis","","microphylla","","","Thunb.","Aellen","","Bot. Jahrb. Syst.","70: 375","(1939)","","Namibia to Free State","Chamaephyte or nanophanerophyte","Subtropical","Exomis microphylla","(Thunb.) Aellen","806309-az","717547-az",NA,"806305-az"
"32480","831970-az","1149624-2","Species","Accepted","Amaranthaceae","","Grayia","","spinosa","","","Hook.","Moq.","A.P.de Candolle","Prodr.","13(2): 119","(1849)","","W. U.S.A. to New Mexico","Chamaephyte","Temperate","Grayia spinosa","(Hook.) Moq.","831970-az","717811-az",NA,"831966-az"
"34996","408048-az","61285-1","Species","Accepted","Amaranthaceae","","Ptilotus","","obovatus","","","Gaudich.","F.Muell.","","Fragm.","6: 228","(1868)","","Australia","Chamaephyte","Desert and Dry Shrubland","Ptilotus obovatus","(Gaudich.) F.Muell.","408048-az","435289-az",NA,"408360-az"
"36811","484698-az","167542-1","Species","Accepted","Amaranthaceae","","Suaeda","","physophora","","","","Pall.","","Ill. Pl.",": 51","(1803)","","European Russia to SW. Siberia and China (W. Gansu)","Chamaephyte or nanophanerophyte","Temperate","Suaeda physophora","Pall.","484698-az","",NA,"483882-az"
"47370","7867-wcs","581745-1","Species","Accepted","Amborellaceae","","Amborella","","trichopoda","","","","Baill.","","Adansonia","10: 354","(1873)","","C. New Caledonia","Scrambling nanophanerophyte or phanerophyte","Wet Tropical","Amborella trichopoda","Baill.","7867-wcs","",NA,"7866-wcs"
"48088","777584-az","69533-1","Species","Accepted","Anacardiaceae","","Dracontomelon","","lenticulatum","","","","H.P.Wilk.","","J. Nat. Hist. Sci. Soc. Western Australia","1: 505","(1967)","","New Guinea","Phanerophyte","Wet Tropical","Dracontomelon lenticulatum","H.P.Wilk.","777584-az","",NA,"777571-az"
"48457","342580-az","69824-1","Species","Accepted","Anacardiaceae","","Laurophyllus","","capensis","","","","Thunb.","","Nov. Gen. Pl.","6: 104","(1792)","","SW. Cape Prov.","Nanophanerophyte or phanerophyte","Subtropical","Laurophyllus capensis","Thunb.","342580-az","",NA,"342610-az"
"48828","364469-az","164514-2","Species","Accepted","Anacardiaceae","","Mosquitoxylum","","jamaicense","","","","Krug & Urb.","","Notizbl. Königl. Bot. Gart. Berlin","1: 79","(1895)","","S. Mexico to C. America, Ecuador, Jamaica","Phanerophyte","Wet Tropical","Mosquitoxylum jamaicense","Krug & Urb.","364469-az","",NA,"364468-az"
"48989","391427-az","70186-1","Species","Accepted","Anacardiaceae","","Ozoroa","","pulcherrima","","","Schweinf.","R.Fern. & A.Fern.","","Bol. Soc. Brot.",", sér. 2, 38: 168","(1965)","","W. Trop. Africa to W. Ethiopia","Nanophanerophyte","Seasonally Dry Tropical","Ozoroa pulcherrima","(Schweinf.) R.Fern. & A.Fern.","391427-az","636227-az",NA,"391405-az"
"50946","480728-az","71489-1","Species","Accepted","Anacardiaceae","","Spondias","","pinnata","","","L.f.","Kurz","","Prelim. Rep. Forest Pegu",", App. A: 44","(1875)","","Indian Subcontinent to China (S. Yunnan, S. Guangxi) and Malesia","Phanerophyte","Wet Tropical","Spondias pinnata","(L.f.) Kurz","480728-az","362666-az",NA,"480478-az"
"51042","435452-az","71566-1","Species","Accepted","Anacardiaceae","","Tapirira","","mexicana","","","","Marchand","","Rév. Anacardiac.",": 162","(1869)","","Mexico to C. America","Phanerophyte","Wet Tropical","Tapirira mexicana","Marchand","435452-az","",NA,"436218-az"
"51045","435497-az","970707-1","Species","Accepted","Anacardiaceae","","Tapirira","","obtusa","","","Benth.","J.D.Mitch.","","Novon","3: 66","(1993)","","S. Trop. America","Phanerophyte","Wet Tropical","Tapirira obtusa","(Benth.) J.D.Mitch.","435497-az","872636-az",NA,"436218-az"
"51295","435223-az","71811-1","Species","Accepted","Anacardiaceae","","Toxicodendron","","trichocarpum","","","Miq.","Kuntze","","Revis. Gen. Pl.","1: 154","(1891)","","S. China to Korea, Kuril Is. to Japan","Phanerophyte","Temperate","Toxicodendron trichocarpum","(Miq.) Kuntze","435223-az","423479-az",NA,"435072-az"
"51458","8763-wcs","320531-1","Species","Accepted","Ancistrocladaceae","","Ancistrocladus","","guineensis","","","","Oliv.","D.Oliver & auct. suc. (eds.)","Fl. Trop. Afr.","1: 175","(1868)","","SE. Nigeria to Gabon","Climber","Wet Tropical","Ancistrocladus guineensis","Oliv.","8763-wcs","",NA,"8751-wcs"
"51466","8770-wcs","71946-1","Species","Accepted","Ancistrocladaceae","","Ancistrocladus","","likoko","","","","J.Léonard","","Bull. Soc. Roy. Bot. Belgique","82: 34","(1949)","","Congo to W. & C. DR Congo","Climber","Wet Tropical","Ancistrocladus likoko","J.Léonard","8770-wcs","",NA,"8751-wcs"
"51470","8774-wcs","903511-1","Species","Accepted","Ancistrocladaceae","","Ancistrocladus","","robertsoniorum","","","","J.Léonard","","Bull. Jard. Bot. Natl. Belg.","54: 466","(1984)","","SE. Kenya (Kwale Distr.)","Climber","Seasonally Dry Tropical","Ancistrocladus robertsoniorum","J.Léonard","8774-wcs","",NA,"8751-wcs"
"51506","640289-az","719471-1","Species","Accepted","Anisophylleaceae","","Anisophyllea","","disticha","","","Jack","Baill.","","Adansonia","11: 311","(1875)","","W. & C. Malesia","Nanophanerophyte or phanerophyte","Wet Tropical","Anisophyllea disticha","(Jack) Baill.","640289-az","838626-az",NA,"640274-az"
"51508","640291-az","719474-1","Species","Accepted","Anisophylleaceae","","Anisophyllea","","fallax","","","","Scott Elliot","","J. Linn. Soc., Bot.","29: 16","(1891)","","SW. & E. Madagascar","Phanerophyte","Wet Tropical","Anisophyllea fallax","Scott Elliot","640291-az","",NA,"640274-az"
"51555","640321-az","719499-1","Species","Accepted","Anisophylleaceae","","Anisophyllea","","sororia","","","","Pierre","","Bull. Mens. Soc. Linn. Paris","2: 1230","(1896)","","S. Cameroon to W. Gabon","Phanerophyte","Wet Tropical","Anisophyllea sororia","Pierre","640321-az","",NA,"640274-az"
"51564","732356-az","719716-1","Species","Accepted","Anisophylleaceae","","Combretocarpus","","rotundatus","","","Miq.","Danser","","Bull. Jard. Bot. Buitenzorg",", sér. 3, 10: 345","(1929)","","W. Malesia","Phanerophyte","Wet Tropical","Combretocarpus rotundatus","(Miq.) Danser","732356-az","375963-az",NA,"732354-az"
"51568","868123-az","205948-2","Species","Accepted","Anisophylleaceae","","Polygonanthus","","amazonicus","","","","Ducke","","Notizbl. Bot. Gart. Berlin-Dahlem","11: 346","(1932)","","Brazil (C. Amazonas)","Phanerophyte","Wet Tropical","Polygonanthus amazonicus","Ducke","868123-az","",NA,"415341-az"
"51671","636353-az","72023-1","Species","Accepted","Annonaceae","","Anaxagorea","","acuminata","","","Dunal","A.St.-Hil. ex A.DC.","","Mém. Soc. Phys. Genève","5: 211","(1832)","","Trinidad, N. South America to N. Brazil","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Anaxagorea acuminata","(Dunal) A.St.-Hil. ex A.DC.","636353-az","468100-az",NA,"636352-az"
"51672","636354-az","12503-2","Species","Accepted","Annonaceae","","Anaxagorea","","allenii","","","","R.E.Fr.","","Ann. Missouri Bot. Gard.","42: 151","(1955)","","Panama to W. Colombia","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea allenii","R.E.Fr.","636354-az","",NA,"636352-az"
"51674","636356-az","72025-1","Species","Accepted","Annonaceae","","Anaxagorea","","borneensis","","","Becc.","J.Sinclair","","Sarawak Mus. J.","5: 598","(1951)","","Borneo","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea borneensis","(Becc.) J.Sinclair","636356-az","780630-az",NA,"636352-az"
"51675","636357-az","12504-2","Species","Accepted","Annonaceae","","Anaxagorea","","brachycarpa","","","","R.E.Fr.","","Acta Horti Berg.","12: 14","(1934)","","Amazon Reg.","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea brachycarpa","R.E.Fr.","636357-az","",NA,"636352-az"
"51677","636359-az","272117-2","Species","Accepted","Annonaceae","","Anaxagorea","","brevipedicellata","","","","Timmerman","","Proc. Kon. Ned. Akad. Wetensch. C","87: 299","(1984)","","Brazil, French Guiana","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea brevipedicellata","Timmerman","636359-az","",NA,"636352-az"
"51678","636360-az","72027-1","Species","Accepted","Annonaceae","","Anaxagorea","","brevipes","","","","Benth.","","Hooker's J. Bot. Kew Gard. Misc.","5: 8","(1853)","","S. Trop. America","Phanerophyte","Wet Tropical","Anaxagorea brevipes","Benth.","636360-az","",NA,"636352-az"
"51682","636364-az","72032-1","Species","Accepted","Annonaceae","","Anaxagorea","","crassipetala","","","","Hemsl.","","Diagn. Pl. Nov. Mexic.",": 2","(1878)","","C. America to N. Bolivia","Phanerophyte","Wet Tropical","Anaxagorea crassipetala","Hemsl.","636364-az","",NA,"636352-az"
"51683","636365-az","12508-2","Species","Accepted","Annonaceae","","Anaxagorea","","dolichocarpa","","","","Sprague & Sandwith","","Bull. Misc. Inform. Kew","1930: 475","(1930)","","S. Trop. America","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea dolichocarpa","Sprague & Sandwith","636365-az","",NA,"636352-az"
"51687","636369-az","12510-2","Species","Accepted","Annonaceae","","Anaxagorea","","guatemalensis","","","","Standl.","","Trop. Woods","7: 4","(1926)","","S. Mexico to C. America","Phanerophyte","Wet Tropical","Anaxagorea guatemalensis","Standl.","636369-az","",NA,"636352-az"
"51689","636371-az","72037-1","Species","Accepted","Annonaceae","","Anaxagorea","","javanica","","","","Blume","","Fl. Javae",", Anon.: 66","(1830)","","Andaman & Nicobar Is. to W. Malesia","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea javanica","Blume","636371-az","",NA,"636352-az"
"51696","636377-az","272119-2","Species","Accepted","Annonaceae","","Anaxagorea","","manausensis","","","","Timmerman","","Proc. Kon. Ned. Akad. Wetensch. C","87: 301","(1984)","","N. Peru to N. Brazil","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea manausensis","Timmerman","636377-az","",NA,"636352-az"
"51702","636383-az","12517-2","Species","Accepted","Annonaceae","","Anaxagorea","","pachypetala","","","Diels","R.E.Fr.","","Acta Horti Berg.","10: 175","(1931)","","N. Peru","Phanerophyte","Wet Tropical","Anaxagorea pachypetala","(Diels) R.E.Fr.","636383-az","391221-az",NA,"636352-az"
"51705","636386-az","12520-2","Species","Accepted","Annonaceae","","Anaxagorea","","petiolata","","","","R.E.Fr.","","Lloydia","2: 179","(1939)","","SE. Colombia to Guyana and N. Brazil","Phanerophyte","Wet Tropical","Anaxagorea petiolata","R.E.Fr.","636386-az","",NA,"636352-az"
"51706","636387-az","72051-1","Species","Accepted","Annonaceae","","Anaxagorea","","phaeocarpa","","","","Mart.","","Fl. Bras.","13(1): 40","(1841)","","C. & S. Trop. America","Scrambling nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea phaeocarpa","Mart.","636387-az","",NA,"636352-az"
"51707","636388-az","72052-1","Species","Accepted","Annonaceae","","Anaxagorea","","prinoides","","","Dunal","A.St.-Hil. ex A.DC.","","Mém. Soc. Phys. Genève","5: 218","(1832)","","N. South America to Brazil","Nanophanerophyte or phanerophyte","Wet Tropical","Anaxagorea prinoides","(Dunal) A.St.-Hil. ex A.DC.","636388-az","467907-az",NA,"636352-az"
"51710","636391-az","272120-2","Species","Accepted","Annonaceae","","Anaxagorea","","rheophytica","","","","Maas & Westra","","Proc. Kon. Ned. Akad. Wetensch. C","89: 75","(1986)","","Venezuela (Amazonas)","Nanophanerophyte","Wet Tropical","Anaxagorea rheophytica","Maas & Westra","636391-az","",NA,"636352-az"
"51713","636394-az","12521-2","Species","Accepted","Annonaceae","","Anaxagorea","","silvatica","","","","R.E.Fr.","","Acta Horti Berg.","12: 10","(1934)","","Brazil (Espírito Santo, Minas Gerais)","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Anaxagorea silvatica","R.E.Fr.","636394-az","",NA,"636352-az"
"51727","640763-az","948446-1","Species","Accepted","Annonaceae","","Annickia","","letestui","","","Le Thomas","Setten & Maas","","Taxon","39: 676","(1990)","","WC. Trop. Africa","Phanerophyte","Wet Tropical","Annickia letestui","(Le Thomas) Setten & Maas","640763-az","788541-az",NA,"640756-az"
"51817","640839-az","14249-2","Species","Accepted","Annonaceae","","Annona","","deminuta","","","","R.E.Fr.","","Acta Horti Berg.","10: 212","(1931)","","N. Peru","Phanerophyte","Wet Tropical","Annona deminuta","R.E.Fr.","640839-az","",NA,"640767-az"
"52120","653245-az","72354-1","Species","Accepted","Annonaceae","","Artabotrys","","aurantiacus","","","","Engl. & Diels","","Notizbl. Königl. Bot. Gart. Berlin","2: 300","(1899)","","WC. Trop. Africa","Climber","Wet Tropical","Artabotrys aurantiacus","Engl. & Diels","653245-az","",NA,"653241-az"
"52127","653252-az","72360-1","Species","Accepted","Annonaceae","","Artabotrys","","brachypetalus","","","","Benth.","","Trans. Linn. Soc. London","23: 467","(1862)","","S. Tanzania to Northern Prov.","Climbing nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Artabotrys brachypetalus","Benth.","653252-az","",NA,"653241-az"
"52165","653287-az","72395-1","Species","Accepted","Annonaceae","","Artabotrys","","hexapetalus","","","L.f.","Bhandari","","Baileya","12: 149","(1965)","","Mayotte, S. India, Sri Lanka, Indo-China","Climbing nanophanerophyte or liana","Wet Tropical","Artabotrys hexapetalus","(L.f.) Bhandari","653287-az","640889-az",NA,"653241-az"
"52213","653323-az","72426-1","Species","Accepted","Annonaceae","","Artabotrys","","monteiroae","","","","Oliv.","","Hooker's Icon. Pl.","18: t. 1796","(1888)","","Ethiopia to S. Africa, Madagascar","Scrambling nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Artabotrys monteiroae","Oliv.","653323-az","",NA,"653241-az"
"52236","653343-az","72447-1","Species","Accepted","Annonaceae","","Artabotrys","","pierreanus","","","","Engl. & Diels","H.G.A.Engler","Monogr. Afrik. Pflanzen-Fam.","6: 76","(1901)","","WC. Trop. Africa","Climber","Wet Tropical","Artabotrys pierreanus","Engl. & Diels","653343-az","",NA,"653241-az"
"52271","653375-az","72474-1","Species","Accepted","Annonaceae","","Artabotrys","","thomsonii","","","","Oliv.","","Fl. Trop. Afr.","1: 29","(1868)","","Liberia, S. Nigeria to WC. Trop. Africa","Liana","Wet Tropical","Artabotrys thomsonii","Oliv.","653375-az","",NA,"653241-az"
"52281","653384-az","72482-1","Species","Accepted","Annonaceae","","Artabotrys","","velutinus","","","","Scott Elliot","","J. Linn. Soc., Bot.","30: 71","(1894)","","W. & WC. Trop. Africa to Uganda","Liana","Wet Tropical","Artabotrys velutinus","Scott Elliot","653384-az","",NA,"653241-az"
"52317","655423-az","21380-2","Species","Accepted","Annonaceae","","Asimina","","obovata","","","Willd.","Nash","","Bull. Torrey Bot. Club","23: 239","(1896)","","Florida","Nanophanerophyte","Subtropical","Asimina obovata","(Willd.) Nash","655423-az","640960-az",NA,"655401-az"
"52331","655435-az","72521-1","Species","Accepted","Annonaceae","","Asimina","","triloba","","","L.","Dunal","","Monogr. Anonac.",": 83","(1817)","","SE. Canada to C. & E. U.S.A.","Nanophanerophyte or phanerophyte","Temperate","Asimina triloba","(L.) Dunal","655435-az","641052-az",NA,"655401-az"
"52394","677857-az","273353-2","Species","Accepted","Annonaceae","","Bocageopsis","","pleiosperma","","","","Maas","","Proc. Kon. Ned. Akad. Wetensch. C","89: 249","(1986)","","Brazil (Amazonas, Pará)","Phanerophyte","Wet Tropical","Bocageopsis pleiosperma","Maas","677857-az","",NA,"677852-az"
"52458","725511-az","72609-1","Species","Accepted","Annonaceae","","Cleistopholis","","glauca","","","","Pierre ex Engl. & Diels","H.G.A.Engler","Monogr. Afrik. Pflanzen-Fam.","6: 35","(1901)","","WC. Trop. Africa","Phanerophyte","Wet Tropical","Cleistopholis glauca","Pierre ex Engl. & Diels","725511-az","",NA,"725505-az"
"52505","742540-az","77065688-1","Species","Accepted","Annonaceae","","Cremastosperma","","napoense","","","","Pirie","","Blumea","50: 54","(2005)","","Ecuador","Phanerophyte","Wet Tropical","Cremastosperma napoense","Pirie","742540-az","",NA,"742519-az"
"52510","742544-az","275270-2","Species","Accepted","Annonaceae","","Cremastosperma","","panamense","","","","Maas","","Proc. Kon. Ned. Akad. Wetensch. C","89: 254","(1986)","","Panama","Nanophanerophyte or phanerophyte","Wet Tropical","Cremastosperma panamense","Maas","742544-az","",NA,"742519-az"
"52520","604060-az","60445547-2","Species","Accepted","Annonaceae","","Cremastosperma","","yamayakatense","","","","Pirie","","Arnaldoa","11: 10","(2004)","","NE. Peru","Nanophanerophyte or phanerophyte","Wet Tropical","Cremastosperma yamayakatense","Pirie","604060-az","",NA,"742519-az"
"52569","749099-az","72686-1","Species","Accepted","Annonaceae","","Cyathocalyx","","sumatranus","","","","Scheff.","","Natuurk. Tijdschr. Ned.-Indië","32: 388","(1871)","","Pen. Thailand to Sumatera","Phanerophyte","Wet Tropical","Cyathocalyx sumatranus","Scheff.","749099-az","",NA,"749058-az"
"52634","750632-az","275534-2","Species","Accepted","Annonaceae","","Cymbopetalum","","torulosum","","","","G.E.Schatz","","Ann. Missouri Bot. Gard.","72: 535","(1985)","","C. America","Phanerophyte","Wet Tropical","Cymbopetalum torulosum","G.E.Schatz","750632-az","",NA,"750593-az"
"52806","766419-az","79675-2","Species","Accepted","Annonaceae","","Diclinanona","","calycina","","","Diels","R.E.Fr.","","Acta Horti Berg.","12: 4","(1934)","","S. Venezuela to N. Peru","Phanerophyte","Wet Tropical","Diclinanona calycina","(Diels) R.E.Fr.","766419-az","468066-az",NA,"766418-az"
"52809","766422-az","79677-2","Species","Accepted","Annonaceae","","Diclinanona","","tessmannii","","","","Diels","","Notizbl. Bot. Gart. Berlin-Dahlem","10: 174","(1927)","","SE. Colombia to NW. Brazil to Peru","Phanerophyte","Wet Tropical","Diclinanona tessmannii","Diels","766422-az","",NA,"766418-az"
