"x"
"Fothergilla major (Sims) Lodd."
"Ficus goiana C.C.Berg, Carauta & A.F.P.Machado"
"Pereskia guamacho F.A.C.Weber"
"Pereskia bleo (Kunth) DC."
"Pereskia lychnidiflora DC."
"Rubus procerus P.J.Müll. ex Genev."
"Rubus stereacanthos P.J.Müll. ex Genev."
"Rosa bridgesii Crép. ex Rydb."
"Elacholoma prostrata (Benth.) W.R.Barker & Beardsley"
"Salacia oblonga Wall. ex Wight & Arn."
"Salacia fruticosa B.Heyne ex M.A.Lawson"
"Homalospermum firmum Schauer"
"Homonoia riparia Lour."
"Homoranthus biflorus Craven & S.R.Jones"
"Homoranthus cernuus (R.T.Baker) Craven & S.R.Jones"
"Homoranthus decasetus Byrnes"
"Homoranthus flavescens A.Cunn. ex Schauer"
"Homoranthus floydii Craven & S.R.Jones"
"Homoranthus homoranthoides (F.Muell.) Craven & S.R.Jones"
"Homoranthus melanostictus Craven & S.R.Jones"
"Anisophyllea neopurpurascens Li Bing Zhang, Xin Chen & H.He"
"Afrohybanthus aurantiacus (F.Muell. ex Benth.) Flicker"
"Homoranthus thomasii (F.Muell.) Craven & S.R.Jones"
"Afrohybanthus stellarioides (Domin) Flicker"
"Homoranthus tropicus Byrnes"
"Homoranthus virgatus A.Cunn. ex Schauer"
"Caesalpinia ancashiana Ulibarri"
"Caesalpinia trichocarpa Griseb."
"Bastardia bivalvis (Cav.) Kunth"
"Bastardia viscosa (L.) Kunth"
"Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis"
"Decaphalangium peruvianum Melch."
"Calyptrion arboreum (L.) Paula-Souza"
"Cissus granulosa Ruiz & Pav."
"Clematicissus striata (Ruiz & Pav.) Lombardi"
"Wislizenia refracta subsp. palmeri (A.Gray) S.Keller"
"Callianthe megapotamica (A.Spreng.) Dorr"
"Abutilon pauciflorum A.St.-Hil."
"Abutilon peruvianum (Lam.) Kearney"
"Callianthe sylvatica (Cav.) Dorr"
"Cryptosepalum korupense Burgt"
"Calantica pseudobiseriata Appleq., Phillipson & G.E.Schatz"
