"x"
"Eriotheca saxicola"
"Homalomena megalophylla"
"Equisetum variegatum"
"Elatostema tricostatum"
"Elatostema actinodromum"
"Elatostema tenuibracteatum"
"Elatostema wugangense"
"Fissistigma breviflorum"
