"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Linum suffruticosum L.","1851017688","W","2016-06-03","Spain","http://creativecommons.org/licenses/by/4.0/legalcode",NA,244593,"succeeded",NA
"Linum suffruticosum L.","1851017862","W","2016-06-05","Spain","http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA
"Linum suffruticosum L.","1230936823","W","2015-06-22","Spain","http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA
"Linum tenuifolium subsp. suffruticosum (L.) Litard.","2515557998",NA,"1993-06-02","Spain","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Naturalis Biodiversity Center",NA,NA,NA
"Linum suffruticosum subsp. suffruticosum","4072352956","MeiseBG","1983-06-04","Spain","http://creativecommons.org/licenses/by/4.0/legalcode","Meise Botanic Garden",NA,NA,NA
