"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Tetrathylacium macrophyllum Poepp. & Endl.","2464660476","NY","2013-03-26","Colombia","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",4444024,"succeeded",NA
"Tetrathylacium macrophyllum Poepp. & Endl.","1930765990","NY","2011-07-29","Colombia","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",5182896,"succeeded",NA
"Tetrathylacium macrophyllum Poepp. & Endl.","1929830206","NY","2001-05-07","Brazil","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",11025189,"succeeded",NA
"Tetrathylacium macrophyllum Poepp. & Endl.","1930853476","NY","2000-12-09","Brazil","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",11108679,"succeeded",NA
"Tetrathylacium macrophyllum Poepp. & Endl.","1929275832","NY","1993-04-04","Brazil","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",9172784,"succeeded",NA
