"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Panda oleosa Pierre","1931079360","NY","1987-05-18","Gabon","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",1883944,"succeeded",NA
"Panda oleosa Pierre","1930682547","NY","1986-05-11","Gabon","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",2829600,"succeeded",NA
"Panda oleosa Pierre","1840025965","MeiseBG","2016-02-01","Liberia","http://creativecommons.org/licenses/by/4.0/legalcode","Meise Botanic Garden",4035354,"succeeded",NA
"Panda oleosa Pierre","4876335278","MeiseBG","2015-01","Congo, Democratic Republic of the","http://creativecommons.org/licenses/by/4.0/legalcode","Meise Botanic Garden",2337894,"succeeded",NA
"Panda oleosa Pierre","2517473084",NA,"2015-11-23","Gabon","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Naturalis Biodiversity Center",1122128,"succeeded",NA
