"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Omphalea trichotoma Müll.Arg.","1927833062","NY","1911-03-10/1911-03-11","Cuba","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",9967290,"succeeded",NA
"Omphalea trichotoma Müll.Arg.","1929296093","NY","1910-12-08","Cuba","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",11724547,"succeeded",NA
"Omphalea trichotoma Müll.Arg.","1931018365","NY","1900-07-04","Cuba","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",7658679,"succeeded",NA
"Omphalea trichotoma Müll.Arg.","1931346996","NY","1849-04","Cuba","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",12213286,"succeeded",NA
"Omphalea trichotoma Müll.Arg.","1318475146","US","1943-03-14","Cuba","http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,63947713,"succeeded",NA
