"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Alchorneopsis floribunda (Benth.) Müll.Arg.","1929041319","NY","2011-10-24","Brazil","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",4177598,"succeeded",NA
"Alchorneopsis floribunda (Benth.) Müll.Arg.","1928649507","NY","2009-05-09","Costa Rica","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",3822884,"succeeded",NA
"Alchorneopsis floribunda (Benth.) Müll.Arg.","1928211385","NY","2008-01-28","Brazil","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",4462086,"succeeded",NA
"Alchorneopsis floribunda (Benth.) Müll.Arg.","1991444677","NY","2004-03-07","Suriname","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",3648209,"succeeded",NA
"Alchorneopsis floribunda (Benth.) Müll.Arg.","1991412609","NY","2001-01-21","Costa Rica","http://creativecommons.org/publicdomain/zero/1.0/legalcode","The New York Botanical Garden",3625419,"succeeded",NA
