"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Schizomeria whitei Mattf.","2418738196","BRI","2001-02-16","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,35068,"succeeded",NA
"Schizomeria whitei Mattf.","2827415975","NSW","2000-05-10","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,45381,"succeeded",NA
"Schizomeria whitei Mattf.","2418976411","BRI","1995-07-04","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,49890,"succeeded",NA
"Schizomeria whitei Mattf.","2418616311","BRI","1995-10-29","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,39421,"succeeded",NA
"Schizomeria whitei Mattf.","2418480610","BRI","1992-11-22","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,42206,"succeeded",NA
