"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Elaeocarpus johnsonii F.Muell. ex C.T.White","4538701793","K","2017-10-11T00:00","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,206262,"succeeded",NA
"Elaeocarpus johnsonii F.Muell.","2418528084","BRI","2010-05-22","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,34821,"succeeded",NA
"Elaeocarpus johnsonii F.Muell.","2829279911","NSW","2010-05-22","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,38926,"succeeded",NA
"Elaeocarpus johnsonii F.Muell.","2418815784","BRI","2004-05-13","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,42085,"succeeded",NA
"Elaeocarpus johnsonii F.Muell.","2825405390","BRI","2004-08-13","Australia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,34770,"succeeded",NA
