"scientificName","gbifID","institutionCode","eventDate","country","license","rightsHolder","filesize","status","error_message"
"Spiraeanthemum meridionale (Hoogland) Pillon","731706427","MNHN","2004-04-13","New Caledonia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,4592410,"succeeded",NA
"Spiraeanthemum meridionale (Hoogland) Pillon","731708609","MNHN","2004-04-29","New Caledonia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,6212384,"succeeded",NA
"Spiraeanthemum meridionale (Hoogland) Pillon","438971956","MNHN","1999-02-05","New Caledonia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,1736356,"succeeded",NA
"Spiraeanthemum meridionale (Hoogland) Pillon","731706419","MNHN","1996-04-11","New Caledonia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,3914390,"succeeded",NA
"Spiraeanthemum meridionale (Hoogland) Pillon","731699387","MNHN","1986-01-12","New Caledonia","http://creativecommons.org/licenses/by/4.0/legalcode",NA,5720167,"succeeded",NA
