"","(Intercept)","abs_lat","ai","bio_1","bio_12","bio_15","bio_4","srad","wind","df","logLik","AICc","delta","weight"
"2",-0.152,0.173,NA,NA,NA,NA,NA,NA,NA,4,-2122.175,4252.375,76.352,0
"177",-0.143,NA,NA,NA,NA,0.091,0.024,NA,0.13,6,-2120.46,4252.973,76.951,0
"37",-0.156,NA,NA,-0.227,NA,NA,-0.076,NA,NA,5,-2121.57,4253.179,77.157,0
"5",-0.156,NA,NA,-0.174,NA,NA,NA,NA,NA,4,-2123.512,4255.049,79.027,0
"225",-0.148,NA,NA,NA,NA,NA,0.062,0.09,0.082,6,-2122.9,4257.853,81.831,0
"193",-0.146,NA,NA,NA,NA,NA,NA,0.072,0.105,5,-2124.679,4259.395,83.373,0
"113",-0.134,NA,NA,NA,NA,0.052,0.096,0.1,NA,6,-2124.326,4260.706,84.684,0
"97",-0.14,NA,NA,NA,NA,NA,0.098,0.118,NA,5,-2126.603,4263.244,87.222,0
"129",-0.148,NA,NA,NA,NA,NA,NA,NA,0.125,4,-2128.559,4265.143,89.121,0
"161",-0.149,NA,NA,NA,NA,NA,0.024,NA,0.117,5,-2128.245,4266.528,90.506,0
"81",-0.126,NA,NA,NA,NA,0.055,NA,0.079,NA,5,-2129.399,4268.836,92.814,0
"65",-0.131,NA,NA,NA,NA,NA,NA,0.098,NA,4,-2131.953,4271.932,95.91,0
"49",-0.128,NA,NA,NA,NA,0.079,0.07,NA,NA,5,-2131.086,4272.21,96.188,0
"17",-0.122,NA,NA,NA,NA,0.077,NA,NA,NA,4,-2133.908,4275.841,99.819,0
"33",-0.136,NA,NA,NA,NA,NA,0.066,NA,NA,4,-2136.968,4281.961,105.939,0
"1",-0.13,NA,NA,NA,NA,NA,NA,NA,NA,3,-2139.503,4285.022,108.999,0
