"","(Intercept)","abs_lat","ai","bio_1","bio_12","bio_15","bio_4","srad","wind","df","logLik","AICc","delta","weight"
"207",-0.153,NA,0,-0.189,-0.113,NA,NA,0.164,0.017,8,-2092.041,4200.174,24.152,0
"72",-0.149,0.01,-0.101,-0.208,NA,NA,NA,0.143,NA,7,-2093.096,4200.264,24.242,0
"94",-0.152,0.014,NA,-0.19,-0.106,0.01,NA,0.166,NA,8,-2092.094,4200.28,24.258,0
"95",-0.151,NA,-0.003,-0.2,-0.106,0.008,NA,0.168,NA,8,-2092.142,4200.376,24.354,0
"80",-0.152,0.01,0.002,-0.191,-0.112,NA,NA,0.17,NA,8,-2092.167,4200.425,24.402,0
"236",-0.14,0.279,0.044,NA,-0.187,NA,-0.218,0.109,0.012,9,-2091.17,4200.454,24.432,0
"215",-0.149,NA,-0.096,-0.204,NA,0.02,NA,0.129,0.023,8,-2092.678,4201.447,25.425,0
"62",-0.143,0.268,NA,-0.127,-0.112,0.054,-0.291,NA,NA,8,-2092.73,4201.552,25.53,0
"88",-0.149,0.015,-0.094,-0.205,NA,0.017,NA,0.139,NA,8,-2092.879,4201.849,25.826,0
"252",-0.139,0.281,0.038,NA,-0.173,0.021,-0.218,0.098,0.018,10,-2090.87,4201.879,25.857,0
"223",-0.152,NA,-0.004,-0.189,-0.104,0.013,NA,0.157,0.021,9,-2091.912,4201.939,25.917,0
"222",-0.153,0.001,NA,-0.188,-0.107,0.013,NA,0.158,0.021,9,-2091.913,4201.941,25.918,0
"200",-0.15,0,-0.103,-0.207,NA,NA,NA,0.137,0.016,8,-2092.987,4202.065,26.043,0
"100",-0.132,0.308,-0.127,NA,NA,NA,-0.224,0.06,NA,7,-2094.011,4202.093,26.071,0
"208",-0.153,-0.001,0,-0.19,-0.113,NA,NA,0.164,0.017,9,-2092.041,4202.197,26.175,0
"174",-0.147,0.199,NA,-0.125,-0.147,NA,-0.277,NA,0.063,8,-2093.08,4202.252,26.23,0
"96",-0.152,0.014,0,-0.191,-0.105,0.01,NA,0.166,NA,9,-2092.094,4202.303,26.281,0
"116",-0.132,0.316,-0.115,NA,NA,0.03,-0.225,0.053,NA,8,-2093.293,4202.678,26.656,0
"216",-0.149,0.002,-0.096,-0.202,NA,0.021,NA,0.129,0.022,9,-2092.676,4203.467,27.445,0
"224",-0.152,0.001,-0.004,-0.188,-0.104,0.014,NA,0.157,0.021,10,-2091.912,4203.964,27.942,0
"228",-0.132,0.299,-0.129,NA,NA,NA,-0.222,0.056,0.011,8,-2093.958,4204.006,27.984,0
"46",-0.144,0.257,NA,-0.119,-0.139,NA,-0.294,NA,NA,7,-2095.11,4204.292,28.27,0
"52",-0.127,0.319,-0.132,NA,NA,0.04,-0.249,NA,NA,7,-2095.126,4204.324,28.302,0
"244",-0.132,0.3,-0.117,NA,NA,0.034,-0.222,0.045,0.021,9,-2093.111,4204.336,28.314,0
"180",-0.13,0.285,-0.13,NA,NA,0.044,-0.235,NA,0.043,8,-2094.18,4204.452,28.429,0
"36",-0.127,0.309,-0.151,NA,NA,NA,-0.251,NA,NA,6,-2096.399,4204.851,28.828,0
"164",-0.129,0.279,-0.151,NA,NA,NA,-0.239,NA,0.036,7,-2095.709,4205.489,29.467,0
"47",-0.126,NA,-0.282,-0.267,0.114,NA,-0.161,NA,NA,7,-2095.791,4205.653,29.631,0
"188",-0.131,0.275,-0.093,NA,-0.046,0.043,-0.238,NA,0.049,9,-2093.918,4205.95,29.928,0
"245",-0.168,NA,NA,-0.308,NA,0.048,-0.101,0.153,0.045,8,-2094.93,4205.952,29.929,0
"117",-0.165,NA,NA,-0.325,NA,0.038,-0.09,0.176,NA,7,-2095.956,4205.984,29.962,0
"60",-0.127,0.317,-0.115,NA,-0.021,0.039,-0.251,NA,NA,8,-2095.067,4206.225,30.203,0
"63",-0.126,NA,-0.272,-0.27,0.118,0.029,-0.155,NA,NA,8,-2095.104,4206.3,30.278,0
"186",-0.136,0.266,NA,NA,-0.132,0.051,-0.241,NA,0.061,8,-2095.141,4206.373,30.351,0
"39",-0.125,NA,-0.188,-0.234,NA,NA,-0.161,NA,NA,6,-2097.188,4206.43,30.408,0
"101",-0.17,NA,NA,-0.33,NA,NA,-0.091,0.19,NA,6,-2097.238,4206.53,30.508,0
"44",-0.127,0.307,-0.13,NA,-0.026,NA,-0.253,NA,NA,7,-2096.308,4206.687,30.665,0
"172",-0.13,0.269,-0.112,NA,-0.048,NA,-0.242,NA,0.042,8,-2095.421,4206.933,30.911,0
"55",-0.125,NA,-0.176,-0.235,NA,0.026,-0.155,NA,NA,7,-2096.614,4207.299,31.277,0
"229",-0.172,NA,NA,-0.32,NA,NA,-0.098,0.178,0.028,7,-2096.813,4207.698,31.676,0
"189",-0.143,NA,NA,-0.179,-0.142,0.054,-0.161,NA,0.115,8,-2095.86,4207.811,31.789,0
"58",-0.133,0.319,NA,NA,-0.126,0.047,-0.259,NA,NA,7,-2097.053,4208.177,32.155,0
"170",-0.137,0.256,NA,NA,-0.156,NA,-0.247,NA,0.056,7,-2097.267,4208.606,32.584,0
"86",-0.165,0.063,NA,-0.21,NA,0.042,NA,0.162,NA,7,-2097.548,4209.166,33.144,0
"85",-0.165,NA,NA,-0.26,NA,0.039,NA,0.172,NA,6,-2098.726,4209.505,33.483,0
"42",-0.134,0.306,NA,NA,-0.149,NA,-0.264,NA,NA,6,-2098.92,4209.894,33.872,0
"69",-0.169,NA,NA,-0.265,NA,NA,NA,0.186,NA,5,-2100.068,4210.175,34.153,0
"70",-0.17,0.057,NA,-0.219,NA,NA,NA,0.178,NA,6,-2099.094,4210.242,34.22,0
"182",-0.162,0.255,NA,-0.155,NA,0.091,-0.258,NA,0.058,8,-2097.094,4210.279,34.257,0
"173",-0.144,NA,NA,-0.169,-0.168,NA,-0.169,NA,0.109,7,-2098.238,4210.548,34.526,0
"213",-0.166,NA,NA,-0.244,NA,0.046,NA,0.157,0.029,7,-2098.289,4210.65,34.628,0
"214",-0.166,0.057,NA,-0.209,NA,0.044,NA,0.157,0.011,8,-2097.495,4211.082,35.06,0
"54",-0.157,0.307,NA,-0.149,NA,0.087,-0.275,NA,NA,7,-2098.864,4211.799,35.777,0
"197",-0.17,NA,NA,-0.258,NA,NA,NA,0.181,0.013,6,-2099.972,4211.998,35.976,0
"198",-0.17,0.06,NA,-0.22,NA,NA,NA,0.18,-0.005,7,-2099.081,4212.232,36.21,0
"74",-0.137,0.119,NA,NA,-0.13,NA,NA,0.121,NA,6,-2100.6,4213.254,37.231,0
"151",-0.139,NA,-0.124,-0.117,NA,0.05,NA,NA,0.077,7,-2100.129,4214.328,38.306,0
"114",-0.151,0.358,NA,NA,NA,0.061,-0.202,0.082,NA,7,-2100.178,4214.427,38.404,0
"76",-0.141,0.118,0.071,NA,-0.197,NA,NA,0.143,NA,7,-2100.19,4214.451,38.429,0
"202",-0.138,0.099,NA,NA,-0.134,NA,NA,0.112,0.028,7,-2100.248,4214.568,38.546,0
"90",-0.136,0.123,NA,NA,-0.122,0.016,NA,0.116,NA,7,-2100.414,4214.898,38.876,0
"159",-0.138,NA,-0.188,-0.142,0.077,0.051,NA,NA,0.07,8,-2099.526,4215.143,39.121,0
"204",-0.142,0.1,0.068,NA,-0.197,NA,NA,0.133,0.026,8,-2099.882,4215.856,39.834,0
"218",-0.138,0.101,NA,NA,-0.124,0.022,NA,0.103,0.034,8,-2099.917,4215.926,39.904,0
"92",-0.141,0.122,0.068,NA,-0.187,0.014,NA,0.137,NA,8,-2100.046,4216.183,40.161,0
"152",-0.138,-0.016,-0.127,-0.126,NA,0.05,NA,NA,0.082,8,-2100.076,4216.243,40.22,0
