"","x"
"1","Illicium_henryi_Diels"
"2","Buxus_portoricensis_Alain"
"3","Degeneria_vitiensis_L.W.Bailey_&_A.C.Sm."
"4","Glaucium_flavum_Crantz"
"5","Fendlera_rupicola_A.Gray"
"6","Soyauxia_gabonensis_Oliv."
"7","Tetracentron_sinense_Oliv."
"8","Dryas_drummondii_Richardson_ex_Hook."
"9","Illicium_fargesii_Finet_&_Gagnep."
"10","Cabomba_caroliniana_A.Gray"
"11","Alchorneopsis_floribunda_-Benth.-_Müll.Arg."
"12","Zygogynum_crassifolium_-Baill.-_Vink"
"13","Ascarina_polystachya_J.R.Forst._&_G.Forst."
"14","Atherosperma_moschatum_Labill."
"15","Nepenthes_tentaculata_Hook.fil."
"16","Gyrocarpus_americanus_Jacq."
"17","Thottea_parviflora_Ridl."
"18","Amborella_trichopoda_Baill."
"19","Ceratophyllum_echinatum_A.Gray"
"20","Saxifraga_oppositifolia_subsp._oppositifolia"
"21","Caryodaphnopsis_tonkinensis_-Lecomte-_Airy_Shaw"
"22","Buxus_hildebrandtii_Baill."
"23","Porcelia_steinbachii_-Diels-_R.E.Fr."
"24","Eucnide_aurea_-A.Gray-_H.J.Thomps._&_W.R.Ernst"
"25","Ascarina_rubricaulis_Solms"
"26","Aesculus_parryi_A.Gray"
"27","Didymeles_perrieri_Leandri"
"28","Idiospermum_australiense_-Diels-_S.T.Blake"
"29","Trimenia_moorei_-Oliv.-_Philipson"
"30","Piper_kadsura_-Choisy-_Ohwi"
"31","Menispermum_canadense_L."
"32","Magnolia_laevifolia_-Y.W.Law_&_Y.F.Wu-_Noot."
"33","Welchiodendron_longivalve_-F.Muell.-_Paul_G.Wilson_&_J.T.Waterh."
"34","Aristolochia_malacophylla_Standl."
"35","Fuchsia_cyrtandroides_J.W.Moore"
"36","Illicium_verum_Hook.fil."
"37","Diogoa_zenkeri_-Engl.-_Exell_&_Mendonça"
"38","Schisandra_elongata_-Blume-_Baill."
"39","Schisandra_chinensis_-Turcz.-_Baill."
"40","Limoniastrum_monopetalum_-L.-_Boiss."
"41","Maburea_trinervis_Maas"
"42","Persoonia_falcata_R.Br."
"43","Dendromecon_harfordii_Kellogg"
"44","Ripogonum_album_R.Br."
"45","Siparuna_decipiens_-Tul.-_A.DC."
"46","Potoxylon_melagangai_-Symington-_Kosterm."
"47","Itea_virginica_L."
"48","Eupomatia_barbata_Jessup"
"49","Toronia_toru_-A.Cunn.-_L.A.S.Johnson_&_B.G.Briggs"
"50","Brasenia_schreberi_J.F.Gmel."
"51","Rubus_ellipticus_Sm."
"52","Canella_winterana_-L.-_Gaertn."
"53","Bauhinia_longicuspis_Spruce_ex_Benth."
"54","Hedyosmum_gentryi_D'_Arcy_&_Liesner"
"55","Buxus_harlandii_Hance"
"56","Gyrostemon_tepperi_-F.Muell._ex_H.Walter-_A.S.George"
"57","Liriodendron_chinense_-Hemsl.-_Sarg."
"58","Sarcandra_glabra_-Thunb.-_Nakai"
"59","Decaisnea_fargesii_Franch."
"60","Kadsura_coccinea_-Lem.-_A.C.Sm."
"61","Carpenteria_californica_Torr."
"62","Cardwellia_sublimis_F.Muell."
"63","Ripogonum_elseyanum_F.Muell."
"64","Afrostyrax_kamerunensis_Perkins_&_Gilg"
"65","Galbulimima_baccata_F.M.Bailey"
"66","Gonocaryum_minus_Sleumer"
"67","Hedyosmum_nutans_Sw."
"68","Manekia_sydowii_-Trel.-_T.Arias-_Callejas_&_Bornst."
"69","Thottea_penitilobata_Ding_Hou"
"70","Laurelia_novae-zelandiae_A.Cunn."
"71","Streptothamnus_moorei_F.Muell."
"72","Magnolia_utilis_-Dandy-_V.S.Kumar"
"73","Meliosma_sumatrana_-Jack-_Walp."
"74","Roucheria_schomburgkii_Planch."
"75","Eschscholzia_palmeri_Rose"
"76","Lavigeria_macrocarpa_-Oliv.-_Pierre"
"77","Strephonema_mannii_Hook.fil."
"78","Anaxagorea_javanica_Blume"
"79","Cinnamosma_fragrans_Baill."
"80","Takhtajania_perrieri_-Capuron-_Baranova_&_J.-F.Leroy"
"81","Ripogonum_brevifolium_Conran_&_Clifford"
"82","Perichasma_laetificata_Miers"
"83","Drimys_andina_-Reiche-_R.A.Rodr._&_Quezada"
"84","Hypserpa_smilacifolia_Diels"
"85","Aspidostemon_parvifolius_-Scott_Elliot-_van_der_Werff"
"86","Hedyosmum_costaricense_C.E.Wood_ex_W.C.Burger"
"87","Gomortega_keule_-Molina-_Baill."
"88","Hypodaphnis_zenkeri_-Engl.-_Stapf"
"89","Drosophyllum_lusitanicum_-L.-_Link"
"90","Ascarina_marquesensis_A.C.Sm."
"91","Crassula_orbicularis_L."
"92","Dipentodon_sinicus_Dunn"
