"","(Intercept)","ai","bio_1","bio_12","bio_15","bio_4","srad","wind","df","logLik","AICc","delta","weight"
"101",0.211,NA,NA,0,NA,NA,0,0.024,6,-398.467,808.988,32.738,0
"16",0.608,0,-0.01,0,0.001,NA,NA,NA,7,-397.806,809.682,33.433,0
"117",0.255,NA,NA,0,NA,0,0,0.028,7,-397.807,809.686,33.436,0
"102",0.16,0,NA,0,NA,NA,0,0.024,7,-398.137,810.344,34.095,0
"8",0.644,0,-0.009,0,NA,NA,NA,NA,6,-399.18,810.414,34.165,0
"109",0.206,NA,NA,0,0,NA,0,0.026,7,-398.229,810.53,34.281,0
"12",0.591,0,-0.008,NA,0.001,NA,NA,NA,6,-399.301,810.655,34.405,0
"4",0.625,0,-0.007,NA,NA,NA,NA,NA,5,-400.515,811.068,34.819,0
"118",0.206,0,NA,0,NA,0,0,0.028,8,-397.53,811.151,34.901,0
"125",0.25,NA,NA,0,0,0,0,0.03,8,-397.596,811.284,35.034,0
"110",0.159,0,NA,0,0,NA,0,0.025,8,-397.95,811.991,35.742,0
"79",0.419,NA,-0.005,0,0.001,NA,NA,0.031,7,-399.011,812.092,35.843,0
"126",0.205,0,NA,0,0,0,0,0.029,9,-397.362,812.838,36.589,0
"31",0.703,NA,-0.011,0,0.001,0,NA,NA,7,-399.793,813.657,37.408,0
"37",0.237,NA,NA,0,NA,NA,0,NA,5,-402.179,814.396,38.147,0
"23",0.746,NA,-0.01,0,NA,0,NA,NA,6,-401.296,814.644,38.395,0
"93",0.388,NA,NA,0,0.001,0,NA,0.04,7,-400.522,815.115,38.865,0
"38",0.174,0,NA,0,NA,NA,0,NA,6,-401.697,815.446,39.197,0
"94",0.4,0,NA,0,0.001,0,NA,0.038,8,-399.903,815.897,39.648,0
"86",0.45,0,NA,0,NA,0,NA,0.036,7,-400.962,815.995,39.745,0
"85",0.444,NA,NA,0,NA,0,NA,0.039,6,-401.972,815.998,39.749,0
"74",0.361,0,NA,NA,0.001,NA,NA,0.033,6,-402.153,816.359,40.11,0
"45",0.238,NA,NA,0,0,NA,0,NA,6,-402.169,816.391,40.142,0
"71",0.479,NA,-0.004,0,NA,NA,NA,0.028,6,-402.172,816.397,40.148,0
"53",0.237,NA,NA,0,NA,0,0,NA,6,-402.179,816.411,40.162,0
"91",0.469,NA,-0.012,NA,0.001,0,NA,0.038,7,-401.257,816.586,40.337,0
"77",0.345,NA,NA,0,0.001,NA,NA,0.036,6,-402.42,816.893,40.643,0
"78",0.365,0,NA,0,0.001,NA,NA,0.033,7,-401.413,816.897,40.648,0
"98",0.319,0,NA,NA,NA,NA,0,0.027,6,-402.427,816.907,40.657,0
"66",0.414,0,NA,NA,NA,NA,NA,0.03,5,-403.509,817.055,40.806,0
"90",0.381,0,NA,NA,0.001,0,NA,0.035,7,-401.495,817.062,40.813,0
"82",0.432,0,NA,NA,NA,0,NA,0.033,6,-402.573,817.2,40.951,0
"106",0.302,0,NA,NA,0,NA,0,0.03,7,-401.631,817.333,41.084,0
"46",0.174,0,NA,0,0,NA,0,NA,7,-401.672,817.416,41.166,0
"54",0.173,0,NA,0,NA,0,0,NA,7,-401.696,817.464,41.214,0
"70",0.419,0,NA,0,NA,NA,NA,0.03,6,-402.862,817.778,41.529,0
"114",0.356,0,NA,NA,NA,0,0,0.03,7,-402.121,818.314,42.065,0
