"","r_squared"
"Abelia",0.585002395106228
"Aextoxicon",0.733345309224114
"Afrostyrax",0.711224034545244
"Akebia",0.458798002693294
"Alangium",0.666932645946178
"Alnus",0.323513118809124
"Alvaradoa",0.476847064237247
"Ampelocissus",0.754096531600001
"Ampelopsis",0.19746407517919
"Anaxagorea",0.581084336180426
"Arbutus",0.545131062860619
"Artabotrys",0.421056926733772
"Astrocasia",0.489353158077283
"Atroxima",0.634030727500226
"Azara",0.596849178530188
"Bauhinia",0.815043462616166
"Beilschmiedia",0.540029126319652
"Berberidopsis",0.0214322491860243
"Betula",0.280018171832903
"Blastus",0.776548219228625
"Boquila",0.309973871885766
"Carpinus",0.560293111355225
"Carpolobia",0.937948281540856
"Celtis",0.62165899575342
"Cercidiphyllum",0.596941703041137
"Chaetocarpus",0.78070508659493
"Chidlowia",0.942661779804299
"Cissus",0.644134160388827
"Clematis",0.284733945157181
"Clutia",0.874523447271746
"Cocculus",0.789609979927037
"Colubrina",0.0470705535359195
"Combretum",0.72104671305384
"Compsoneura",0.526016355964961
"Cornus",0.499703483912037
"Corylopsis",0.387747948254831
"Crossopetalum",0.145752024862351
"Cryptocarya",0.595462706259378
"Cyathostegia",0.06414538288606
"Davilla",0.421233679904108
