"specimen","mean_LMA","lat","lon"
"Abelia_chinensis_1322650528",6.20132418586664,38.9151,-76.9505
"Abelia_chinensis_1928192848",6.37160680836064,33.647431,-96.597934
"Abelia_chinensis_1929297655",6.90471236372413,30.611374,-96.345704
"Abelia_chinensis_1930627126",6.01854243737803,34.135285,-117.915063
"Abelia_chinensis_2430684398",5.93838297427921,34.504024,-81.016892
"Abelia_macrotera_1038993659",5.94457867946431,31.4379,110.37817
"Abelia_macrotera_1927785426",7.05058201946963,37.973535,-122.531087
"Abelia_macrotera_1930477388",6.93394079352197,43.154783,-77.615558
"Abelia_macrotera_1990221484",7.46612993517787,35.793081,-78.697987
"Abelia_macrotera_4064849645",4.30714096664809,33.641389,107.816667
"Abuta_rufescens_1929339615",12.6342939493705,-4.5444,-56.3133
"Acaena_elongata_1318483617",22.5302554089991,9.04509,-70.5129
"Acer_caesium_1930028166",6.97764309105281,47.60621,-122.332071
"Acer_caesium_4064833157",4.21612433781092,31.018517,107.7974
"Acer_caesium_4064838296",16.9347286734043,32.817993,103.918183
"Acer_distylum_1840500510",9.20693899233203,50.235555,5.514722
"Acer_distylum_1930543642",7.22179585201563,37.770247,-122.435949
"Acer_distylum_1930585128",19.6360193479231,43.154783,-77.615558
"Acer_distylum_1930715142",8.54361188731744,34.052234,-118.243685
"Acer_distylum_4064832852",13.7815654529197,36.7742,139.82715
"Acer_grandidentatum_3969814771",8.17689920715394,32.742222,-97.363611
"Acer_grandidentatum_4912065061",10.1358769916856,41.2303,-111.9254
"Acer_grandidentatum_4912211629",16.872187759724,39.31175,-112.30292
"Acer_grandidentatum_4912252275",3.27002199270044,39.83131,-111.98249
"Aceratium_ledermannii_2397720543",7.45619431856793,-6.72,145
"Ackama_celebica_1897819420",8.26664231903237,-5.216667,144.483333
"Acridocarpus_natalitius_1931122773",5.43288888877433,-27.824267,31.418867
"Acridocarpus_natalitius_731692679",6.19139768073373,-32.37083,28.75278
"Actinidia_eriantha_1988167560",5.57470315975153,49.25,-123.233333
"Actinidia_eriantha_607796090",5.08432784987115,27.65556,114.58806
"Actinidia_eriantha_694318963",7.19601108827849,24.98753,112.85545
"Actinidia_eriantha_730748361",5.31960055316432,26.43428,111.32206
"Actinidia_fulvicoma_2397741345",5.83855623287024,16.25,107.85
"Actinidia_fulvicoma_607725296",11.0509709204489,23.74488,114.70047
"Actinidia_fulvicoma_730745157",6.6106617461044,16.22284,107.8578
"Actinidia_fulvicoma_730745158",11.5383808321418,16.25,107
"Actinidia_fulvicoma_730745159",7.12883269597255,26.40736,111.04845
"Actinidia_melanandra_607589594",9.47462203380466,25.04767,102.70497
"Actinidia_melanandra_607589606",10.066198939459,0,0
"Actinidia_melanandra_607589612",10.9987475908994,42.68472,143.65111
"Actinidia_melanandra_607589613",8.28104236854991,31.02917,103.62805
"Actinidia_melanandra_607589618",11.4034012311465,25.04535,102.70994
"Adenaria_floribunda_1928159887",7.47503608749899,-9.481,-70.597
"Adenaria_floribunda_1928933241",3.67967003042753,6.63442,-76.22414
"Adenaria_floribunda_1929709044",6.98551743911298,-8.92833,-72.53875
"Adenaria_floribunda_1930692899",7.12998530326316,-8.7753,-71.7475
"Adenaria_floribunda_3455081320",4.3963416679106,-9.043764,-72.3207
"Adinandra_dumosa_1929965281",5.98383126025841,3.905,115.4917
"Adinandra_dumosa_2433347681",4.8619513267143,1.873889,99.026028
"Adinobotrys_atropurpureus_2270539717",6.14574069009734,1.314086,103.815871
"Adinobotrys_atropurpureus_2640599005",4.24124494642519,-0.307873,100.369163
"Aegialitis_annulata_2235742436",7.49767704304283,-14.52,144.85
"Aegialitis_annulata_2514406866",9.22041001668256,-9.53333,147.28333
"Aegialitis_annulata_2514474877",7.49430118606824,-9.91667,120.73333
"Aegialitis_annulata_2514487857",8.1333527550199,-6.83333,134.33333
"Aegialitis_annulata_2514501874",13.3479288922343,-15.75,136.7
"Aegiceras_corniculatum_2515199832",6.76513409699943,4.21,117.53817
"Aegiceras_corniculatum_2516734125",4.98505440679059,-8.68194,126.95694
"Aegiceras_corniculatum_2517141989",6.61746953408217,-10.05,150.95
"Aethionema_grandiflorum_2242360075",9.19533973511694,39.732207,-104.961468
"Aextoxicon_punctatum_1936691116",6.8407211261858,-35.8167,-72.5
"Aextoxicon_punctatum_1936692470",4.78726030877465,-36.2333,-71.2333
"Aextoxicon_punctatum_2270693892",7.59303762442251,-36.6533,-71.3718
"Aextoxicon_punctatum_2805015868",4.84494050916323,-39.85361,-71.95444
"Aextoxicon_punctatum_4072517868",6.83538747234552,-36.7,-71.633333
"Afrobrunnichia_erecta_1839421277",6.74259576634438,0.686419,24.221099
"Afrobrunnichia_erecta_1840140130",6.40691544510762,5.074166,-8.562222
"Afrobrunnichia_erecta_2516082866",5.58779626502427,-1.16278,10.33722
"Afrobrunnichia_erecta_2517835455",9.22225892154331,0.4325,9.97544
"Afrobrunnichia_erecta_4093667861",5.88745539767698,0.53,9.32
"Afrocayratia_debilis_1840448698",9.35635986463473,0.634999,9.589999
"Afrocayratia_debilis_3750304879",6.46210007979827,0.28285,6.486233
"Afrocayratia_debilis_3820364899",12.2822076374461,0.28534,6.6255
"Afrocayratia_triternata_2516042764",14.1260414317294,-19.63278,47.73167
"Afrocayratia_triternata_437872318",8.30628502558851,-12.32278,49.335
"Afrocayratia_triternata_439562197",8.4191762610738,-18.05,44.51667
"Afrostyrax_kamerunensis_1455712883",3.83081089840228,-0.77,10.50944
"Afrostyrax_kamerunensis_1839391698",3.69387823552312,2.336116,9.946749
"Afrostyrax_kamerunensis_1839820051",4.5420859244784,0.86828,24.456547
"Afrostyrax_kamerunensis_1840053088",4.44582928677532,-1.020277,11.140833
"Afrostyrax_kamerunensis_2516201540",4.9985322232505,-1.05611,11.09556
"Afrostyrax_kamerunensis_2517588143",3.56121353294261,0.33628,9.99475
"Afrostyrax_kamerunensis_4067853330",5.27693291199309,0.3338,10.36336
"Afrostyrax_lepidophyllus_1839402205",4.55163878172518,2.768033,10.536383
"Afrostyrax_lepidophyllus_1839409254",4.69350981181919,4.055722,9.128138
"Afrostyrax_lepidophyllus_1839820200",5.11343816146731,0.82693,24.523027
"Afrostyrax_lepidophyllus_1839820407",5.1181016274731,0.814425,24.485552
"Afrostyrax_lepidophyllus_1839820613",6.56159901999741,0.869177,24.470186
"Afrostyrax_lepidophyllus_4906905091",4.41177298607535,3.1244,13.8932
"Afrostyrax_lepidophyllus_4906911434",5.33152603250577,3.0497,14.1132
"Agdestis_clematidea_1228260958",12.7610202385106,10,-84.8333
"Agdestis_clematidea_1317455607",23.8945191722179,21.9917,-84.22
"Agdestis_clematidea_1503275057",14.4520061574293,28.0136,-82.4553
"Agdestis_clematidea_1928772447",12.6668163968907,23.064654,-82.428315
"Agdestis_clematidea_4403939371",9.16441093745865,18.6872,-95.1751
