"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs.type","recordedByIDs.value","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","recordedByIDs","coordinateUncertaintyInMeters","identifiedByIDs.type","identifiedByIDs.value","occurrenceRemarks","informationWithheld","identificationRemarks","gadm","distanceFromCentroidInMeters","projectId","individualCount","elevation","elevationAccuracy","institutionKey","preparations","recordNumber","nomenclaturalCode","institutionID","ownerInstitutionCode","networkKeys","gadm.level0.gid","gadm.level0.name","collectionKey","fieldNumber","otherCatalogNumbers","habitat","http...unknown.org.recordID","associatedTaxa","locality","county","taxonRemarks","locationID","rights","higherClassification","collectionID","reproductiveCondition","georeferenceRemarks","http...unknown.org.recordEnteredBy","disposition","previousIdentifications","language","type","higherGeography","municipality","islandGroup","island","lifeStage","dynamicProperties","verbatimElevation","locationRemarks","eventRemarks","associatedOccurrences","nomenclaturalStatus","bibliographicCitation","organismID","accessRights","georeferencedDate","georeferenceSources","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","media_url"
"4598144335","Eugenia foetida Pers.",18.61575,-71.77528,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:02.198+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Independencia",2021,5,26,"2021-05-26",146,146,NA,"2024-08-05T04:07:02.198+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:286396","http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"47e47379-f53e-4d56-89e6-13a369236193","none","none",FALSE,NA,"Lucas F. Bacci;Teodoro Clase;Lucas C. Majure;Thomas Murphy",NA,"WGS84","Magnoliopsida","DO",NA,NA,"none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","University of Florida","47e47379-f53e-4d56-89e6-13a369236193",NA,NA,"Sierra de Neiba, carretera internacional, saliendo de La Descobierta. Sabana real.",NA,"4598144335","47e47379-f53e-4d56-89e6-13a369236193",NA,"286396","FLAS",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,NA,"location information not given for endangered species",NA,NA,NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","467","ICN","University of Florida Herbarium","FLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/2518b6da-908f-4b22-aa1e-e88b3c81a3bc"
"3923947315","Eugenia foetida Pers.",18.11247,-63.03145,"cdc,gass84","b5cdf794-8fa4-4a85-8b26-755d087bf531","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","2cd829bb-b713-433d-99cf-64bef11e5b3e","FR","EML","2024-07-31T14:46:57.413+00:00","2024-07-31T15:50:16.599+00:00",549,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA",NA,2021,10,31,"2021-10-31",304,304,"2022-09-15T14:50:22.000+00:00","2024-07-31T15:50:16.599+00:00",NA,"http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00860778","none","none",FALSE,NA,"Lecompte, C.|Ferlay, B.|Servientis, N.|Andreis, D.",NA,"WGS84","Magnoliopsida","MF",NA,NA,"none","LATIN_AMERICA","Saint Martin (French part)","EUROPE",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00860778",NA,NA,"Red Rock","P","3923947315","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00860778",NA,"P00860778","MNHN",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,NA,NA,NA,NA,2280.53444681688,NA,NA,212,NA,"6a6ac6c5-1b8a-48db-91a2-f8661274ff80","hb",NA,NA,"http://grbio.org/institution/museum-national-dhistoire-naturelle",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","MAF","Saint-Martin","bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2","647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://mediaphoto.mnhn.fr/media/1665061831493uNChnz7Co0zzaQcV"
"3343611455","Eugenia foetida Pers.",17.96959,-66.86931,"cdc,cudc,ambinst","3fed506c-d04f-4cd4-b373-bd602572f39b","e794e60e-e558-4549-99f8-cfb241cdce24","1de87984-ce7c-407c-988c-a28014ae53ad","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-07-30T07:20:10.759+00:00","2024-07-30T07:20:26.048+00:00",252,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Puerto Rico",2020,11,24,"2020-11-24",329,329,"2024-04-18T10:44:12.000+00:00","2024-07-30T07:20:26.048+00:00","https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=856726","http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"856726","none","none",FALSE,NA,"W. Plaza-Muniz",NA,"WGS84","Magnoliopsida","PR",NA,NA,"none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"856726",NA,NA,NA,"TPLC-HV","3343611455","NEON04N62","34620","NEON04N62","NEON",NA,NA,NA,"Eugenia foetida Pers.","none",5,NA,NA,"Terrestrial plant herbarium voucher collected during NEON plant diversity survey protocols conducted 1-2 annually.",NA,NA,NA,NA,NA,NA,152,NA,NA,"herbarium sheet","86",NA,NA,"ASU",NA,NA,NA,NA,NA,"NEON sampleID: pla.GUAN.20201124.07:40.wp.V86|NEON sampleCode (barcode): B00000034414|NEON sampleUUID: ca7ac3e8-6dee-4340-96c3-7c8b7f0a01b3","Dry forest partially shaded area in a limestone substrate alongside Ballenas trail","b988ca1a-58e0-4ee6-976f-7e0305e69657","Gymnanthes lucida, Comocladia dodonaea, Thouinia striata var. portoricensis","Domain 04, Guanica Forest NEON, Guanica Dry Forest, PR","Guanica Municipio","Identification source: inferred from shipment manifest","GUAN","http://creativecommons.org/publicdomain/zero/1.0/","Organism|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Eugenia","951b3637-fded-4c51-a565-e0e12063c408","fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000034/B00000034414_lg.jpg"
"4911410443","Eugenia foetida Pers.",25.4363,-80.506,"cdc,colmafu,inmafu","27b4ff4b-29c3-4017-9c48-3750861392f7","0eabc674-8106-401e-9613-5f10164b562d","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-02T21:26:17.029+00:00","2024-08-02T21:39:37.559+00:00",306,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC","2020-12-18T00:00:00","NORTH_AMERICA","Florida",2020,12,18,"2020-12-18",353,353,"2024-07-22T09:13:12.000+00:00","2024-08-02T21:39:37.559+00:00","https://sernecportal.org/portal/collections/individual/index.php?occid=32831182","http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"32831182","none","none",FALSE,NA,"Basinger, Mark A.; Basinger, Myra F.","Basinger, Mark A.","WGS84","Magnoliopsida","US",NA,NA,"none","NORTH_AMERICA","United States of America","NORTH_AMERICA",NA,"32831182",NA,NA,NA,"Vascular Plants","4911410443","96aacc29-196c-4a58-92be-b9052b32536b","47823","NCU00453227","NCU",NA,NA,NA,"Eugenia foetida Pers.","none",300,NA,NA,"Plants had a distinct skunky odor, even at a distance.",NA,NA,NA,NA,NA,NA,NA,NA,"aa4daddc-a758-41fc-b363-d5642c838996",NA,"s.n.",NA,NA,NA,NA,NA,NA,"a7e21e07-4d7a-4ace-b2ce-11c39809bb5b",NA,"NCU Accession #: 686421","Rockland hammock.","96aacc29-196c-4a58-92be-b9052b32536b",NA,"Navy Wells Pineland, along SW 192nd Street (FL 9336) accessed at end of SW 354th Street on both sides of the water treatment plant, Homestead.","Miami Dade","= Eugenia buxifolia (Swartz) Willdenow",NA,"http://creativecommons.org/licenses/by-nc/3.0/","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","17f2d0fa-39a6-4465-8055-1d6fc12eeda2",NA,"[lat/long on original label]","mayapeterson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://sernecportal.org/imglib/seinet/sernec/NCU_VascularPlants/NCU00453/NCU00453227_0001.JPG"
"1934744710","Eugenia foetida Pers.",18.401081,-71.050733,"cdc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:33.460+00:00",320,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Barahona",2016,11,12,"2016-11-12",317,317,"2023-07-16T07:02:03.000+00:00","2024-08-01T23:10:33.460+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20469018","http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"20469018","none","none",FALSE,NA,"Lucas C. Majure; Teodoro Clase, Yuley Encarnación Piñyero, Janet Franklin, Miguel Landestoy, Doug Soltis, David Steadman",NA,"WGS84","Magnoliopsida","DO",NA,NA,"none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"20469018",NA,NA,NA,NA,"1934744710","6c69dc62-b112-47bb-9ba7-fefb41e86756","47823","DES00087055","DES",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,"Arbusto hasta 2 m.",NA,NA,NA,NA,NA,NA,685,NA,"a8dfdf0d-ceae-466f-ab90-393a0d2319be",NA,"6440",NA,NA,NA,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,"bosque seco tropical, suelos sobre roca calcarea","6c69dc62-b112-47bb-9ba7-fefb41e86756","Buxus glomeratus, Celtis trinervia, Chiococca alba, Clerodendron aculeatum, Erythroxylum suave, Eugenia foetida, Goania lupuloides, Krugiodendron ferreum, Leptocereus weingartianus, Mammillaria prolifera, Reynosia mucronata, Rivina humilis, Sideroxylon salicifolium, Ziziphus rignonii.","Sierra Martín García, ca. 0.6 km al noreste del Cruce de Vicente Noble, al noeste ca. 11.2 km de la Carretera 44, a lo largo del un arroyo seco.",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/3.0/","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,"lschneberger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00087/DES00087055_lg.jpg"
"2572936961","Eugenia foetida Pers.",18.401081,-71.050733,"cdc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:23.230+00:00",320,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Barahona",2016,11,13,"2016-11-13",318,318,"2023-07-16T07:02:03.000+00:00","2024-08-01T23:10:23.230+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20952675","http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"20952675","none","none",FALSE,NA,"Lucas C. Majure; Teodoro Clase, Yuley Encarnación Piñyero, Janet Franklin, Miguel Landestoy, Doug Soltis, David Steadman",NA,"WGS84","Magnoliopsida","DO",NA,NA,"none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"20952675",NA,NA,NA,NA,"2572936961","bbb52d8c-af61-43ae-accb-9a9875f82802","47823","DES00087340","DES",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,"Arbusto hasta 2 m de alto.",NA,NA,NA,NA,NA,NA,685,NA,"a8dfdf0d-ceae-466f-ab90-393a0d2319be",NA,"6460",NA,NA,NA,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,"Bosque seco tropical, suelos sobre roca calcarea.","bbb52d8c-af61-43ae-accb-9a9875f82802","Buxus glomeratus, Celtis trinervia, Chiocacca alba, Clerodendron aculeatum, Erythroxylum suave, Eugenia foetida, Goania lupuloides, Krugiodendron ferreum, Leptocereus weingartianus, Mammillaria prolifera, Reynosia mucronata, Rivina humilis, Sideroxylon salicifolium, Ziziphus rignonii.","Sierra Martin Garcia, ca. 0.6 km al noreste del Cruce de Vincente Noble, al noreste ca. 11.2 km de la Carretera 44, a lo largo de un arroyo seco.",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/3.0/","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","edb9860c-c481-4d19-88cc-224a536ebcd4","flowering",NA,"eleanoreros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/DES/DES00087/DES00087340_lg.jpg"
"3754651312","Eugenia foetida Pers.",27.5653,-82.5929,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:12.976+00:00",398,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Florida",2014,5,22,"2014-05-22",142,142,NA,"2024-01-29T12:47:12.976+00:00",NA,"http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"AA9B911B-C993-4FE8-9E38-03500FA9A2BC","none","none",FALSE,NA,"C. Becker",NA,"WGS84","Magnoliopsida","US",NA,NA,"none","NORTH_AMERICA","United States of America","NORTH_AMERICA",NA,"AA9B911B-C993-4FE8-9E38-03500FA9A2BC",NA,NA,NA,"Herb","3754651312","AA9B911B-C993-4FE8-9E38-03500FA9A2BC",NA,"303156","USF",NA,NA,"343880","Eugenia foetida Pers.","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"efc9e42f-509d-47fe-a30a-1bbd7ac8ba31",NA,"MB0079","ICN","urn:lsid:biocol.org:col:15638",NA,NA,NA,NA,NA,NA,NA,"Shell mound.",NA,NA,"Madira Bickel Mound State Archaeological Site","Manatee Co.",NA,NA,NA,"Plantae | Dicots | Myrtaceae",NA,NA,NA,NA,NA,NA,"en","PhysicalObject","USA|Florida|Manatee Co.","Madira Bickel Mound State Archaeological Site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/303156.jpg"
"1318007546","Eugenia foetida Pers.",18.1836,-63.0761,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:38:47.387+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA",NA,2013,1,10,"2013-01-10",10,10,"2019-01-10T01:08:00.000+00:00","2024-08-02T12:38:47.387+00:00",NA,"http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"http://n2t.net/ark:/65665/3239c2f0c-2392-4da3-b74d-23d2b08d6b90","none","none",FALSE,"NMNH Extant Biology","C. M. S. Carrington",NA,"WGS84","Magnoliopsida","AI",NA,NA,"none","LATIN_AMERICA","Anguilla","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3239c2f0c-2392-4da3-b74d-23d2b08d6b90",NA,NA,NA,"US","1318007546","http://n2t.net/ark:/65665/3239c2f0c-2392-4da3-b74d-23d2b08d6b90",NA,"US 3653048","US",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,NA,NA,NA,NA,4584.56441276303,NA,1,29,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"3026",NA,"urn:lsid:biocol.org:col:15463",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,"151c91ba-a521-4735-8c11-5abf8db7fb67",NA,NA,NA,NA,NA,"Jeremiah Gumbs Highway.",NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,"West Indies - Neotropics, Anguilla, Lesser Antilles, Leeward Is., Anguilla",NA,"Leeward Is.","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m37125be2c-6109-4a76-8379-32a5d8ea0d63"
"1320823587","Eugenia foetida Pers.",18.2114,-63.0706,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:45.413+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA",NA,2013,1,11,"2013-01-11",11,11,"2019-01-10T12:40:00.000+00:00","2024-08-02T12:39:45.413+00:00",NA,"http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"http://n2t.net/ark:/65665/3a02d8c64-a96b-4cbd-aa88-f9d28d5aa21f","none","none",FALSE,"NMNH Extant Biology","C. M. S. Carrington & A. Samuel",NA,"WGS84","Magnoliopsida","AI",NA,NA,"none","LATIN_AMERICA","Anguilla","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3a02d8c64-a96b-4cbd-aa88-f9d28d5aa21f",NA,NA,NA,"US","1320823587","http://n2t.net/ark:/65665/3a02d8c64-a96b-4cbd-aa88-f9d28d5aa21f",NA,"US 3666539","US",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,NA,NA,NA,NA,2255.63106326992,NA,1,41,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"3058",NA,"urn:lsid:biocol.org:col:15463",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,"151c91ba-a521-4735-8c11-5abf8db7fb67",NA,NA,NA,NA,NA,"Katouche Bay, inland.",NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,"West Indies - Neotropics, Anguilla, Lesser Antilles, Leeward Is., Anguilla",NA,"Leeward Is.","Anguilla","Fruiting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3182fd85e-a29d-4c76-b587-75d2df035d94"
"1321427186","Eugenia foetida Pers.",18.1903,-63.0711,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:55.849+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5417751,6,7707728,220,690,5014,3177662,5417751,5417751,"Eugenia foetida Pers.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia foetida","Eugenia","foetida","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA",NA,2013,1,10,"2013-01-10",10,10,"2019-01-10T13:20:00.000+00:00","2024-08-02T12:39:55.849+00:00",NA,"http://creativecommons.org/licenses/by-nc-sa/4.0/",FALSE,"http://n2t.net/ark:/65665/3bad53865-df7d-4401-b8e8-35f2553c87da","none","none",FALSE,"NMNH Extant Biology","C. M. S. Carrington","Strong, M. T., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","WGS84","Magnoliopsida","AI",NA,NA,"none","LATIN_AMERICA","Anguilla","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3bad53865-df7d-4401-b8e8-35f2553c87da",NA,NA,NA,"US","1321427186","http://n2t.net/ark:/65665/3bad53865-df7d-4401-b8e8-35f2553c87da",NA,"US 3666540","US",NA,NA,NA,"Eugenia foetida Pers.","none",NA,NA,NA,NA,NA,NA,NA,3674.07077084297,NA,1,7,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"3021",NA,"urn:lsid:biocol.org:col:15463",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,"151c91ba-a521-4735-8c11-5abf8db7fb67",NA,NA,NA,NA,NA,"Jeremiah Gumbs Highway.",NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,"West Indies - Neotropics, Anguilla, Lesser Antilles, Leeward Is., Anguilla",NA,"Leeward Is.","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m381eade29-c010-492b-8e6c-1416fa0b423e"
