"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","name","elevation","higherGeography","habitat","eventRemarks","higherClassification","typeStatus","references","preparations","nomenclaturalCode","verbatimEventDate","county","language","type","identificationRemarks","collectionID","media_url","license"
"3014249304","Myrcia sessilissima M.F.Santos",-16.946667,-42.991944,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:52.880+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8760141,6,7707728,220,690,5014,3173889,8760141,8760141,"Myrcia sessilissima M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia sessilissima","Myrcia","sessilissima","SPECIES","ACCEPTED","NE","2019-05-01T00:00:00","SOUTH_AMERICA","Minas Gerais",2019,2,19,"2019-02-19",50,50,"2020-12-10T16:43:26.000+00:00","2024-08-01T12:21:52.880+00:00",FALSE,"urn:catalog:JBRJ:RB:1434426","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 807397","C.A. Ferreira Junior; M.G.C. Fernandes; J. Ordones","D.F. Lima","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1731","urn:catalog:JBRJ:RB:1434426","04.936.616/0001-20","Botumirim","Estrada para o Rio do Peixe, próximo a reserva da SAVE - Rolinha -do-planalto.","RB","3014249304","urn:catalog:JBRJ:RB:1434426","RB01434426","JBRJ","Cerrado, areal com muitas áreas inundadas.","Flores brancas, aromáticas de aprox. 1,5m.","Myrcia sessilissima M.F.Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/43/44/26/01434426.jpg","http://creativecommons.org/licenses/by/4.0/"
"4519390359","Myrcia sessilissima M.F.Santos",-22.298056,-44.779167,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:28.401+00:00",407,"PRESERVED_SPECIMEN","PRESENT",8760141,6,7707728,220,690,5014,3173889,8760141,8760141,"Myrcia sessilissima M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia sessilissima","Myrcia","sessilissima","SPECIES","ACCEPTED","NE","2018-01-01T00:00:00","SOUTH_AMERICA",NA,2012,11,23,"2012-11-23T00:00",328,328,NA,"2024-08-02T01:15:28.401+00:00",FALSE,"K000567430","none","none",NA,NA,FALSE,NA,NA,"Faria, J.E.Q.","Staggemeier","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"3057","K000567430",NA,"Itamonte","Margem da estrada na saida do bairro rural da Colina para subir a serra.","Herbarium","4519390359","http://specimens.kew.org/herbarium/K000567430","K000567430",NA,NA,NA,"Myrcia sessilissima M.F.Santos",1419,"Itamonte","Floresta antropizada.","Arvore ca. 6m de altura, caule liso avermelhado, botoes florais verdes e flores brancas. (coletado material em silica gel).","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/b6ae2c2efef56f3be9d2dbe8cc190128.jpg","http://creativecommons.org/licenses/by/4.0/"
"1927892514","Myrcia sessilissima M.F.Santos",-16.92,-43,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:16.877+00:00",415,"PRESERVED_SPECIMEN","PRESENT",8760141,6,7707728,220,690,5014,3173889,8760141,8760141,"Myrcia sessilissima M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia sessilissima","Myrcia","sessilissima","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Minas Gerais",2011,2,10,"2011-02-10",41,41,NA,"2024-07-21T05:15:16.877+00:00",FALSE,"08d51fe0-7bbf-4303-bb6e-b1c381ac0d7d","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"M. F. Santos",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","641","08d51fe0-7bbf-4303-bb6e-b1c381ac0d7d","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Estrada Botumirim - Rio do Peixe. Afloramento rochoso no lado esquerdo da estrada (sentido Botumirim).","NY","1927892514","08d51fe0-7bbf-4303-bb6e-b1c381ac0d7d","02532173","NY",NA,NA,"Myrcia sessilissima M.F.Santos",NA,NA,"Entre afloramentos rochosos.",NA,NA,"ISOTYPE","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823161","sheet","ICN","10 Feb 2011","Botumirim Mun.","en","PhysicalObject","Basionym","http://biocol.org/urn:lsid:biocol.org:col:15556","http://sweetgum.nybg.org/images3/3114/045/02532173.jpg","http://creativecommons.org/licenses/by/4.0/"
