"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","informationWithheld","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","gadm","higherGeography","institutionKey","recordNumber","institutionID","nomenclaturalCode","county","language","type","higherClassification","elevation","collectionKey","habitat","http...unknown.org.recordID","municipality","locality","disposition","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","verbatimElevation","collectionID","reproductiveCondition","dynamicProperties","distanceFromCentroidInMeters","typeStatus","preparations","georeferencedDate","georeferenceProtocol","identificationRemarks","georeferenceSources","eventID","footprintSRS","bibliographicCitation","verbatimIdentification","media_url"
"3897699518","Psidium harrisianum Urb.",18.1978,-77.3925,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:24.145+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5420353,6,7707728,220,690,5014,3187232,5420353,5420353,"Psidium harrisianum Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium harrisianum","Psidium","harrisianum","SPECIES","ACCEPTED","NT",NA,NA,"NORTH_AMERICA","Clarendon",2015,5,4,"2015-05-04",124,124,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:24.145+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=30085734","http://creativecommons.org/licenses/by/4.0/",FALSE,"30085734","none","none",TRUE,NA,"Franck, A. R. et al.",NA,"WGS84","Magnoliopsida","JM","none","none","LATIN_AMERICA","Jamaica","NORTH_AMERICA",NA,"30085734",NA,NA,NA,NA,"Plants","3897699518","82e4c476-00d9-413e-a7c2-75c0d4cce4cb","359966","ASU0316592","ASU",NA,NA,NA,"Psidium harrisianum Urb.",NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","3796",NA,NA,"Clarendon Par.",NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Psidium",770,"0bbd7d8f-706c-4e2a-9505-58b142356450","Limestone forest.","82e4c476-00d9-413e-a7c2-75c0d4cce4cb","Peckham Woods","Peckham Woods, 4 km SW of B3 junction at Cave Valley.","USF","http://creativecommons.org/licenses/by-nc/3.0/","photo specimen from USF; shrub 1.5 m","Landrum","770 m","a2e32c87-d320-4a01-bafd-a9182ae2e191","fl buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/202208/Franck_3796-USF-buds_7937_1661027671_lg.jpg"
"1849309098","Psidium harrisianum Urb.",18.1989,-77.3947,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:10.273+00:00",398,"PRESERVED_SPECIMEN","PRESENT",5420353,6,7707728,220,690,5014,3187232,5420353,5420353,"Psidium harrisianum Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium harrisianum","Psidium","harrisianum","SPECIES","ACCEPTED","NT",NA,NA,"NORTH_AMERICA","Middlesex Co.",2015,5,8,"2015-05-08",128,128,NA,"2024-01-29T12:47:10.273+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"4CD9BC35-DD69-4FB0-A621-86E6E99A198F","none","none",FALSE,NA,"A. R. Franck, A. Oberli, P. A. Lewis, P. Rose, & A. Reid",NA,"WGS84","Magnoliopsida","JM","none","none","LATIN_AMERICA","Jamaica","NORTH_AMERICA",NA,"4CD9BC35-DD69-4FB0-A621-86E6E99A198F",NA,NA,NA,"Peckham Woods, 4 km SW of B3 junction at Cave Valley.","Herb","1849309098","4CD9BC35-DD69-4FB0-A621-86E6E99A198F",NA,"282404","USF",NA,NA,"290080","Psidium harrisianum Urb.",NA,"Jamaica|Middlesex Co.|Clarendon Par.","efc9e42f-509d-47fe-a30a-1bbd7ac8ba31","3842","urn:lsid:biocol.org:col:15638","ICN","Clarendon Par.","en","PhysicalObject","Plantae | Dicots | Myrtaceae",750,NA,"Limestone forest.",NA,NA,"Peckham Woods, 4 km SW of B3 junction at Cave Valley.",NA,NA,NA,NA,"750 m",NA,NA,"{""habit"":""Shrub to 2 m.""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/282404.jpg"
"1930684717","Psidium harrisianum Urb.",18.169628,-77.402028,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:31.728+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5420353,6,7707728,220,690,5014,3187232,5420353,5420353,"Psidium harrisianum Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium harrisianum","Psidium","harrisianum","SPECIES","ACCEPTED","NT",NA,NA,"NORTH_AMERICA","Clarendon",1911,7,7,"1911-07-07",188,188,NA,"2024-07-21T05:14:31.728+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1654314","http://creativecommons.org/licenses/by/4.0/",FALSE,"ce5cf516-9c4e-4490-9c4c-12d000e46597","none","none",FALSE,"Vascular plants","W. H. Harris",NA,"WGS84","Magnoliopsida","JM","none","none","LATIN_AMERICA","Jamaica","NORTH_AMERICA","The New York Botanical Garden","ce5cf516-9c4e-4490-9c4c-12d000e46597",NA,NA,"07 Jul 1911",NA,"NY","1930684717","ce5cf516-9c4e-4490-9c4c-12d000e46597",NA,"1288054","NY",NA,NA,NA,"Psidium harrisianum Urb.",NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","11000","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN",NA,"en","PhysicalObject",NA,NA,"b2190553-4505-4fdd-8fff-065c8ca26f72",NA,NA,NA,"Peckham Woods",NA,NA,NA,NA,"2500 ft","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,"ISOTYPE","sheet","2018-10-11","Georeferencing Quick Reference Guide, Version 2012","Basionym","Google Maps (map data 2018); Manis Georef. Calculator",NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/673/525/01288054.jpg"
