"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","otherCatalogNumbers","recordedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","habitat","http...unknown.org.recordID","locality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","higherClassification","collectionID","name","datasetName","preparations","rightsHolder","institutionID","nomenclaturalCode","verbatimEventDate","county","language","type","verbatimElevation","networkKeys","higherGeography","identifiedBy","georeferenceProtocol","municipality","taxonRemarks","associatedTaxa","reproductiveCondition","elevationAccuracy","gadm","typeStatus","individualCount","island","lifeStage","media_url"
"2270558615","Calyptranthes garciae Alain & M.M.Mejía",19.635556,-70.223333,"cdc,gass84,preneglat,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.055+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",30,"NORTH_AMERICA","Espaillat",2009,6,1,"2009-06-01",152,152,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.055+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101156","http://creativecommons.org/licenses/by/4.0/",FALSE,"3101156","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"278228","A. C. Araujo; E. J. Lucas, T. Clase","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","1802","3101156","Low, disturbed, sparse, dry 'bosque' to 10 m maximum, soil very rocky, clay, serpentine.","e073a4b1-16a6-477a-a8c1-90130b4ee40e","Mun. Gaspar Hernandez, La Hermita; road 5; 7 km from Gaspar Hernandez to San Juan.","Plants","2270558615","e073a4b1-16a6-477a-a8c1-90130b4ee40e","47700","ASU0057269","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Material coletado en silica.; Tree to 4 m, leaves shiny, dark green, buds green, open hypanthium grey, bark dark grey, fissured.","alorozco","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057269_lg.jpg"
"2270674458","Calyptranthes garciae Alain & M.M.Mejía",19.6333,-70.2483,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.553+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA","Espaillat",2001,7,31,"2001-07-31",212,212,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.553+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761560","http://creativecommons.org/licenses/by/4.0/",FALSE,"761560","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"255494","T. Clase; P. Delpreter","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","3058","761560","suelo serpentino.","ee06c308-59d9-4b44-b0e6-59ee37998073","Rep. Dominicana: Prov. Espaillat, Municipio Gaspar Hernandez. Seccion LA Ermita, paraja Tierra Mala.","Plants","2270674458","ee06c308-59d9-4b44-b0e6-59ee37998073","47700","ASU0008937","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Fruit wall woody, fruit 1 seeded. Embryo myrcioid.; Arbusto de 3.5m; con frutos verdes.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,"Gaspar Hernandez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecologicallyOccursWith: Isodera|ecologicallyOccursWith: Croton|ecologicallyOccursWith: Jacquimia|ecologicallyOccursWith: etc","fruits",NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008937_lg.jpg"
"2270673869","Calyptranthes garciae Alain & M.M.Mejía",19.5,-70.3333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.096+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA","Hermanas Mirabel",1997,7,22,"1997-07-22",203,203,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.096+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761584","http://creativecommons.org/licenses/by/4.0/",FALSE,"761584","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"255242","F. Jimenez; A. Veloz, Angela Guerrero.","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","2215","761584",NA,"9261b306-c80e-4d31-a49d-e6838a0ca0bf","Rep. Dominicana: Cordillera Septentrional: Prov. Salcedo, El Cabirmar, La Jibara, 16km. Al norte de tanares, vegetacion secundaria natural, formacion geologica parecida a Los Haitises.","Plants","2270673869","9261b306-c80e-4d31-a49d-e6838a0ca0bf","47700","ASU0008809","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbolito  de 7m; frutos verdes.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alain y M. Mejia",NA,NA,NA,NA,"fruit",NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008809_lg.jpg"
"2270675245","Calyptranthes garciae Alain & M.M.Mejía",19.4167,-70.1333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.405+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",330,"NORTH_AMERICA","Duarte",1997,9,17,"1997-09-17",260,260,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.405+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761582","http://creativecommons.org/licenses/by/4.0/",FALSE,"761582","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"165646","R. Sanchez; J. Hager","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","203","761582","Bosque latiofoliado, con pequenas zonas dedicadas al pastoreo.","1e60cbfa-d4a5-4e53-93a4-46070a7b1174","Republica Dominicana: Cordillera Septentrional: Prov. Duarte, entre Rancho Arriba, Loma La Canela y Rancho Abajo.","Plants","2270675245","1e60cbfa-d4a5-4e53-93a4-46070a7b1174","47700","ASU0008812","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbolito 2m de alto.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.R. Landrum, 2005.",NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008812_lg.jpg"
"1322969859","Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero",19.63,-70.22,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:53.509+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10672025,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Myrcia","garciae","SPECIES","ACCEPTED","NE",35,"NORTH_AMERICA","Espaillat",1992,1,19,"1992-01-19",19,19,"2023-11-08T09:50:00.000+00:00","2024-08-02T12:41:53.509+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/3ff2cf88e-54a5-4511-acc3-6964d8f88d2a","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,NA,"R. G. García & F. Jiménez","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","3608","http://n2t.net/ark:/65665/3ff2cf88e-54a5-4511-acc3-6964d8f88d2a","Vegetación con: Manilkara, Eugenia, Vitex y Tabebuia.",NA,"Gaspar Hernández, approx.8 km al E; en el lugar llamado Río Piedras, a orilla de Arroyo El Guano, aprox. 800 m al S de la carretera.","US","1322969859","http://n2t.net/ark:/65665/3ff2cf88e-54a5-4511-acc3-6964d8f88d2a",NA,"US 3659490","US",NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","NMNH Extant Biology",NA,NA,"urn:lsid:biocol.org:col:15463",NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","West Indies - Neotropics, Dominican Republic, Espaillat, Hispaniola",NA,NA,NA,NA,NA,NA,5,NA,NA,1,"Hispaniola",NA,"http://n2t.net/ark:/65665/m3227f3be6-9870-45ea-bd39-76ad40669b39"
"2270673970","Calyptranthes garciae Alain & M.M.Mejía",19.6333,-70.2167,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.582+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",140,"NORTH_AMERICA","Espaillat",1990,6,14,"1990-06-14",165,165,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.582+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761581","http://creativecommons.org/licenses/by/4.0/",FALSE,"761581","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"221345","R. Garcia; A. Cabral","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","3049","761581","Vegetacion sobre serpentina","1d019282-78d6-47de-82bf-a19a7df03275","Rep. Dominicana: Cordillera Septentrional: Prov. Espaillat; 8km. Al Este de Gaspar Hernandez en el lugar llamado Rio Piedras, a la orilla de Arroyo El Guano, aprox.  800m al Sur de la serpentina hacia el Rio San Juan.","Plants","2270673970","1d019282-78d6-47de-82bf-a19a7df03275","47700","ASU0008808","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbolito, 7m de alto; boton floral verde algo rosado.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alain y M. Mejia",NA,NA,NA,"ecologicallyOccursWith: Manilkara|ecologicallyOccursWith: Mora|ecologicallyOccursWith: Eugenia y Terbebuia","flowers",40,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008808a_lg.jpg"
"2270676973","Calyptranthes garciae Alain & M.M.Mejía",19.6333,-70.2167,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.419+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",45,"NORTH_AMERICA","Espaillat",1990,6,15,"1990-06-15",166,166,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.419+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761583","http://creativecommons.org/licenses/by/4.0/",FALSE,"761583","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"221347","R. Garcia","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","3100","761583",NA,"beedb23f-d459-41bd-bfb6-27800d1c7da3","Rep. Dominicana: Cordillera Septentrional: Prov. Espaillat; 8.5 km. Al Este de Gaspar Hernandez en el lugar llamado Rio Piedras, aprox.  300-500m al Sur de la carretera hacia el Rio San Juan, a la orilla de Arroyo El Guano.","Plants","2270676973","beedb23f-d459-41bd-bfb6-27800d1c7da3","47700","ASU0008810","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbolito, 6m de alto; frutos verde-rojizo, comun a orillas del arroyo.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.R. Landrum, 1999.",NA,NA,NA,"ecologicallyOccursWith: Mora abbottii|ecologicallyOccursWith: Manilkara|ecologicallyOccursWith: Tebebuia|ecologicallyOccursWith: Vitex y Eugenia","fruit",15,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008810_lg.jpg"
"2270673337","Calyptranthes garciae Alain & M.M.Mejía",19.6333,-70.2167,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.461+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA","Maria Trinidad Sanchez",1984,7,19,"1984-07-19",201,201,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.461+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761585","http://creativecommons.org/licenses/by/4.0/",FALSE,"761585","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"232437","T. Zanoni; J. Pimentel y R. Garcia","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","31225","761585","Bosque latiofoliado sobre lomas de suelo y roca serpentina.","67b31796-66f7-4692-868a-4b73e095e00f","Rep. Dominicana: Cordillera Septentrional: Prov. Maria Trinidad Sanchez: 8km al este de Gaspar Hernandez en la carretera a Nagua.","Plants","2270673337","67b31796-66f7-4692-868a-4b73e095e00f","47700","ASU0008811","ASU","http://creativecommons.org/licenses/by-nc/3.0/","6-8m de alto, frutos verdes.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.R. Landrum, 2005.",NA,NA,NA,NA,"fruits",NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008811_lg.jpg"
"2270672093","Calyptranthes garciae Alain & M.M.Mejía",19.6333,-70.25,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.579+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181354,6,7707728,220,690,5014,3173889,10672025,10672025,"Myrcia garciae (Alain & M.M.Mejía) K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia garciae","Calyptranthes","garciae","SPECIES","SYNONYM","NE",25,"NORTH_AMERICA","Espaillat",1982,10,13,"1982-10-13",286,286,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.579+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761580","http://creativecommons.org/licenses/by/4.0/",FALSE,"761580","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"188489","M. Mejia; J. Pimentel","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","23677","761580","bosque semi-destruido, suelo serpentino.","26488629-16fd-4dbb-a0c9-e513e4cd944e","Republica Dominicana: Llanura de Nagua: Prov. Espaillat: 7km este de Gaspar Hernandez, proximo a la Ermita.","Plants","2270672093","26488629-16fd-4dbb-a0c9-e513e4cd944e","47700","ASU0008813","ASU","http://creativecommons.org/licenses/by-nc/3.0/","3 a 4m de alto; fruto rojo.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes garciae Alain & M.M.Mejía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.R. Landrum, 2005.",NA,NA,NA,NA,"fruits",5,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008813_lg.jpg"
