"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","informationWithheld","higherGeography","institutionKey","collectionKey","preparations","recordNumber","habitat","nomenclaturalCode","georeferenceProtocol","http...unknown.org.taxonRankID","associatedTaxa","locality","county","type","taxonConceptID","http...unknown.org.species","occurrenceRemarks","higherClassification","reproductiveCondition","eventRemarks","gadm","disposition","verbatimTaxonRank","establishmentMeans","otherCatalogNumbers","verbatimCoordinateSystem","verbatimElevation","networkKeys","elevation","institutionID","individualCount","collectionID","typeStatus","dynamicProperties","language","accessRights","media_url","license"
"2825401733","Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",-27.333056,152.761111,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:59.196+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416218,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Gossia","inophloia","SPECIES","ACCEPTED","NE","2019-07-01T00:00:00",50,"OCEANIA","Queensland",2019,2,17,"2019-02-17",48,48,"2019-10-18T17:57:04.000+00:00","2024-06-19T04:58:59.196+00:00",NA,FALSE,"98264d68-c9a5-4f33-b358-c4d97be50c96","none","none",FALSE,NA,"Fensham, R.J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"98264d68-c9a5-4f33-b358-c4d97be50c96",NA,NA,NA,"Herbrecs","2825401733","98264d68-c9a5-4f33-b358-c4d97be50c96",NA,"BRI AQ1002840","BRI",NA,NA,NA,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","6934","Rainforest.","ICN","GPS","7000","Araucaria cunninghamii, Agathis robusta, Eucalyptus tereticornis, Psydrax lamprophyllum, Chionanthus ramiflora, Elaeocarpus arnhemicus, Polyalthia nitidissima, Acronychia laevis, Alectryon tomentosus, Mallotus philippensis, Atractocarpus sessilis, Guioa acutifolia, Alchornea ilicifolia, Helicia australasica, Diospyros sp., Smilax australis, Cissus oblonga, Hoya australis.","Mt Glorious.","Moreton","PhysicalObject","https://id.biodiversity.org.au/node/apni/2900042","Gossia inophloia","Sparse throughout understorey; rough bark; fruiting without damage from myrtle rust.","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia","Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=70ac6602-60d0-4a77-9fb0-da5b61de6a6b","http://creativecommons.org/licenses/by/4.0/"
"2825412580","Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",-27.333056,152.761111,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:49.502+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416218,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Gossia","inophloia","SPECIES","ACCEPTED","NE",NA,50,"OCEANIA","Queensland",2018,11,29,"2018-11-29",333,333,"2019-07-26T12:26:40.000+00:00","2024-06-19T04:58:49.502+00:00",NA,FALSE,"64c9c902-cff5-4a52-958f-28e3e53ca128","none","none",FALSE,NA,"Fensham, R.J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"64c9c902-cff5-4a52-958f-28e3e53ca128",NA,NA,NA,"Herbrecs","2825412580","64c9c902-cff5-4a52-958f-28e3e53ca128",NA,"BRI AQ1002459","BRI",NA,NA,NA,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","6914","Rainforest.","ICN","GPS","7000",NA,"Mt Glorious.","Moreton","PhysicalObject","https://id.biodiversity.org.au/node/apni/2900042","Gossia inophloia","Small tree in understorey.","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia","Flowers","No sign of active myrtle rust but this year is very dry.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=64e6a5d4-6a14-4f6c-b735-ca4b0bfb1774","http://creativecommons.org/licenses/by/4.0/"
"2825404946","Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",-27.3175,152.753056,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:15.184+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416218,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Gossia","inophloia","SPECIES","ACCEPTED","NE",NA,100,"OCEANIA","Queensland",2016,12,1,"2016-12-01",336,336,"2020-01-24T18:29:55.000+00:00","2024-06-19T04:59:15.184+00:00",NA,FALSE,"e23ab5f4-acd5-4cd5-ad77-b6320bb262eb","none","none",FALSE,NA,"Fensham, R.J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"e23ab5f4-acd5-4cd5-ad77-b6320bb262eb",NA,NA,NA,"Herbrecs","2825404946","e23ab5f4-acd5-4cd5-ad77-b6320bb262eb",NA,"BRI AQ1003579","BRI",NA,NA,NA,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","RJF6586","Notophyll rainforest.","ICN","GPS","7000","Muehlenbeckia florulenta and Eucalyptus microtheca.","Edge of Alex Rd, Mt Glorious.","Moreton","PhysicalObject","https://id.biodiversity.org.au/node/apni/2900042","Gossia inophloia","Tree to 5m; some myrtle rust infection but fertile.","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia","Flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=6dd32743-88ab-4f8e-a83d-81a45699baa9","http://creativecommons.org/licenses/by/4.0/"
"2829054049","Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",-27.32,152.75,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:35.176+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416218,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Gossia","inophloia","SPECIES","ACCEPTED","NE",NA,10000,"OCEANIA","Queensland",1997,11,26,"1997-11-26",330,330,"2021-07-23T18:28:33.000+00:00","2024-07-02T07:40:35.176+00:00",NA,FALSE,"6769c7d2-2905-4f16-9bde-49fba783cc21","none","none",TRUE,NA,"Snow, N.|Phillips, S.|Bradford, J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"6769c7d2-2905-4f16-9bde-49fba783cc21",NA,NA,NA,"NSW","2829054049","6769c7d2-2905-4f16-9bde-49fba783cc21",NA,"NSW544650","NSW",NA,NA,NA,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",NA,NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","7452",NA,"ICN",NA,"7000",NA,"Mount Glorious, property of B. and S. Phillips, Lot 37, Alex Road, and vicinity.","Moreton","PhysicalObject","https://id.biodiversity.org.au/node/apni/2900042","Gossia inophloia","All duplicates from a single genotype.","(J.F.Bailey & C.T.White) N.Snow & Guymer","flowers|buds",NA,NA,"in collection","species","native","BRI AQ0661740","Degrees Minutes","700 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=42eb88dd-adbf-4f83-887b-88126a9b2a6d","http://creativecommons.org/licenses/by/4.0/"
"2516852612","Austromyrtus inophloia (J.F.Bailey & C.T.White) Burret",-27.31667,152.75,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:44.797+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3177486,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Austromyrtus","inophloia","SPECIES","SYNONYM","NE",NA,NA,"OCEANIA",NA,1997,11,26,"1997-11-26",330,330,NA,"2024-07-18T23:54:44.797+00:00",NA,FALSE,"L.3919666@BRAHMS","none","none",TRUE,NA,"Snow NW; Phillips SM; Bradford J",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","EUROPE","Naturalis Biodiversity Center","L.3919666@BRAHMS",NA,NA,NA,"Botany","2516852612","https://data.biodiversitydata.nl/naturalis/specimen/L.3919666",NA,"L.3919666",NA,NA,NA,NA,"Austromyrtus inophloia (J.F.Bailey & C.T.White) Burret",NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",NA,"Snow, NW; Phillips, SM; Bradford, J 7452",NA,"ICN",NA,NA,NA,"Flora of Queensland. Moreton. Mt. Glorious, propert of B & S Phillips, Lot 37, Alex Road, and vicinity.",NA,NA,NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3919666/format/large","http://creativecommons.org/licenses/by/4.0/"
"2830190813","Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",-27.17,152.67,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:59.609+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416218,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Gossia","inophloia","SPECIES","ACCEPTED","NE","2003-10-08T00:00:00",10000,"OCEANIA","Queensland",1972,11,28,"1972-11-28",333,333,"2021-07-23T18:28:35.000+00:00","2024-07-02T07:40:59.609+00:00",NA,FALSE,"f9013591-0256-47db-9d99-a90402b535a5","none","none",FALSE,NA,"Lebler, B.A.|Durrington, L.","Kodela, P.G.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"f9013591-0256-47db-9d99-a90402b535a5",NA,NA,NA,"NSW","2830190813","f9013591-0256-47db-9d99-a90402b535a5",NA,"NSW609486","NSW",NA,NA,NA,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer",NA,NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","s.n.","Rainforest. Loamy soil.","ICN",NA,"7000",NA,"roadside on the summit of the D'Aguilar Range near Mount Glorious.","Moreton","PhysicalObject","https://id.biodiversity.org.au/node/apni/2900042","Gossia inophloia","Bushy shrub 4 m high. New growth reddish in colour.","(J.F.Bailey & C.T.White) N.Snow & Guymer","flowers",NA,NA,"in collection","species","native","BRI AQ0008925","Degrees Minutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=3bf8f97b-2474-4d66-9ff7-e9f727b244ed","http://creativecommons.org/licenses/by/4.0/"
"2516218546","Austromyrtus inophloia (J.F.Bailey & C.T.White) Burret",-27.01667,152.06667,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:55:58.115+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3177486,6,7707728,220,690,5014,3177469,5416218,5416218,"Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia inophloia","Austromyrtus","inophloia","SPECIES","SYNONYM","NE",NA,NA,"OCEANIA",NA,1972,11,28,"1972-11-28",333,333,NA,"2024-07-18T23:55:58.115+00:00",NA,FALSE,"L.2510606@BRAHMS","none","none",TRUE,NA,"Lebler BA; Durrington L",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","EUROPE","Naturalis Biodiversity Center","L.2510606@BRAHMS",NA,NA,NA,"Botany","2516218546","https://data.biodiversitydata.nl/naturalis/specimen/L.2510606",NA,"L.2510606",NA,NA,NA,NA,"Austromyrtus inophloia (J.F.Bailey & C.T.White) Burret",NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",NA,"Lebler, BA; Durrington, L s.n.",NA,"ICN",NA,NA,NA,"Flora of Queensland, Moreton District. Roadside on the summit of the D' Aguilar. Range near Mt. Glorious. Rainforest. Sandy soil.",NA,NA,NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2510606/format/large","http://creativecommons.org/licenses/by/4.0/"
