"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","coordinateUncertaintyInMeters","networkKeys","institutionKey","recordNumber","locality","higherClassification","individualCount","elevation","gadm","higherGeography","collectionKey","institutionID","county","collectionID","preparations","georeferencedDate","nomenclaturalCode","language","type","georeferenceSources","island","typeStatus","occurrenceRemarks","georeferenceProtocol","lifeStage","media_url"
"4866481999","Myrciaria borinquena Alain",17.9891,-67.1204,"cdc,cucdmis,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:38.007+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3186560,6,7707728,220,690,5014,3186407,3186560,3186560,"Myrciaria borinquena Alain","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrciaria","Myrciaria borinquena","Myrciaria","borinquena","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,2019,12,30,"2019-12-30T00:00",364,364,"2024-05-19T18:15:13.117+00:00","2024-08-02T01:15:38.007+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"K000860593","none","none",FALSE,NA,"Monsegur, O.",NA,"WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"K000860593",NA,NA,NA,"Herbarium","4866481999","http://specimens.kew.org/herbarium/K000860593",NA,"K000860593","K",NA,NA,NA,"Myrciaria borinquena Alain",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","fa252605-26f6-426c-9892-94d071c2c77f","OM1792","LIanos Costa, Las Palmas. Entering by Las Palmas, at El Conuco (PR Conservation Trust).; Associted to Catesbaea melanocarpa","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/b24d525a51d71a8de7ce01fffeb5f51f.jpg"
"1322667566","Myrciaria borinquena Alain",17.5925,-66.5251,"gass84,preneglon,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:16.532+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3186560,6,7707728,220,690,5014,3186407,3186560,3186560,"Myrciaria borinquena Alain","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrciaria","Myrciaria borinquena","Myrciaria","borinquena","SPECIES","ACCEPTED","NE",NA,NA,"Guánica",2006,1,26,"2006-01-26",26,26,"2019-01-10T00:13:00.000+00:00","2024-08-02T12:40:16.532+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/3f1c34a74-20da-4be2-a2e6-474ec9e7cd64","none","none",FALSE,"NMNH Extant Biology","O. Monsegur",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3f1c34a74-20da-4be2-a2e6-474ec9e7cd64",NA,"26 Jan 2006",NA,"US","1322667566","http://n2t.net/ark:/65665/3f1c34a74-20da-4be2-a2e6-474ec9e7cd64",NA,"US 3534951","US",NA,NA,NA,"Myrciaria borinquena Alain",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","be5b9c72-e499-42b8-a5dc-c27505cf232e","642","Guánica Forest Reserve. Lomas de Seboruco, from road 334, taking Ojo de Agua Trail to the south.","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",1,60,"none","West Indies - Neotropics, Puerto Rico, Guánica, Carenero","151c91ba-a521-4735-8c11-5abf8db7fb67","urn:lsid:biocol.org:col:15463","Carenero","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m335299da7-3d7a-4704-986b-5e4a494d48e8"
"1929737985","Myrciaria borinquena Alain",17.976941,-66.106311,"cdround,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:09.754+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3186560,6,7707728,220,690,5014,3186407,3186560,3186560,"Myrciaria borinquena Alain","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrciaria","Myrciaria borinquena","Myrciaria","borinquena","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,1978,1,NA,"1978-01",NA,NA,NA,"2024-07-21T05:14:09.754+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=901218","http://creativecommons.org/licenses/by/4.0/",FALSE,"8b80e1a7-079d-4dc4-833f-73c64d8a9993","none","none",FALSE,"Vascular plants","R. O. Woodbury",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","8b80e1a7-079d-4dc4-833f-73c64d8a9993",NA,"January 1978",NA,"NY","1929737985","8b80e1a7-079d-4dc4-833f-73c64d8a9993",NA,"843548","NY",NA,NA,NA,"Myrciaria borinquena Alain",NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","s.n.","Guayama Ranchos.",NA,NA,NA,NA,NA,"b2190553-4505-4fdd-8fff-065c8ca26f72","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","2009-03-25","ICN","en","PhysicalObject","Google Earth",NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/135/841/v-247-00843548.jpg"
"1931140353","Myrciaria borinquena Alain",18.07351,-66.90653,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:49.739+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3186560,6,7707728,220,690,5014,3186407,3186560,3186560,"Myrciaria borinquena Alain","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrciaria","Myrciaria borinquena","Myrciaria","borinquena","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,1941,5,28,"1941-05-28",148,148,NA,"2024-07-21T05:14:49.739+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=901217","http://creativecommons.org/licenses/by/4.0/",FALSE,"eea708ff-f1ca-490f-ab6e-c4040b1d2a2b","none","none",FALSE,"Vascular plants","L. R. Holdridge",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","eea708ff-f1ca-490f-ab6e-c4040b1d2a2b",NA,"28 May 1941",NA,"NY","1931140353","eea708ff-f1ca-490f-ab6e-c4040b1d2a2b",NA,"843541","NY",NA,NA,NA,"Myrciaria borinquena Alain",NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","736","Susúa Forest Reserve: Río Loco Trail, above Susúa Camp, north of Yauco.",NA,NA,NA,NA,NA,"b2190553-4505-4fdd-8fff-065c8ca26f72","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","2008-07-02","ICN","en","PhysicalObject","U.S. Geological Survey. Sabana Grande, P.R. [map]. 1:20,000. N1800–W6652.5. 7.5 Minute Series. U.S. Department of the Interior, USGS, 1966",NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/135/834/v-247-00843541.jpg"
