"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","identificationRemarks","http...unknown.org.captive","identificationID","name","occurrenceRemarks","informationWithheld","networkKeys","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","nomenclaturalCode","locality","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","collectionID","recordedByIDs.type","recordedByIDs.value","gadm","identifiedByIDs.type","identifiedByIDs.value","elevation","elevationAccuracy","verbatimElevation","otherCatalogNumbers","http...unknown.org.recordID","associatedTaxa","rights","http...unknown.org.recordEnteredBy","higherClassification","georeferenceProtocol","georeferenceRemarks","organismID","locationID","accessRights","georeferenceSources","bibliographicCitation","preparations","locationRemarks","municipality","fieldNotes","individualCount","typeStatus","dynamicProperties","fieldNumber","language","disposition","reproductiveCondition","eventID","georeferencedBy","georeferenceVerificationStatus","footprintSRS","verbatimIdentification","typifiedName","media_url","license"
"4420433898","Myrceugenia parvifolia (DC.) Kausel",-42.482,-72.344379,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:14.979+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,2,17,"2022-02-17",48,48,NA,"2024-07-30T17:32:14.979+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01080547","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01080547",NA,"17th February 2022",NA,"E","4420433898","https://data.rbge.org.uk/herb/E01080547",NA,"E01080547","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","186","Mosaico de bosque adulto abierto con parches degradados.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","CHILE. Región de Los Lagos. Provincia de Palena. Comuna de Hualaihué. Vodudahue.","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1237966","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01080547/manifest","http://creativecommons.org/licenses/by/4.0/"
"4420544915","Myrceugenia parvifolia (DC.) Kausel",-42.474167,-72.388611,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:15.404+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,10,10,"2022-10-10",283,283,NA,"2024-07-30T17:32:15.404+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01080707","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01080707",NA,"10th October 2022",NA,"E","4420544915","https://data.rbge.org.uk/herb/E01080707",NA,"E01080707","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","3","Seasonally flooded myrtle forest dominated by Amomyrtus luma, Luma apiculata, Myceugenia planipes, M. parvifolia, Tepualia stipularis and Drimys winteri.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Vodudahue. Board walkway to the Cascades","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1240327","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01080707/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"665511993","Myrceugenia parvifolia (DC.) Kausel",-39.950833,-73.246111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:06.026+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Ríos",2012,4,3,"2012-04-03",94,94,NA,"2024-07-30T17:32:06.026+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00593085","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00593085",NA,"3rd April 2012",NA,"E","665511993","https://data.rbge.org.uk/herb/E00593085",NA,"E00593085","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","167","Remnant native forest surrounded by Eucalyptus plantation. Native forest with Drimys winteri, Myrcuegenia parvifolia, Ovidia pillo pillo, Tepualia stipularis and a growund cover of Blechnum chilensis.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Provincia de Valdivia:Comuna de Valdivia:Tornagaleones","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","587360","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,331,0,"331m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00593085/manifest","http://creativecommons.org/licenses/by/4.0/"
"2270554648","Myrceugenia parvifolia (DC.) Kausel",-42.27308,-73.67745,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:15.682+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,20,"SOUTH_AMERICA","Los Lagos",2011,11,13,"2011-11-13",317,317,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:15.682+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2470564",FALSE,"2470564","none","none",FALSE,NA,"L. R. Landrum; S. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"2470564",NA,NA,NA,"Plants","2270554648","96b65344-5678-480b-a25d-988b3578d78a","48023","ASU0059807","ASU",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel","Dense shrubs ca. 2.5 m high, growing in wet open areas",NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","11631","Wet areas surrounded by disturbed, mixed evergreen forest",NA,NA,"Chiloe, near hwy 5 between Castro and Ancud, ca. 24 km N of Castro",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,100,NA,NA,"284400","96b65344-5678-480b-a25d-988b3578d78a","ecologicallyOccursWith: Amomyrtus luma|ecologicallyOccursWith: Luma apiculata|ecologicallyOccursWith: Nothofagus dombeyi|ecologicallyOccursWith: Ovidia pillopillo|ecologicallyOccursWith: Berberis darwinii|ecologicallyOccursWith: Berberis micropjylla|ecologicallyOccursWith: Chusquea","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059807_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"575031978","Myrceugenia parvifolia (DC.) Kausel",-37.8,-72.861667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.566+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Araucanía",2003,2,9,"2003-02-09",40,40,NA,"2024-07-30T17:31:58.566+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00158749","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158749",NA,"9th February 2003",NA,"E","575031978","https://data.rbge.org.uk/herb/E00158749",NA,"E00158749","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","598","River bank under Podocarpus salignus and Nothofagus obliqu..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región IX [Araucanía]:Provincia de Malleco:Angol:Puente Manzanos","Malleco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","171111","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,575,0,"575m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158749/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575114528","Myrceugenia parvifolia (DC.) Kausel",-40.450833,-73.613889,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.453+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Lagos",1998,2,10,"1998-02-10",41,41,NA,"2024-07-30T17:31:57.453+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00096214","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096214",NA,"10th February 1998",NA,"E","575114528","https://data.rbge.org.uk/herb/E00096214",NA,"E00096214","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","200","Heavily grazed rainforest regeneration.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Prov. de Osorno:Community of Trafunco",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67619","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,140,0,"140m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096214/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"574966974","Myrceugenia parvifolia (DC.) Kausel",-42.3,-72.783333,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.569+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Lagos",1998,2,23,"1998-02-23",54,54,NA,"2024-07-30T17:31:57.569+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00096217","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096217",NA,"23rd February 1998",NA,"E","574966974","https://data.rbge.org.uk/herb/E00096217",NA,"E00096217","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","361",NA,"https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Prov. de Palena:Chaitén:Ayacara. Road to Punta Mita, close to the Environmental Centre of the Ayacara Foundation","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67604","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,8,0,"8m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096217/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575345409","Myrceugenia parvifolia (DC.) Kausel",-42.3,-72.783333,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.446+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Lagos",1998,2,23,"1998-02-23",54,54,NA,"2024-07-30T17:31:57.446+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00096234","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096234",NA,"23rd February 1998",NA,"E","575345409","https://data.rbge.org.uk/herb/E00096234",NA,"E00096234","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","359","Boggy roadside verge","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Prov. de Palena:Chaitén:Ayacara. road to Punta Mita, close to the Environmental Centre of the Ayacara Foundation","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67605","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,8,0,"8m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096234/manifest","http://creativecommons.org/licenses/by/4.0/"
"574745268","Myrceugenia parvifolia (DC.) Kausel",-37.615,-73.282778,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.437+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Bío-Bío",1998,3,11,"1998-03-11",70,70,NA,"2024-07-30T17:31:57.437+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00096216","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096216",NA,"11th March 1998",NA,"E","574745268","https://data.rbge.org.uk/herb/E00096216",NA,"E00096216","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","519","North bank of river.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VIII [Biobío]:Prov. de Arauco:Lebu:Río Trongol","Arauco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67589","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,170,0,"170m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096216/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575306533","Myrceugenia parvifolia (DC.) Kausel",-42.699722,-73.930278,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:56.771+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185769,6,7707728,220,690,5014,3185514,3185769,3185769,"Myrceugenia parvifolia (DC.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia parvifolia","Myrceugenia","parvifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Los Lagos",1996,2,20,"1996-02-20",51,51,NA,"2024-07-30T17:31:56.771+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00043976","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00043976",NA,"20th February 1996",NA,"E","575306533","https://data.rbge.org.uk/herb/E00043976",NA,"E00043976","RBGE",NA,NA,NA,NA,"Myrceugenia parvifolia (DC.) Kausel",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","252","Poorly drained soils with secondary vegetation dominated by Drimys winter..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Chiloé:Chonchi:Road to Lago Tepuhueico from Lago Huillinco Lago Huillinco.","Chiloé","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","18386","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00043976/manifest","http://creativecommons.org/licenses/by/4.0/"
