"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","name","gadm","higherGeography","typeStatus","verbatimEventDate","higherClassification","elevationAccuracy","media_url"
"1424491611","Myrcia trimera E.Lucas & Sobral",-13.916944,-39.462222,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.895+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8870786,6,7707728,220,690,5014,3173889,8870786,8870786,"Myrcia trimera E.Lucas & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia trimera","Myrcia","trimera","SPECIES","ACCEPTED","VU","2017-06-01T00:00:00",521,"SOUTH_AMERICA","Bahia",2013,11,28,"2013-11-28",332,332,"2017-10-19T11:54:32.000+00:00","2024-08-01T12:21:43.895+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:878411","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 605978","E. Lucas; L.Y.S. Aona; I.R. Costa; A.L. Haigh","M.SOBRAL","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1219","urn:catalog:JBRJ:RB:878411","04.936.616/0001-20","Ibirapitanga","Serra do Paqua, APA do Pratigi, trilha da ladeira grande.","RB","1424491611","urn:catalog:JBRJ:RB:878411","RB00878411","JBRJ","Beira da floresta ombrófila densa, Mata Atlântica","Arvoreta, cerca de 2m, cálice com glândulas conspícuas, cálice verde com pontos vermelhos, pétalas creme","Myrcia trimera E.Lucas & Sobral",NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/87/84/11/00878411.jpg"
"1424491818","Myrcia trimera E.Lucas & Sobral",-13.598889,-39.719167,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.834+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8870786,6,7707728,220,690,5014,3173889,8870786,8870786,"Myrcia trimera E.Lucas & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia trimera","Myrcia","trimera","SPECIES","ACCEPTED","VU","2017-06-01T00:00:00",662,"SOUTH_AMERICA","Bahia",2013,11,25,"2013-11-25",329,329,"2017-10-19T05:31:27.000+00:00","2024-08-01T12:21:43.834+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:878764","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 606117","E. Lucas; W.O. Fonseca; I.R. Costa","M.SOBRAL","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1212","urn:catalog:JBRJ:RB:878764","04.936.616/0001-20","Wenceslau Guimarães","Estação Ecológica, trilha atrás da sede em direção a cachoeira.","RB","1424491818","urn:catalog:JBRJ:RB:878764","RB00878764","JBRJ","Floresta Ombrófila Densa, Mata Atlântica em sucessão avançada","Arvoreta com cerca de 6m, botões creme passando a castanho","Myrcia trimera E.Lucas & Sobral",NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/87/87/64/00878764.jpg"
"1424241059","Myrcia trimera E.Lucas & Sobral",-14.334722,-39.042778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:36.903+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8870786,6,7707728,220,690,5014,3173889,8870786,8870786,"Myrcia trimera E.Lucas & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia trimera","Myrcia","trimera","SPECIES","ACCEPTED","VU","2016-07-01T00:00:00",105,"SOUTH_AMERICA","Bahia",2006,12,5,"2006-12-05",339,339,"2017-10-15T18:14:53.000+00:00","2024-08-01T12:21:36.903+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:524614","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 491064","E. J. Lucas; D. Sampaio, N. A. Brummitt & O. R. Campos","D.F. Lima","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1040","urn:catalog:JBRJ:RB:524614","04.936.616/0001-20","Itacaré","Fazenda do Boa Paz, trilha do Boa Paz.","RB","1424241059","urn:catalog:JBRJ:RB:524614","RB00524614","JBRJ","Restinga.","Árvore de ca. 8 m de altura, botões verde-alvo.","Myrcia trimera E.Lucas & Sobral",NA,NA,"HOLOTYPE",NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/52/46/14/00524614.jpg"
"1424072089","Myrcia trimera E.Lucas & Sobral",-14.333333,-39.05,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:36.404+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8870786,6,7707728,220,690,5014,3173889,8870786,8870786,"Myrcia trimera E.Lucas & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia trimera","Myrcia","trimera","SPECIES","ACCEPTED","VU","2016-07-01T00:00:00",50,"SOUTH_AMERICA",NA,1974,3,30,"1974-03-30",89,89,"2017-10-15T20:16:45.000+00:00","2024-08-01T12:21:36.404+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:310863","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 254831","R.M. Harley","D.F. Lima","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","17479","urn:catalog:JBRJ:RB:310863","04.936.616/0001-20","Brasil","ca. 5km. S.W. of Itacaré. On side road south from the main Itacaré-Ubaitaba road. South of the mouth of the rio de Contas. High Coastal evergreem forest on heavy loam.","RB","1424072089","urn:catalog:JBRJ:RB:310863","RB00310863","JBRJ",NA,"Slender tree to 10m. Leaves coriaceous. Young fruit bright green.","Myrcia trimera E.Lucas & Sobral",NA,NA,"PARATYPE",NA,NA,50,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/31/8/63/00310863.jpg"
