"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","informationWithheld","identificationRemarks","identifiedByIDs.type","identifiedByIDs.value","establishmentMeans","degreeOfEstablishment","pathway","fieldNotes","eventRemarks","networkKeys","elevation","elevationAccuracy","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","nomenclaturalCode","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","verbatimElevation","collectionID","locality","gadm","otherCatalogNumbers","bibliographicCitation","http...unknown.org.recordID","associatedTaxa","rights","http...unknown.org.recordEnteredBy","higherClassification","reproductiveCondition","individualCount","municipality","georeferenceProtocol","georeferenceRemarks","organismID","locationID","accessRights","georeferenceSources","infraspecificEpithet","georeferencedBy","dynamicProperties","georeferenceVerificationStatus","typeStatus","typifiedName","preparations","language","disposition","eventID","fieldNumber","footprintSRS","verbatimIdentification","media_url","license"
"1423605723","Ugni candollei (Barnéoud) O.Berg",-44.38,-74.038333,"cdc,preneglon","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:02.079+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2006,2,8,"2006-02-08",39,39,NA,"2024-07-30T17:32:02.079+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00322198","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00322198",NA,"8th February 2006",NA,"E","1423605723","https://data.rbge.org.uk/herb/E00322198",NA,"E00322198","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",450,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","308","Regenerating Valdivian Rainforest","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chiloé","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","823278","450m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00322198/manifest","http://creativecommons.org/licenses/by/4.0/"
"575023875","Ugni candollei (Barnéoud) O.Berg",-35.834722,-72.506111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.638+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,26,"2003-01-26",26,26,NA,"2024-07-30T17:31:58.638+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00158503","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158503",NA,"26th January 2003",NA,"E","575023875","https://data.rbge.org.uk/herb/E00158503",NA,"E00158503","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",183,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","166","Water margins and poorly drained areas prone to flooding. Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..;  Vegetation: Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxicon punctatu., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170948","183m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Chile:Región VII [Maule]:Provincia de Cauquenes:Chanco:Reserva Los Ruiles, Sector Los Ruiles, Area Estación 5 - El Pitao; north bank of the Río Curanilahue, north- east of the small lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158503/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575326613","Ugni candollei (Barnéoud) O.Berg",-35.979444,-72.689167,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.445+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,27,"2003-01-27",27,27,NA,"2024-07-30T17:31:58.445+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00158506","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158506",NA,"27th January 2003",NA,"E","575326613","https://data.rbge.org.uk/herb/E00158506",NA,"E00158506","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",340,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","210","Maulino forest; river side edges;  Vegetation: Aextoxicon punctatu., Nothofagus glauc., Podocarpus salignu., Aristotelia chilensi.,  Laurelia sempervirens and Berberidopsis corallin.. Riverside shrubs include Myrceugenia pinifoli., Fuchsia magellanic., Ugni candollei with Tropaeolum ciliatum and Berberidopsis corallina as climbers. Regeneration of Pitavia punctata relatively good.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170952","340m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Chile:Región VII [Maule]:Provincia de Cauquenes:Cauquenes:Reserva Nacional Los Queules, Quebrada Ramadillas, north slopes next to the river",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158506/manifest","http://creativecommons.org/licenses/by/4.0/"
"575095341","Ugni candollei (Barnéoud) O.Berg",-35.833056,-72.511667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.482+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,26,"2003-01-26",26,26,NA,"2024-07-30T17:31:58.482+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00158566","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158566",NA,"26th January 2003",NA,"E","575095341","https://data.rbge.org.uk/herb/E00158566",NA,"E00158566","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",191,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","171","Water margins and poorly drained areas prone to flooding. Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..;  Vegetation: Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170595","191m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Chile:Región VII [Maule]:Provincia de Cauquenes:Chanco:Reserva Los Ruiles, Sector Los Ruiles, Area La Tupia; section starting 100m downstream of CONAF headquarters on the north bank of the Río Curanilahue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158566/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575001890","Ugni candollei (Barnéoud) O.Berg",-35.833056,-72.511667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.504+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,26,"2003-01-26",26,26,NA,"2024-07-30T17:31:58.504+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00158674","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158674",NA,"26th January 2003",NA,"E","575001890","https://data.rbge.org.uk/herb/E00158674",NA,"E00158674","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",191,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","161","Water margins and poorly drained areas prone to flooding. Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..;  Vegetation: Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170587","191m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Chile:Región VII [Maule]:Provincia de Cauquenes:Chanco:Reserva Los Ruiles, Sector Los Ruiles, Area La Tupia; section starting 100m downstream of CONAF headquarters on the north bank of the Río Curanilahue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158674/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575203985","Ugni candollei (Barnéoud) O.Berg",-40.441667,-73.635556,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.545+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",1998,2,10,"1998-02-10",41,41,NA,"2024-07-30T17:31:57.545+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00096075","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096075",NA,"10th February 1998",NA,"E","575203985","https://data.rbge.org.uk/herb/E00096075",NA,"E00096075","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",650,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","177","Forest ridge on margin of poorly marked trail.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","86827","650m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Chile:Región X [Los Lagos]:Prov. de Osorno:Hills above Trafunco on track to Tres Esteros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096075/manifest","http://creativecommons.org/licenses/by/4.0/"
"575200216","Ugni candollei (Barnéoud) O.Berg",-40.183333,-73.433333,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:56.166+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",1992,2,22,"1992-02-22",53,53,NA,"2024-07-30T17:31:56.166+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00027337","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00027337",NA,"22nd February 1992",NA,"E","575200216","https://data.rbge.org.uk/herb/E00027337",NA,"E00027337","RBGE",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",990,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","5041","Fitzroya cupressoides forest with Saxegothaea conspicua and Podocarpus nubigenu..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Ranco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","22738","990m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Chile:Región X [Los Lagos]:Prov. de Valdivia:La Unión:Monumento Natural Alerce Costero; Altos de Mirador.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00027337/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"2996596996","Ugni candollei (Barnéoud) O.Berg",0,0,"cucdmis,gass84,iddativ,zerocd,colmafu,inmafu","5c9a924c-8d45-4452-8604-415a118578aa","838537fc-4aeb-4980-8b58-97fbdcd1d91a","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:08:27.274+00:00","2024-07-01T12:24:36.948+00:00",202,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,NA,NA,1988,1,18,"1988-01-18",18,18,NA,"2024-07-01T12:24:36.948+00:00",NA,FALSE,"5037027","none","none",TRUE,NA,"Landrum, LR;Landrum, L.R.,et al.","Landrum, LR","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","LATIN_AMERICA","MBM","5037027",NA,"1988-1-18",NA,"MBM","2996596996","5037027",NA,"MBM123532","MBM",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b0d8edb-7504-42c4-9349-63e86c01bf97",0,0,NA,"b745abcd-45b2-4a84-a327-9298e795dbfb","d3b42067-b567-4d47-a136-bb5d52ed32fc","5906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","MBM 123532","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5037027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://imagens2.jbrj.gov.br/fsi/server?type=image&source=mbm/MBM/0/12/35/32/MBM123532.JPG","http://creativecommons.org/licenses/by/4.0/"
"2270682041","Ugni candollei (Barnéoud) O.Berg",-41.4,-73.4667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.726+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",1988,1,18,"1988-01-18",18,18,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.726+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=768253",FALSE,"768253","none","none",FALSE,NA,"L. R. Landrum; J. Bricker",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"768253",NA,NA,NA,"Plants","2270682041","970c1353-97eb-44a4-83a6-a87b3a4deb83","48281","ASU0019699","ASU",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg","5 anthers with 1-3 glands.; Shrub at edge of forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","5909","Evergreen forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Los Muermos, ca. 0.3-1km along road to Cumbre Alta off road to Quenuil.",NA,"153622",NA,"970c1353-97eb-44a4-83a6-a87b3a4deb83","ecologicallyOccursWith: Nothofagus|ecologicallyOccursWith: Myrtaceae","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Ugni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019699_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270681205","Ugni candollei (Barnéoud) O.Berg",-41.4,-73.4667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.849+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185055,6,7707728,220,690,5014,3185042,3185055,3185055,"Ugni candollei (Barnéoud) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni candollei","Ugni","candollei","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",1988,1,18,"1988-01-18",18,18,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.849+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=768255",FALSE,"768255","none","none",FALSE,NA,"L. R. Landrum; J. Bricker",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"768255",NA,NA,NA,"Plants","2270681205","efd7eaba-8ece-4c6e-97be-4fd65560f440","48281","ASU0030495","ASU",NA,NA,NA,"Ugni candollei (Barnéoud) O.Berg","5 anthers with 3-5 glands.; Shrub ca. 2m high; filaments and anthers white.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","5907","Evergreen forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Los Muermos, ca. 0.3-1km along road to Cumbre Alta off road to Quenuil.",NA,"153256",NA,"efd7eaba-8ece-4c6e-97be-4fd65560f440","ecologicallyOccursWith: Nothofagus|ecologicallyOccursWith: Myrtaceae","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Ugni","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0030/ASU0030495_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
