"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","elevation","elevationAccuracy","continent","stateProvince","higherGeography","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","habitat","institutionID","nomenclaturalCode","verbatimEventDate","locality","county","http...unknown.org.license","collectionCode","gbifID","occurrenceID","type","catalogNumber","institutionCode","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","verbatimElevation","collectionID","name","modified","references","otherCatalogNumbers","recordedBy","http...unknown.org.recordID","associatedTaxa","taxonID","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","higherClassification","verbatimTaxonRank","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","dateIdentified","identifiedBy","georeferenceRemarks","reproductiveCondition","individualCount","gadm","georeferenceProtocol","eventID","footprintSRS","bibliographicCitation","verbatimIdentification","typeStatus","media_url"
"575195296","Myrceugenia ovata var. ovata",-39.737778,-73.351389,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.728+00:00",347,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",250,0,"SOUTH_AMERICA","Los Ríos","Temperate South America",2002,9,21,"2002-09-21",264,264,"2024-07-30T17:31:58.728+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00166160","none","none","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE","6489","https://data.rbge.org.uk/herb/E00166160","Secondary regrowth of coastal Valdivian Rainforest","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","21st September 2002","Chile:Región XIV [Los Ríos]:Prov. de Valdivia:Valdivia:Road from Valdivia to Oncol at KM 15","Valdivia","CC0","E","575195296","https://data.rbge.org.uk/herb/E00166160","PhysicalObject","E00166160","RBGE","Royal Botanic Garden Edinburgh","E","158866","250m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Myrceugenia ovata var. ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00166160/full/300,/0/default.jpg"
"575224511","Myrceugenia ovata var. ovata",-39.7,-73.316111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.723+00:00",347,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",500,0,"SOUTH_AMERICA","Los Ríos","Temperate South America",2002,9,21,"2002-09-21",264,264,"2024-07-30T17:31:58.723+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00166177","none","none","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE","6464","https://data.rbge.org.uk/herb/E00166177","Coastal Valdivian Rainforest. Dominant species include Saxegothaea conspicu., Laureliopsis philippian., Drimys winteri and Podocarpus nubigenus.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","21st September 2002","Chile:Región XIV [Los Ríos]:Prov. de Valdivia:Valdivia:Parque Oncol","Valdivia","CC0","E","575224511","https://data.rbge.org.uk/herb/E00166177","PhysicalObject","E00166177","RBGE","Royal Botanic Garden Edinburgh","E","158841","500m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Myrceugenia ovata var. ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00166177/manifest"
"574837821","Myrceugenia ovata var. ovata",-37.394167,-71.443056,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:56.486+00:00",347,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",1100,0,"SOUTH_AMERICA","Bío-Bío","Temperate South America",1996,2,27,"1996-02-27",58,58,"2024-07-30T17:31:56.486+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00043504","none","none","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE","458","https://data.rbge.org.uk/herb/E00043504","Rocky slopes above river","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","27th February 1996","Chile:Región VIII [Biobío]:Prov. de Biobío:Antuco:East of bridge near Pangue on road to Laguna de La Laja","Biobío","CC0","E","574837821","https://data.rbge.org.uk/herb/E00043504","PhysicalObject","E00043504","RBGE","Royal Botanic Garden Edinburgh","E","19822","1100m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Myrceugenia ovata var. ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00043504/manifest"
"575157770","Myrceugenia ovata var. ovata",-37.381944,-71.453889,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:56.440+00:00",347,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",1000,0,"SOUTH_AMERICA","Bío-Bío","Temperate South America",1996,2,27,"1996-02-27",58,58,"2024-07-30T17:31:56.440+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00043960","none","none","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE","449","https://data.rbge.org.uk/herb/E00043960","Well-vegetated rocky river slopes.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","27th February 1996","Chile:Región VIII [Biobío]:Prov. de Biobío:Antuco:East of bridge near Pangue on road to Laguna de La Laja","Biobío","CC0","E","575157770","https://data.rbge.org.uk/herb/E00043960","PhysicalObject","E00043960","RBGE","Royal Botanic Garden Edinburgh","E","18569","1000m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Myrceugenia ovata var. ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00043960/full/300,/0/default.jpg"
"2270676805","Myrceugenia ovata var. ovata",-39.3,-71.9,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.175+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",NA,NA,"SOUTH_AMERICA","Araucania",NA,1991,10,23,"1991-10-23",296,296,"2024-08-01T20:02:06.175+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"764232","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA","7617","764232","Forest along the river.",NA,NA,NA,"Salto Mariman on Rio Pucon, ca. 15km SE of Pucon on Lago Villarica.","Valdivia",NA,"Plants","2270676805","58fc3654-455c-46b6-bdd0-52e75512a22f",NA,"ASU0043394","ASU",NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Myrceugenia ovata var. ovata","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764232","184989","L. R. Landrum; S.S. Landrum","58fc3654-455c-46b6-bdd0-52e75512a22f","ecologicallyOccursWith: Nothofagus dombeyi|ecologicallyOccursWith: Sophora|ecologicallyOccursWith: Caldcluvia","215009","http://creativecommons.org/licenses/by-nc/3.0/","Shrub ca. 3m high on river shore.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia ovata","var.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043394_lg.jpg"
"2270677239","Myrceugenia ovata var. ovata",-39.86735,-73.15653,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.290+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",35,15,"SOUTH_AMERICA","Los Lagos",NA,1991,10,18,"1991-10-18",291,291,"2024-08-01T20:02:06.290+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"764233","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA","7596","764233","Secondary growth Valdivian forest and open areas.",NA,NA,NA,"Parcela of Claudio Donoso Z. ca. 10 km S of Valdivia on road to Paillaco.","Valdivia",NA,"Plants","2270677239","5a25e433-4540-4a39-8c3b-49bf7c122f04",NA,"ASU0043400","ASU",NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Myrceugenia ovata var. ovata","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764233","185160","L. R. Landrum; C. Donoso","5a25e433-4540-4a39-8c3b-49bf7c122f04",NA,"215009","http://creativecommons.org/licenses/by-nc/3.0/","Small tree ca. 2m high in open.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia ovata","var.",1000,"Landrum","reviewed - high confidence","georef batch tool 2012-04-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043400alg.jpg"
"2270676440","Myrceugenia ovata var. ovata",-41.4,-73.4667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.066+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",NA,NA,"SOUTH_AMERICA","Los Lagos",NA,1988,1,18,"1988-01-18",18,18,"2024-08-01T20:02:06.066+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"764231","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA","5917","764231","Evergreen forest.",NA,NA,NA,"Los Muermos, ca. 0.3-1km along road to Cumbre Alta off road to Quenuil.","Llanquihue",NA,"Plants","2270676440","cbbf1394-dd1f-465e-b67a-79060b64efe2",NA,"ASU0043391","ASU",NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Myrceugenia ovata var. ovata","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764231","153496","L. R. Landrum; J. Bricker","cbbf1394-dd1f-465e-b67a-79060b64efe2","ecologicallyOccursWith: Nothofagus|ecologicallyOccursWith: Myrtaceae","215009","http://creativecommons.org/licenses/by-nc/3.0/","Coor from www.fallingrain.com/world; Dense shrubby tree at edge of forest.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia ovata","var.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043391_lg.jpg"
"2270677042","Myrceugenia ovata var. ovata",-42.029868,-73.82972,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.098+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",90,10,"SOUTH_AMERICA","Los Lagos",NA,1981,1,15,"1981-01-15",15,15,"2024-08-01T20:02:06.098+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"764229","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA","2751","764229","Disturbed temperate rainforest. Trees 40m.",NA,NA,NA,"Isla Grande de Chiloe. West of route 5 (main N-S road on Chiloe) ca. 5km just past Coipomo. Ca. 20km S of Ancud. Land of Bustamante.",NA,NA,"Plants","2270677042","d461ed88-6d51-4c02-a969-46c3372ac6df",NA,"ASU0043398","ASU",NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Myrceugenia ovata var. ovata","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764229","155754","Gail L. Sobel; J. Strudwick","d461ed88-6d51-4c02-a969-46c3372ac6df",NA,"215009","http://creativecommons.org/licenses/by-nc/3.0/","Tree ca. 6m high; flowers white.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia ovata","var.",5000,"Landrum","reviewed - high confidence","georef batch tool 2012-04-02","1988-01-01T00:00:00","L.R. Landrum, 1988.","Google Earth","flowers",NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043398_lg.jpg"
"2270678134","Myrceugenia ovata var. ovata",-42.029868,-73.82972,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.018+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",90,10,"SOUTH_AMERICA","Los Lagos",NA,1981,1,15,"1981-01-15",15,15,"2024-08-01T20:02:06.018+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"764230","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA","2731","764230","Disturbed temperate rainforest. Trees 40m.",NA,NA,NA,"Isla Grande de Chiloe. West of route 5 (main N-S road on Chiloe) ca. 5km just past Coipomo. Ca. 20km S of Ancud. Land of Bustamante.",NA,NA,"Plants","2270678134","57538eab-5027-432c-b7bc-d06b0c384584",NA,"ASU0043392","ASU",NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Myrceugenia ovata var. ovata","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764230","155755","Gail L. Sobel; J. Strudwick","57538eab-5027-432c-b7bc-d06b0c384584",NA,"215009","http://creativecommons.org/licenses/by-nc/3.0/","Small tree ca. 6m. Covered in white flowers, in forest but plenty of light in disturbed area.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia ovata","var.",5000,"Landrum","reviewed - high confidence","georef batch tool 2012-04-02","1988-01-01T00:00:00","L.R. Landrum, 1988.","Google Earth","flowers",NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043392_lg.jpg"
"2270681349","Myrceugenia ovata var. ovata",-39.86735,-73.15653,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:07.108+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7223945,6,7707728,220,690,5014,3185514,3185639,7223945,"Myrceugenia ovata var. ovata","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia ovata","Myrceugenia","ovata","ovata","VARIETY","ACCEPTED",35,15,"SOUTH_AMERICA","Los Lagos",NA,NA,NA,NA,NA,NA,NA,"2024-08-01T20:02:07.108+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"769717","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA","2006-1","769717","Valdivian forest",NA,NA,"April 2006","Parcela of Claudio Donoso, ca. 10 km S of Valdivia on road to Paillaco","Valdivia",NA,"Plants","2270681349","6c3f1d61-27b3-4d8b-a0bf-0c3cd05a988f",NA,"ASU0043395","ASU",NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","Myrceugenia ovata var. ovata","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=769717","259899","C. Donoso","6c3f1d61-27b3-4d8b-a0bf-0c3cd05a988f","ecologicallyOccursWith: Nothofagus|ecologicallyOccursWith: Myrtaceae","215009","http://creativecommons.org/licenses/by-nc/3.0/",NA,"Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia ovata","var.",1000,"Landrum","reviewed - high confidence","georef batch tool 2012-04-02",NA,NA,NA,"sterile",NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043395_lg.jpg"
