"key","scientificName","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","decimalLatitude","decimalLongitude","elevation","higherGeography","geodeticDatum","habitat","eventRemarks","higherClassification","references","preparations","nomenclaturalCode","verbatimEventDate","county","language","type","collectionID","georeferenceProtocol","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","reproductiveCondition","identificationQualifier","identificationRemarks","georeferenceSources","typeStatus","dynamicProperties","fieldNumber","organismID","ownerInstitutionCode","accessRights","verbatimLocality","typifiedName","media_url","license"
"4519384777","Myrcia piauhiensis O.Berg","cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:38.646+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC","2016-09-01T00:00:00","SOUTH_AMERICA",NA,NA,2010,12,17,"2010-12-17T00:00",351,351,NA,"2024-08-02T01:15:38.646+00:00",FALSE,"K000752565","none","none",NA,NA,TRUE,NA,NA,"Santos, M.F.; & M. T. C. Watanabe","Lima, L.","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"625","K000752565","K000752565",NA,NA,"Taguatinga","Campo de Murundu próximo à vereda.","4519384777",NA,"Herbarium","http://specimens.kew.org/herbarium/K000752565","Myrcia piauhiensis O.Berg",-15.762694,-48.068472,1157,"Taguatinga","WGS84","Vegetação campestre. Sobre Murundu.","Subarbusto, 40 cm. Dois indivíduos coletados. Pilosidade nova ocre, velha alva. Ramo maduro acinzentado, imaturo esverdeado. Gema ocre. Ráquis da inflorescência escurecida. Fruto imaturo verde, cálice mais escuro; fruto maduro vermelho alaranjado. Materia","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/3aa9138329752ff957beae709bcc5a66.jpg","http://creativecommons.org/licenses/by/4.0/"
"1930736436","Myrcia piauhiensis O.Berg","gass84,mdativ,txmatfuz","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:40.314+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC","1996-09-24T00:00:00","SOUTH_AMERICA","Mato Grosso",NA,1996,9,18,"1996-09-18",262,262,NA,"2024-07-21T05:14:40.314+00:00",FALSE,"d20c02be-1b82-43e8-af0e-b1a18788c3dd","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"C. E. B. Proença","C. E. B. Proença","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","1527","d20c02be-1b82-43e8-af0e-b1a18788c3dd","00908182","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"15 km NO  de Alto do Araguaia na Estrada para Itiquira. Centro Oeste","1930736436",NA,"NY","d20c02be-1b82-43e8-af0e-b1a18788c3dd","Myrcia piauhiensis O.Berg",-17.25,-53.35,NA,NA,"WGS84","Cerrado denso. Solo de areia avermelhada",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991694","sheet","ICN","18 Sep 1996","Alto Araguaia Mun.","en","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/170/852/v-247-00908182.jpg","http://creativecommons.org/licenses/by/4.0/"
"912293991","Myrcia piauhiensis O.Berg","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:30.065+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA",NA,NA,1993,8,8,"1993-08-08T00:00",220,220,NA,"2024-08-02T01:15:30.065+00:00",FALSE,"K000343685","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Proenca, C.",NA,"Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"967","K000343685","K000343685",NA,"K",NA,"Fazenda Agua Limpa.","912293991",NA,"Herbarium","http://specimens.kew.org/herbarium/K000343685","Myrcia piauhiensis O.Berg",-15.966667,-47.916667,NA,NA,"WGS84","Cerrado.","Shrub 80cm., corolla and stamens cream.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"label",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/13f615a2fe440c55f3302c51e47f135c.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270675460","Myrcia piauhiensis O.Berg","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.417+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA","Distrito Federal",NA,1990,11,6,"1990-11-06",310,310,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.417+00:00",FALSE,"765384","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"204679","P.C.M.  Ramos","P.C.M. Ramos.","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"305","765384","ASU0055464",NA,"ASU",NA,"Corrego Santa Maria. Centro Oeste.","2270675460","Semi-arbusto; inflorescencia com pelos ferrugineos.","Plants","2f8f10b7-f0c8-4c43-b485-dcdffca04df0","Myrcia piauhiensis O.Berg",-15.8833,-47.9333,NA,NA,"WGS84",NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrcia","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=765384",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"2f8f10b7-f0c8-4c43-b485-dcdffca04df0","48142","http://creativecommons.org/licenses/by-nc/3.0/","marisin","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0055/ASU0055464a_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"912233640","Myrcia piauhiensis O.Berg","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:26.104+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA",NA,NA,1981,10,23,"1981-10-23T00:00",296,296,NA,"2024-08-02T01:15:26.104+00:00",FALSE,"K000262407","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Pereira, B.A.S.","Proença, C.E","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"113","K000262407","K000262407",NA,"K",NA,"Altos do corrego Cabeca do Veado","912233640",NA,"Herbarium","http://specimens.kew.org/herbarium/K000262407","Myrcia piauhiensis O.Berg",-15.766667,-48.466667,NA,NA,"WGS84","Campo sujo","Tree 8m., flowers white.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Gazetteer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/060faa3227894e5d8801a77ba802fee2.jpg","http://creativecommons.org/licenses/by/4.0/"
"912233643","Myrcia piauhiensis O.Berg","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:19.887+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA",NA,NA,1980,11,6,"1980-11-06T00:00",311,311,NA,"2024-08-02T01:15:19.887+00:00",FALSE,"K000262408","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Heringer, E.P.; Figueiras, T.S.; Mendonca, R.C.; Pereira, B.A.S.; Heringer Salles, A.E.; Chagas e Silva, F.","Proença, C.E","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"5652","K000262408","K000262408",NA,"K",NA,"Bacia do Rio Sao Bartolomeu","912233643",NA,"Herbarium","http://specimens.kew.org/herbarium/K000262408","Myrcia piauhiensis O.Berg",-14.133333,-47.6,NA,NA,"WGS84","Morro cascalhento","Flowers white. Galls","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Gazetteer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/c32df15214ffedf9ca0d3974864ea0ff.jpg","http://creativecommons.org/licenses/by/4.0/"
"912233666","Myrcia piauhiensis O.Berg","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:20.153+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA",NA,NA,1979,9,27,"1979-09-27T00:00",270,270,NA,"2024-08-02T01:15:20.153+00:00",FALSE,"K000262406","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Heringer, E.P.; Figueiras, T.S.; Mendonca, R.C.; Pereira, B.A.S.; Heringer Salles, A.E.; Chagas e Silva, F.","Proença, C.E","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"2111","K000262406","K000262406",NA,"K",NA,"Bacia do Rio Sao Bartolomeu","912233666",NA,"Herbarium","http://specimens.kew.org/herbarium/K000262406","Myrcia piauhiensis O.Berg",-14.133333,-47.6,NA,NA,"WGS84","Campo","Small tree, approx. 1m. Stamens pinkish, corola white.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Gazetteer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/adee65e5929cd99534cb3ecd32ff311c.jpg","http://creativecommons.org/licenses/by/4.0/"
"1929169865","Myrcia piauhiensis O.Berg","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:45.045+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC","2009-01-01T00:00:00","SOUTH_AMERICA","Distrito Federal",NA,1978,11,2,"1978-11-02",306,306,NA,"2024-07-21T05:15:45.045+00:00",FALSE,"633423c1-7d35-417d-a69f-83c6f74819bf","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"J. A. Ratter","P. G. da S. Carvalho","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","R4252","633423c1-7d35-417d-a69f-83c6f74819bf","00906812","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower","1929169865",NA,"NY","633423c1-7d35-417d-a69f-83c6f74819bf","Myrcia piauhiensis O.Berg",-15.952,-47.93495,NA,NA,"WGS84","In cerradao",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982834","sheet","ICN","02 Nov 1978",NA,"en","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,"Duplicate specimen at herb. UB--175559   identified as such.","""Indice de Topônimos do Distrito Federal, Brasil"". Joseph H. Kirkbride, Jr. and Tarciso S. Filgueiras, 1993; Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2154/934/00906812.jpg","http://creativecommons.org/licenses/by/4.0/"
"1055988314","Myrcia piauhiensis O.Berg","gass84,mdativ,muldativ,txmatfuz,colmafu,inmafu","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","60277b56-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T06:57:04.427+00:00","2024-07-30T10:10:39.237+00:00",392,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA","Piauí",NA,1839,8,NA,"1839-08",NA,NA,NA,"2024-07-30T10:10:39.237+00:00",FALSE,"464237","none","none","1d808a7c-1f9e-4379-9616-edb749ecf10e","8bb3763f-955c-4791-8777-44de1996b378",TRUE,NA,"NHMUK:ecatalogue:464237","George Gardner","Duane Fernandes Lima","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"2611","464237","BM000953603",NA,"NHMUK",NA,"Piauhy: Paranagoá [= Parnaguá]","1055988314",NA,"BOT","08840d67-5148-49d5-867c-fe2756f33653","Myrcia piauhiensis O.Berg",-10.224689,-44.634435,NA,"South America; Brazil; Piauí; Parnaguá","WGS84",NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Google Maps",NA,NA,NA,NA,NA,NA,NA,NA,"TYPE","{""associatedMediaCount"": 1, ""barcode"": null, ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": ""Sheet"", ""collectionName"": null, ""commodity"": null, ""created"": 1231242474000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": [""No"", ""Yes"", ""No""], ""determinationNames"": [""Myrcia tomentosa (Aubl.) DC."", ""Myrcia piauhyensis O.Berg"", ""Aulomyrcia piauhiensis O.Berg""], ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055988314"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": ""GPI Georeferencing"", ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""Gen Herb"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}","2611",NA,NA,NA,NA,NA,"https://data.nhm.ac.uk/media/71793f58-1cc6-4ad1-920c-9e08a9a0aecd","http://creativecommons.org/licenses/by/4.0/"
"912092656","Myrcia piauhiensis O.Berg","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:21.075+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174438,6,7707728,220,690,5014,3173889,3174416,3174416,"Myrcia tomentosa (Aubl.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia tomentosa","Myrcia","piauhiensis","SPECIES","SYNONYM","LC",NA,"SOUTH_AMERICA",NA,NA,1839,9,1,"1839-09-01T00:00",244,244,"2010-07-05T14:03:02.660+00:00","2024-08-02T01:14:21.075+00:00",FALSE,"K000018593","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Gardner",NA,"Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"2611A","K000018593","K000018593",NA,"K","Paranagua",NA,"912092656",NA,"Herbarium","http://specimens.kew.org/herbarium/K000018593","Myrcia piauhiensis O.Berg",-10.216667,-44.466667,NA,"Paranagua","WGS84",NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Estimate",NA,NA,NA,NA,NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/e08712a72fd61468f246a239e727748f.jpg","http://creativecommons.org/licenses/by/4.0/"
