"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","preparations","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","identifier.1","catalogNumber","institutionID","institutionCode","fieldNumber","gbifID","verbatimLocality","collectionCode","occurrenceID","name","datasetName","otherCatalogNumbers","rightsHolder","recordNumber","municipality","locality","dateIdentified","identifiedBy","fieldNotes","occurrenceRemarks","higherGeography","habitat","georeferenceProtocol","eventRemarks","higherClassification","gadm","identificationQualifier","media_url","license"
"1265090491","Myrcia glaziovii Mattos & D.Legrand",-19.25667,-43.55278,"cdc,gass84","b5cdf794-8fa4-4a85-8b26-755d087bf531","2cd829bb-b713-433d-99cf-64bef11e5b3e","17abcf75-2f1e-46dd-bf75-a5b21dd02655","86c2834b-fcd6-418d-9b32-aca45110a0fe","2cd829bb-b713-433d-99cf-64bef11e5b3e","FR","EML","2024-07-31T14:46:57.413+00:00","2024-07-31T15:50:15.716+00:00",549,"PRESERVED_SPECIMEN","PRESENT",3174667,6,7707728,220,690,5014,3173889,3174667,3174667,"Myrcia glaziovii Mattos & D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia glaziovii","Myrcia","glaziovii","SPECIES","ACCEPTED","NE",1300,"SOUTH_AMERICA","Minas Gerais",2014,11,3,"2014-11-03",307,307,"2016-03-09T17:11:55.000+00:00","2024-07-31T15:50:15.716+00:00",FALSE,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00848674","none","none","6a6ac6c5-1b8a-48db-91a2-f8661274ff80","bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",TRUE,"Vasconcelos, T.N.C.|Faria, J.E.Q.","hb","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00848674","P00848674","http://grbio.org/institution/museum-national-dhistoire-naturelle","MNHN","501","1265090491","Parque Nacional da Serra do Cipó; perto da estátua do ""Juquinha"".","P","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00848674","Myrcia glaziovii Mattos & D.Legrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mediaphoto.mnhn.fr/media/1452986929498x4PHLCyBg2ej9CjX","http://creativecommons.org/licenses/by/4.0/"
"1423895171","Myrcia glaziovii Mattos & D.Legrand",-19.256667,-43.552778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:45.096+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174667,6,7707728,220,690,5014,3173889,3174667,3174667,"Myrcia glaziovii Mattos & D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia glaziovii","Myrcia","glaziovii","SPECIES","ACCEPTED","NE",1300,"SOUTH_AMERICA","Minas Gerais",2014,11,3,"2014-11-03",307,307,"2017-10-14T14:37:39.000+00:00","2024-08-01T12:21:45.096+00:00",FALSE,"urn:catalog:JBRJ:RB:1024635","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"T.N.C. Vasconcelos; J.E.Q. Faria",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","urn:catalog:JBRJ:RB:1024635","RB01024635","04.936.616/0001-20","JBRJ",NA,"1423895171",NA,"RB","urn:catalog:JBRJ:RB:1024635","Myrcia glaziovii Mattos & D.Legrand","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 634012","Rio de Janeiro Botanical Garden","501","Minas Gerais","Parque Nacional Serra do Cipó; perto da estátua do ""Juquinha"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/2/46/35/01024635.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424477852","Myrcia glaziovii Mattos & D.Legrand",-19.257222,-43.551111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.359+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174667,6,7707728,220,690,5014,3173889,3174667,3174667,"Myrcia glaziovii Mattos & D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia glaziovii","Myrcia","glaziovii","SPECIES","ACCEPTED","NE",1333,"SOUTH_AMERICA","Minas Gerais",2012,3,25,"2012-03-25",85,85,"2017-10-14T15:59:56.000+00:00","2024-08-01T12:21:43.359+00:00",FALSE,"urn:catalog:JBRJ:RB:846075","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"J.E.Q. Faria",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","urn:catalog:JBRJ:RB:846075","RB00846075","04.936.616/0001-20","JBRJ",NA,"1424477852",NA,"RB","urn:catalog:JBRJ:RB:846075","Myrcia glaziovii Mattos & D.Legrand","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 595813","Rio de Janeiro Botanical Garden","2463","Santana do Riacho","Margem da estrada do povoado de Serra do Cipó para Conceição do Mato Dentro, entre o córrego Três Pontinhas e a estátua do Juquinha.","2013-06-01T00:00:00","J.E.Q. Faria","Ambiente rupestre","Subarbusto bem ramificado ca. 0,8m de altura, frutos imaturos verdes",NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/60/75/00846075.jpg","http://creativecommons.org/licenses/by/4.0/"
"4519398180","Myrcia glaziovii Mattos & D.Legrand",-19.265,-43.550278,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:52.693+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174667,6,7707728,220,690,5014,3173889,3174667,3174667,"Myrcia glaziovii Mattos & D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia glaziovii","Myrcia","glaziovii","SPECIES","ACCEPTED","NE",1273,"SOUTH_AMERICA",NA,2012,12,4,"2012-12-04T00:00",339,339,NA,"2024-08-02T01:14:52.693+00:00",FALSE,"K001265113","none","none",NA,NA,TRUE,"s.coll.",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE","K001265113","K001265113",NA,NA,NA,"4519398180",NA,"Herbarium","http://specimens.kew.org/herbarium/K001265113","Myrcia glaziovii Mattos & D.Legrand",NA,NA,NA,"3151","Santana do Riacho","Serra do Cipo, margem da rodovia entre Serra do Cipo e Conceicao do Mato Dentro, proximo a estatua do Chiquinho.","2012-12-01T00:00:00","Faria, J.E.Q.",NA,NA,"Santana do Riacho","Ambiente rupestre.","Label","Subarbusto ca. 0,5m de altura, botoes florais verdes e flores passadas.","Myrtaceae",NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/2ad43caf17528a03d8931860b0397b1b.jpg","http://creativecommons.org/licenses/by/4.0/"
"1423902728","Myrcia glaziovii Mattos & D.Legrand",-19.246944,-43.51,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:45.466+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174667,6,7707728,220,690,5014,3173889,3174667,3174667,"Myrcia glaziovii Mattos & D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia glaziovii","Myrcia","glaziovii","SPECIES","ACCEPTED","NE",1246,"SOUTH_AMERICA","Minas Gerais",2011,7,27,"2011-07-27",208,208,"2017-10-15T16:00:34.000+00:00","2024-08-01T12:21:45.466+00:00",FALSE,"urn:catalog:JBRJ:RB:1091379","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"J.E.Q. Faria; P.E.A.S. Câmara; D.P. Costa; D.S. Martins",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","urn:catalog:JBRJ:RB:1091379","RB01091379","04.936.616/0001-20","JBRJ",NA,"1423902728",NA,"RB","urn:catalog:JBRJ:RB:1091379","Myrcia glaziovii Mattos & D.Legrand","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 642095","Rio de Janeiro Botanical Garden","1414","Minas Gerais","Alto do Palácio, campo das Vellozia gigantes.","2014-06-01T00:00:00","J.E.Q. Faria","Campo rupestre, crescendo entre rochas","Arbusto bem ramificado ca. 1m de altura, frutos maduros negros e frutos velhos, embrião verde Myrcióide",NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/9/13/79/01091379.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424385018","Myrcia glaziovii Mattos & D.Legrand",-14.150556,-47.52,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:42.711+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174667,6,7707728,220,690,5014,3173889,3174667,3174667,"Myrcia glaziovii Mattos & D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia glaziovii","Myrcia","glaziovii","SPECIES","ACCEPTED","NE",1266,"SOUTH_AMERICA","Goiás",2000,10,31,"2000-10-31",305,305,"2017-10-18T19:36:09.000+00:00","2024-08-01T12:21:42.711+00:00",FALSE,"urn:catalog:JBRJ:RB:680342","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"Queiroz, L.P. de; A.S. Conceição; J.G. Carvalho-Sobrinho & R. Machado",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","urn:catalog:JBRJ:RB:680342","RB00680342","04.936.616/0001-20","JBRJ",NA,"1424385018",NA,"RB","urn:catalog:JBRJ:RB:680342","Myrcia glaziovii Mattos & D.Legrand","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 531881","Rio de Janeiro Botanical Garden","15142","Alto Paraíso de Goiás","Rodovia GO - 118 (São João d´Aliança para Alto Paraíso) ca. 5 km S de Alto Paraíso.","2012-11-01T00:00:00","J.E.Q.Faria","Campo cerrado (campo limpo) com arbusto esparsos, solo arenoso.","Subarbusto ereto, emergindo de xilopódio, formando torceira de ca. de 30 cm de alt. Folhas cartáceas. Flores com cálice verde, pétalas e estames brancos.",NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/68/3/42/00680342.jpg","http://creativecommons.org/licenses/by/4.0/"
