"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","typeStatus","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","dateIdentified","media_url"
"1423912228","Eugenia grandissima Sobral, Mazine & E.A.D.Melo",-19.419722,-42.663889,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.346+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9542039,6,7707728,220,690,5014,3177662,9542039,9542039,"Eugenia grandissima Sobral, Mazine & E.A.D.Melo","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia grandissima","Eugenia","grandissima","SPECIES","ACCEPTED","EN",596,"SOUTH_AMERICA","Minas Gerais",2016,2,17,"2016-02-17",48,48,"PARATYPE","2017-10-18T15:25:15.000+00:00","2024-08-01T12:21:48.346+00:00",FALSE,"urn:catalog:JBRJ:RB:1130458","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 650992","M. Sobral; E.A.D. Melo","Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","15778","urn:catalog:JBRJ:RB:1130458","RB01130458","04.936.616/0001-20","JBRJ","Ipatinga","Bairro Ipanemão","1423912228","Árvore até 4 m de altura com diversos troncos (cerca de dez), cada um com no máximo 50 mm de diâmetro à altura do peito. Casca rugosa; Flores com cálice castanhos e pétalas brancas com odor suave","RB","urn:catalog:JBRJ:RB:1130458","Eugenia grandissima Sobral, Mazine & E.A.D.Melo",NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/13/4/58/01130458.jpg"
"1423912225","Eugenia grandissima Sobral, Mazine & E.A.D.Melo",-19.419722,-42.163889,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:45.823+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9542039,6,7707728,220,690,5014,3177662,9542039,9542039,"Eugenia grandissima Sobral, Mazine & E.A.D.Melo","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia grandissima","Eugenia","grandissima","SPECIES","ACCEPTED","EN",596,"SOUTH_AMERICA","Minas Gerais",2016,2,17,"2016-02-17",48,48,"ISOTYPE","2017-10-18T16:13:44.000+00:00","2024-08-01T12:21:45.823+00:00",FALSE,"urn:catalog:JBRJ:RB:1130459","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 650993","M. Sobral; E.A.D. Melo","Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","15783","urn:catalog:JBRJ:RB:1130459","RB01130459","04.936.616/0001-20","JBRJ","Ipatinga","Bairro Ipanemão","1423912225","Árvore ca, 5 m de altura com dois ou três troncos crescendo a partir de um mesmo ponto, o maior deles com ca. 100 mm de diâmetro à altura do peito. Flores com sépalas castanhas e pétalas brancas com odor suave","RB","urn:catalog:JBRJ:RB:1130459","Eugenia grandissima Sobral, Mazine & E.A.D.Melo",NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/13/4/59/01130459.jpg"
"1457569248","Eugenia grandissima Sobral, Mazine & E.A.D.Melo",-19.771944,-42.748333,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.120+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9542039,6,7707728,220,690,5014,3177662,9542039,9542039,"Eugenia grandissima Sobral, Mazine & E.A.D.Melo","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia grandissima","Eugenia","grandissima","SPECIES","ACCEPTED","EN",661,"SOUTH_AMERICA","Minas Gerais",2016,7,12,"2016-07-12",194,194,NA,"2017-10-15T17:36:33.000+00:00","2024-08-01T12:21:48.120+00:00",FALSE,"urn:catalog:JBRJ:RB:1306984","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 727755","J.E.Q. Faria; T.N.C. Vasconcelos; A.M.S. Stadnik","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","6270","urn:catalog:JBRJ:RB:1306984","RB01306984","04.936.616/0001-20","JBRJ","Marliéria","Margem da estrada de terra entre Dionísio e Marliéria","1457569248",NA,"RB","urn:catalog:JBRJ:RB:1306984","Eugenia grandissima Sobral, Mazine & E.A.D.Melo","2016-07-01T00:00:00","http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/30/69/84/01306984.jpg"
