"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","elevation","higherGeography","typeStatus","habitat","eventRemarks","higherClassification","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceVerificationStatus","georeferenceRemarks","fieldNotes","elevationAccuracy","gadm","verbatimEventDate","bibliographicCitation","references","preparations","nomenclaturalCode","county","language","type","identificationRemarks","verbatimElevation","collectionID","media_url"
"3704817332","Myrcia ascendens M.F.Santos",-12.999722,-41.3625,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:53.275+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8901668,6,7707728,220,690,5014,3173889,8901668,8901668,"Myrcia ascendens M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia ascendens","Myrcia","ascendens","SPECIES","ACCEPTED","CR","2019-11-01T00:00:00","SOUTH_AMERICA","Bahia",2019,11,11,"2019-11-11",315,315,"2022-02-07T21:45:15.000+00:00","2024-08-01T12:21:53.275+00:00",FALSE,"urn:catalog:JBRJ:RB:1452939","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 824134","T. Fernandes; F.R.N. Fraga, T. Lorenzetti & V. Rodisnky","T. Fernandes & M.F.Santos","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","622","urn:catalog:JBRJ:RB:1452939","RB01452939","04.936.616/0001-20","JBRJ","Mucugê","Parque Natural Municipal de Mucugê. Projeto Sempre Vivas, trilha para a Cachoeira Piabinha. Campo rupestre. Parque Natural Municipal de Mucugê","3704817332","Arbusto, 1,5 m. Folhas coriáceas, levemente discolores, inflorescência congesta, pilosa, verde com tricomas ocráceos. Material prensado em álcool. Material adicional em sílica-gel.","RB","urn:catalog:JBRJ:RB:1452939","Myrcia ascendens M.F.Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/29/39/01452939.jpg"
"4519389802","Myrcia ascendens M.F.Santos",-12.999722,-41.347778,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:47.014+00:00",407,"PRESERVED_SPECIMEN","PRESENT",8901668,6,7707728,220,690,5014,3173889,8901668,8901668,"Myrcia ascendens M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia ascendens","Myrcia","ascendens","SPECIES","ACCEPTED","CR","2017-01-01T00:00:00","SOUTH_AMERICA",NA,2012,2,12,"2012-02-12T00:00",43,43,NA,"2024-08-02T01:14:47.014+00:00",FALSE,"K000752502","none","none",NA,NA,TRUE,NA,NA,"Santos, M.F.; & T. L. Vieira","Santos, M.F.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"829","K000752502","K000752502",NA,NA,"Mucugê","Rio Tiburtino; trilha a partir do centro de visitantes.","4519389802",NA,"Herbarium","http://specimens.kew.org/herbarium/K000752502","Myrcia ascendens M.F.Santos",925,"Mucugê","PARATYPE","Na margem do rio, sobre a rocha; solo arenoso.","Arvoreta delgada, 2 m alt. Pilosidade ocre. Ramo maduro cinza, imaturo verde a avermelhado. Folhas eretas, ca. de 45˚ em relação ao ramo. Ráquis da inflorescência verde. Hipanto e cálice vináceos, pétala alva com detalhes vináceos. Fruto maduro vináceo a ","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/f40ed3b391c1335bccfe15cea70c7824.jpg"
"2248071699","Myrcia ascendens M.F.Santos",-12.99972,-41.34778,"cdc,gass84,gdativ,colmafu,inmafu","98d7a49c-5776-41eb-a928-b6f5174eadd1","838537fc-4aeb-4980-8b58-97fbdcd1d91a",NA,"da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T11:59:27.239+00:00","2024-08-01T11:59:41.005+00:00",318,"PRESERVED_SPECIMEN","PRESENT",8901668,6,7707728,220,690,5014,3173889,8901668,8901668,"Myrcia ascendens M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia ascendens","Myrcia","ascendens","SPECIES","ACCEPTED","CR","2016-01-01T00:00:00","SOUTH_AMERICA","Bahia",2012,2,12,"2012-02-12",43,43,"2017-10-19T10:08:58.000+00:00","2024-08-01T11:59:41.005+00:00",FALSE,"urn:catalog:JBRJ:RB:981850","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"Caatinga Biome - RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 627631","M.F. Santos; T.L. Vieira","M.F.SANTOS","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","830","urn:catalog:JBRJ:RB:981850","RB00981850",NA,"JBRJ","Mucugê","Parque municipal de Mucugê, rio Tiburtino, trilha a partir do centro de visitantes. . Parque Municipal de Mucugê","2248071699","arvoreta delgada, 3m de altura pilosidade ocre ramo maduro cinza, imaturo verde e avermelhado folhas eretas, ca. de 45º em relação ao ramo ráquis da inflorescência verde fruto maduro vináceo a negro; receptáculo ocre amostra armazenada em sílica-gel material prensado em álcool","RB","urn:catalog:JBRJ:RB:981850","Myrcia ascendens M.F.Santos",925,NA,NA,NA,NA,NA,"Ulises Rodrigo Magdalena","2016","Magdalena et al. (2018) https://doi.org/10.1016/j.apgeog.2018.05.002","Coordenada aferida","Coordenada aferida a partir da informação da ficha de coleta","Margem do rio, sobre a rocha, solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://rb.jbrj.gov.br/v2/templaterb2.php?colbot=RB&codtestemunho=981850&arquivo=00981850.jpg"
"2996053202","Myrcia ascendens M.F.Santos",0,0,"cucdmis,elmms,gass84,zerocd,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:39.760+00:00",203,"PRESERVED_SPECIMEN","PRESENT",8901668,6,7707728,220,690,5014,3173889,8901668,8901668,"Myrcia ascendens M.F.Santos","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia ascendens","Myrcia","ascendens","SPECIES","ACCEPTED","CR","2015-01-01T00:00:00",NA,"Bahia",1984,12,17,"1984-12-17",352,352,NA,"2024-07-01T12:17:39.760+00:00",FALSE,"4007523","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,NA,NA,"Lewis, GP;Giulietti, AM,Harley, RM,Longhi-Wagner, HM,Stannard, B,Arraes, MG","Santos, MF","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","s.n.","4007523","ALCB039627",NA,"ALCB","Mucugê","Serra de São Pedro.","2996053202","Cerca de 2 m. Flores alvas.","ALCB","4007523","Myrcia ascendens M.F.Santos",550,NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,"Cerca de 2 m. Flores alvas.",550,"none","17/12/1984","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4007523",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/3/96/27/alcb00039627.dzi"
