"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","verbatimEventDate","http...unknown.org.recordID","locality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","rights","http...unknown.org.recordEnteredBy","verbatimElevation","higherClassification","collectionID","reproductiveCondition","name","dateIdentified","gadm","identifiedBy","occurrenceRemarks","networkKeys","rightsHolder","municipality","bibliographicCitation","otherCatalogNumbers","habitat","coordinateUncertaintyInMeters","typeStatus","georeferenceProtocol","typifiedName","datasetName","preparations","recordedByIDs.type","recordedByIDs.value","institutionID","nomenclaturalCode","type","fieldNumber","verbatimLocality","county","language","locationRemarks","higherGeography","acceptedNameUsage","organismID","ownerInstitutionCode","accessRights","disposition","media_url"
"2270536560","Psidium glaziovianum Kiaersk.",-19.889722,-43.37,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:21.683+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5420469,6,7707728,220,690,5014,3187232,5420469,5420469,"Psidium glaziovianum Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium glaziovianum","Psidium","glaziovianum","SPECIES","ACCEPTED","NE",750,"SOUTH_AMERICA","Minas Gerais",2014,11,2,"2014-11-02",306,306,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:21.683+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20558438","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"20558438","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"Vasconcelos, T. N. C.; Faria, J. E. Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","473","20558438","2 November 2014","5788b83e-a0be-4703-9714-db02c5292e2d","Sao Gonc,alo do Rio Abaixo, Est. Ambiental de Peti.","Plants","2270536560","5788b83e-a0be-4703-9714-db02c5292e2d","48251","ASU0301447","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","750 m","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Psidium","a2e32c87-d320-4a01-bafd-a9182ae2e191","fl","Psidium glaziovianum Kiaersk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0301/ASU0301447_lg.jpg"
"4900580085","Psidium glaziovianum Kiaersk.",-8.5,-41,"cdc,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:45.008+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420469,6,7707728,220,690,5014,3187232,5420469,5420469,"Psidium glaziovianum Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium glaziovianum","Psidium","glaziovianum","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Pernambuco",1994,4,17,"1994-04-17",107,107,NA,"2024-07-01T12:17:45.008+00:00",NA,"http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"6270670","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Lima, JLS","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","4629","6270670","17/04/1994",NA,"baixada do Perpétuo","ALCB","4900580085","6270670",NA,"ALCB00060973","ALCB",NA,NA,NA,NA,NA,NA,"Psidium glaziovianum Kiaersk.",NA,NA,"Stadnik, A",NA,"4b0d8edb-7504-42c4-9349-63e86c01bf97","ALCB","Afrânio","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6270670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/9/73/alcb00060973.dzi"
"2270510846","Psidium glaziovianum Kiaersk.",-15.15,-43,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:13.022+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5420469,6,7707728,220,690,5014,3187232,5420469,5420469,"Psidium glaziovianum Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium glaziovianum","Psidium","glaziovianum","SPECIES","ACCEPTED","NE",840,"SOUTH_AMERICA","Minas Gerais",1991,1,28,"1991-01-28",28,28,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:13.022+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1879407","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"1879407","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"Taylor, N. P. et al.; Zappi, Eggli","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","1466","1879407",NA,"84bffb27-890f-4189-b9f1-92aa450e0b06","Mun. Monte Azul, 7 km E of Monte Azul towards and beyond Vila Angical on rd., then 1 hr 45 min on foot ascending the Serra Geral above Vila Angical","Plants","2270510846","84bffb27-890f-4189-b9f1-92aa450e0b06","48251","ASU0030919","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Les",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Psidium","a2e32c87-d320-4a01-bafd-a9182ae2e191","young fruit","Psidium glaziovianum Kiaersk.",NA,NA,NA,"photos; small shrub to 1 m",NA,NA,NA,NA,"266621","caatinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/201308/Psidium_glaziovianum-6146_lg.jpg"
"2270569917","Psidium glaziovianum Kiaersk.",-14.2,-40.2,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:17.178+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5420469,6,7707728,220,690,5014,3187232,5420469,5420469,"Psidium glaziovianum Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium glaziovianum","Psidium","glaziovianum","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Bahia",1979,2,16,"1979-02-16",47,47,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:17.178+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3439973","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"3439973","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"Mattos Silva et al.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","281","3439973",NA,"46338801-f81f-45f8-8cac-8a8ebb0860a9","Manoel Vitorino, Mun. Manoel Vitorino, Rod. M. Vitorino/Caatingal, km 8","Plants","2270569917","46338801-f81f-45f8-8cac-8a8ebb0860a9","48251","ASU0075447","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Landrum",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Psidium","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Psidium glaziovianum Kiaersk.",NA,NA,NA,"Arvore, 5 m X 8 cm",NA,NA,NA,NA,"190768","Caatinga",20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/201308/Psidium_glaziovianum-6138_lg.jpg"
