"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","associatedOccurrences","recordNumber","identifier.1","habitat","http...unknown.org.recordID","locality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","higherClassification","collectionID","reproductiveCondition","name","individualCount","dateIdentified","datasetName","rightsHolder","nomenclaturalStatus","nomenclaturalCode","fieldNumber","type","ownerInstitutionCode","bibliographicCitation","county","higherGeography","institutionID","georeferenceProtocol","organismID","locationID","accessRights","georeferenceSources","networkKeys","gadm","typeStatus","dynamicProperties","preparations","identificationRemarks","verbatimLocality","language","disposition","eventRemarks","elevationAccuracy","verbatimEventDate","identificationReferences","verbatimElevation","georeferenceRemarks","typifiedName","datasetID","locationRemarks","media_url","license"
"2270679604","Chamguava schippii (Standl.) Landrum",16.5231,-88.8875,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.971+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",406,"NORTH_AMERICA","Toledo",2005,5,10,"2005-05-10",130,130,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.971+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=768999",FALSE,"768999","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"258575","Steven W. Brewer","L. R. Landrum","WGS84","Magnoliopsida","BZ","none","none","LATIN_AMERICA","Belize","NORTH_AMERICA","herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=752ffb1c-f18e-41c9-aacd-dfb7f6ee9341","2512","768999","Steep upper slopes, volcanic substrate.","7b92d995-ff3d-4a7a-9923-5d0c9db5eccf","Bladen Nature Reserve. Esparanza ridge.","Plants","2270679604","7b92d995-ff3d-4a7a-9923-5d0c9db5eccf","51086","ASU0009740","ASU","http://creativecommons.org/licenses/by-nc/3.0/","photos; Tree 3 m X 5 cm, bark narrowly furrowed.  Flowers light yellow, without odor.","Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Chamguava","a2e32c87-d320-4a01-bafd-a9182ae2e191","flowers","Chamguava schippii (Standl.) Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0009/ASU0009740_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1257939403","Chamguava schippii (Standl.) Landrum",16.549167,-88.827222,"cdround,gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:15:12.068+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",340,"NORTH_AMERICA","Toledo",2004,6,11,"2004-06-11",163,163,"2013-05-22T13:46:00.000+00:00","2024-08-02T20:15:12.068+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:100595366","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,FALSE,NA,"Steven W. Brewer","S.W. Brewer","WGS84","Magnoliopsida","BZ","none","none","LATIN_AMERICA","Belize","NORTH_AMERICA",NA,"Brewer 1541","urn:catalog:MO:Tropicos:100595366",NA,NA,"Western hills of the Quebrada de Oro valley, just north of where the volcanics and limestone substrata meet. Bladen Nature Reserve.","Tropicos","1257939403","urn:catalog:MO:Tropicos:100595366","22103164","100595366","MO",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Chamguava schippii (Standl.) Landrum",1,"2005-01-01T00:00:00","Tropicos","Missouri Botanical Garden","No opinion","ICNafp","46","PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/100595366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100524000/5AFF987A-9A80-4B03-B775-33B39041C5F4.jpg","http://creativecommons.org/licenses/by/4.0/"
"1260455728","Chamguava schippii (Standl.) Landrum",17.00097,-89.000978,"cdround,gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:14:11.641+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",480,"NORTH_AMERICA","Cayo",1988,6,20,"1988-06-20",172,172,"2014-09-17T05:30:00.000+00:00","2024-08-02T20:14:11.641+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:307626","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,FALSE,NA,"Jorge A. Meave|Augustine How","S.W. Brewer (WNC), XII/","WGS84","Magnoliopsida","BZ","none","none","LATIN_AMERICA","Belize","NORTH_AMERICA",NA,"Meave del Castillo 1082","urn:catalog:MO:Tropicos:307626",NA,NA,"Rio On Creek, 10 km N of Augustine, Mountain Pine Ridge Forest Reserve. Broadleaved riparian forest","Tropicos","1260455728","urn:catalog:MO:Tropicos:307626","22103164","307626","MO",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Chamguava schippii (Standl.) Landrum",5,"2007-01-01T00:00:00","Tropicos","Missouri Botanical Garden","No opinion","ICNafp","88-38","PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/307626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100524000/8507EDF0-0181-4E90-9329-0C6B3AC88B54.jpg","http://creativecommons.org/licenses/by/4.0/"
"1260456373","Chamguava schippii (Standl.) Landrum",16.98333,-88.98333,"gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:14:12.573+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",400,"NORTH_AMERICA","Cayo",1988,6,5,"1988-06-05",157,157,"2014-09-17T05:30:00.000+00:00","2024-08-02T20:14:12.573+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:307688","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,FALSE,NA,"Jorge A. Meave|Augustine How","L.R. Landrum","WGS84","Magnoliopsida","BZ","none","none","LATIN_AMERICA","Belize","NORTH_AMERICA",NA,"Meave del Castillo 1058","urn:catalog:MO:Tropicos:307688",NA,NA,"Rio On Pools, 4 km N of Augustine, Mountain Pine Ridge Forest Reserve. Broadleaved open riparian forest","Tropicos","1260456373","urn:catalog:MO:Tropicos:307688","22103164","307688","MO",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Chamguava schippii (Standl.) Landrum",5,"1991-01-01T00:00:00","Tropicos","Missouri Botanical Garden","No opinion","ICNafp","88-20","PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/307688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100524000/948AC3B2-59B9-4D49-AC65-FFB1051D40A8.jpg","http://creativecommons.org/licenses/by/4.0/"
"1260457040","Chamguava schippii (Standl.) Landrum",16.98333,-88.98333,"gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:14:12.420+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",400,"NORTH_AMERICA","Cayo",1988,8,8,"1988-08-08",221,221,"2014-09-17T05:30:00.000+00:00","2024-08-02T20:14:12.420+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:307749","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,FALSE,NA,"Jorge A. Meave|Augustine How","L.R. Landrum","WGS84","Magnoliopsida","BZ","none","none","LATIN_AMERICA","Belize","NORTH_AMERICA",NA,"Meave del Castillo 1159","urn:catalog:MO:Tropicos:307749",NA,NA,"Rio on Pools, 4 km N of Augustine, Mountain Pine Ridge Forest Reserve. Open riparian broadleaved forest","Tropicos","1260457040","urn:catalog:MO:Tropicos:307749","22103164","307749","MO",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Chamguava schippii (Standl.) Landrum",5,"1991-01-01T00:00:00","Tropicos","Missouri Botanical Garden","No opinion","ICNafp","88-87","PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/307749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100524000/EA138CA5-5230-4351-9A07-D10CDAFFB39A.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270675013","Chamguava schippii (Standl.) Landrum",16.1083,-90.5,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.676+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Chiapas",1986,6,22,"1986-06-22",173,173,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.676+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=762508",FALSE,"762508","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"178884","E. Martinez","L.R. Landrum, 1989.","WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA",NA,"18870","762508","Selva media subcaducifolia","5bf35d1d-3ffc-4e40-9f02-37de4f1e08ac","A 25km al W del Vertice del Rio Chixoy camino a Chajul.","Plants","2270675013","5bf35d1d-3ffc-4e40-9f02-37de4f1e08ac","51086","ASU0009742","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Coor from www.fallingrain.com/world; Arbol de 8m con flor blanca.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Chamguava","a2e32c87-d320-4a01-bafd-a9182ae2e191","flowers","Chamguava schippii (Standl.) Landrum",NA,"1989-01-01T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"Nuevo Orizaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0009/ASU0009742_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1258786733","Chamguava schippii (Standl.) Landrum",16.08,-90.67,"gass84,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:16:12.828+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",200,"NORTH_AMERICA","Chiapas",1986,6,22,"1986-06-22",173,173,"2011-06-21T11:43:00.000+00:00","2024-08-02T20:16:12.828+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:1556809","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,FALSE,NA,"Esteban M. Martínez S.","L.R. Landrum","WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA",NA,"Martínez Salas 18870","urn:catalog:MO:Tropicos:1556809",NA,NA,"En Nvo. Orizaba a 25 km al W del Vértice del Río Chixoy camino a Chajul. Selva media subcaducifolia","Tropicos","1258786733","urn:catalog:MO:Tropicos:1556809","22103164","1556809","MO",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Chamguava schippii (Standl.) Landrum",NA,"1989-01-01T00:00:00","Tropicos","Missouri Botanical Garden","No opinion","ICNafp",NA,"PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/1556809","Ocosingo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100524000/5820D707-EA78-496E-AC49-2302677AC4C8.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270673819","Chamguava schippii (Standl.) Landrum",16,-92,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.559+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Chiapas",1984,6,10,"1984-06-10",162,162,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.559+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=762509",FALSE,"762509","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"178850","A. Mendez","L.R. Landrum, 1989","WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA",NA,"7653","762509",NA,"e9e82285-2894-44ec-af8a-9a783f162202","Al lado N sobre carretera de terraceria km 17.","Plants","2270673819","e9e82285-2894-44ec-af8a-9a783f162202","51086","ASU0009741","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Coor from www.fallingrain.com/world; Arbol de 3m, con flores blancas.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Chamguava","a2e32c87-d320-4a01-bafd-a9182ae2e191","flowers","Chamguava schippii (Standl.) Landrum",NA,"1989-01-01T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"Cuahtemoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0009/ASU0009741_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1228228820","Chamguava schippii (Standl.) Landrum",15.6667,-90,"gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T11:00:05.176+00:00",313,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Alta Verapaz",1963,5,13,"1963-05-13",133,133,"2023-08-31T17:03:00.000+00:00","2024-01-25T11:00:05.176+00:00",NA,FALSE,"379579bb-06e8-46e6-af04-ac2aa8c6591f","none","none","689b4219-8256-4c6e-890b-2e81405d4c58",NA,TRUE,NA,"A. Molina R.","L. R. Landrum","WGS84","Magnoliopsida","GT","none","none","LATIN_AMERICA","Guatemala","NORTH_AMERICA",NA,"12135","379579bb-06e8-46e6-af04-ac2aa8c6591f",NA,NA,"Alta Verapaz","Botany","1228228820","379579bb-06e8-46e6-af04-ac2aa8c6591f",NA,NA,"F",NA,NA,NA,"Plantae Spermatophyta Dicotyledoneae Myrtaceae","Botany",NA,"Chamguava schippii (Standl.) Landrum",NA,"1991-01-01T00:00:00","seeds-22-sep-2023","The Field Museum of Natural History",NA,"ICBN","12135",NA,"F",NA,NA,"North America, Guatemala, Alta Verapaz. [LL]","F","TGN - Centroid","397116","961c8b82-afd1-4572-b0d3-14c8475e935e","http://fieldmuseum.org/about/copyright-information","Getty Thesaurus of Geographic Names (TGN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/172/988/MYRT_cham_schi_1615575.jpg","http://creativecommons.org/licenses/by/4.0/"
"1258786699","Chamguava schippii (Standl.) Landrum",16.9225,-88.296944,"cdround,gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:16:24.220+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3186028,6,7707728,220,690,5014,3186024,3186028,3186028,"Chamguava schippii (Standl.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Chamguava","Chamguava schippii","Chamguava","schippii","SPECIES","ACCEPTED","LC",20,"NORTH_AMERICA","Stann Creek",1954,8,30,"1954-08-30",242,242,"2018-10-05T16:03:00.000+00:00","2024-08-02T20:16:24.220+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:1556788","none","none","1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,TRUE,NA,"Percy H. Gentle","F.R. Barrie","WGS84","Magnoliopsida","BZ","none","none","LATIN_AMERICA","Belize","NORTH_AMERICA",NA,"Gentle 8354","urn:catalog:MO:Tropicos:1556788",NA,NA,"wooded island, Commerce Bight Pine Ridge","Tropicos","1258786699","urn:catalog:MO:Tropicos:1556788","22103164","1556788","MO",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Chamguava schippii (Standl.) Landrum",1,"2005-01-01T00:00:00","Tropicos","Missouri Botanical Garden","No opinion","ICNafp",NA,"PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/1556788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100567000/87AE87E9-7D46-48BD-8B36-FADD9C84DEE5.jpg","http://creativecommons.org/licenses/by/4.0/"
