"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","http...unknown.org.recordID","locality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","name","networkKeys","individualCount","gadm","higherGeography","datasetName","institutionID","verbatimEventDate","islandGroup","island","preparations","rightsHolder","georeferencedDate","nomenclaturalCode","georeferenceProtocol","language","type","georeferenceSources","typeStatus","habitat","identificationRemarks","reproductiveCondition","media_url"
"2270672519","Calyptranthes pinetorum Britton & P.Wilson ex Britton",21.7,-83,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.647+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181311,6,7707728,220,690,5014,3173889,10777554,10777554,"Myrcia pinetorum (Britton & P.Wilson) Z.Acosta & K.Samra","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia pinetorum","Calyptranthes","pinetorum","SPECIES","SYNONYM","NE","NORTH_AMERICA","Isla de la Juventud",1991,10,20,"1991-10-20",293,293,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.647+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761740","http://creativecommons.org/licenses/by/4.0/",FALSE,"761740","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"225887","A. Urquiola; E. Vega, J. Izquierdo, T. Decebar, R. Chiarbire y T. Mituava.","A. Urquisia","WGS84","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","MPEE-7528","761740","82c07c6d-900c-4469-89eb-109bf9295aab","Pinares de Los Indios.","Plants","2270672519","82c07c6d-900c-4469-89eb-109bf9295aab","47720","ASU0008863","ASU","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191","Calyptranthes pinetorum Britton & P.Wilson ex Britton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008863_lg.jpg"
"1930316328","Calyptranthes pinetorum Britton & P.Wilson ex Britton",21.637662,-82.977608,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:34.364+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3181311,6,7707728,220,690,5014,3173889,10777554,10777554,"Myrcia pinetorum (Britton & P.Wilson) Z.Acosta & K.Samra","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia pinetorum","Calyptranthes","pinetorum","SPECIES","SYNONYM","NE","NORTH_AMERICA","Isla de la Juventud",1954,4,19,"1954-04-19",109,109,NA,"2024-07-21T05:14:34.364+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1677151","http://creativecommons.org/licenses/by/4.0/",FALSE,"b4510650-a45f-41b0-89a6-ea0c715faea4","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,NA,"E. P. Killip",NA,"WGS84","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","44045","b4510650-a45f-41b0-89a6-ea0c715faea4",NA,"Siguanea region.","NY","1930316328","b4510650-a45f-41b0-89a6-ea0c715faea4",NA,"1434948","NY",NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Calyptranthes pinetorum Britton & P.Wilson ex Britton",NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556","19 Apr 1954",NA,NA,"sheet","The New York Botanical Garden","2017-07-21","ICN","Georeferencing Quick Reference Guide, Version 2012","en","PhysicalObject","Google Maps (map data 2017); MaNIS Georef. Calculator",NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/472/452/v-247-01434948.jpg"
"1928305250","Calyptranthes pinetorum Britton & P.Wilson ex Britton",22.324144,-83.659242,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:28.828+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3181311,6,7707728,220,690,5014,3173889,10777554,10777554,"Myrcia pinetorum (Britton & P.Wilson) Z.Acosta & K.Samra","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia pinetorum","Calyptranthes","pinetorum","SPECIES","SYNONYM","NE","NORTH_AMERICA","Pinar del Río",1923,10,29,"1923-10-29",302,302,NA,"2024-07-21T05:13:28.828+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1677146","http://creativecommons.org/licenses/by/4.0/",FALSE,"25e7bfec-2c62-4b8a-9f9a-011af973ac1a","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",FALSE,NA,"E. L. Ekman",NA,"WGS84","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","17852","25e7bfec-2c62-4b8a-9f9a-011af973ac1a",NA,"pineland east of road from Pinar del Rio to La Coloma","NY","1928305250","25e7bfec-2c62-4b8a-9f9a-011af973ac1a",NA,"01434947","NY",NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Calyptranthes pinetorum Britton & P.Wilson ex Britton",NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556","29 Oct 1923",NA,NA,"sheet","The New York Botanical Garden","2017-09-11","ICN","Georeferencing Quick Reference Guide, Version 2012","en","PhysicalObject","Google Maps (map data 2017); MaNIS Georef. Calculator",NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/472/451/v-247-01434947.jpg"
