"key","scientificName","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","dynamicProperties","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","name","decimalLatitude","decimalLongitude","geodeticDatum","occurrenceRemarks","identificationQualifier","dateIdentified","elevation","references","habitat","verbatimEventDate","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","verbatimElevation","higherClassification","collectionID","nomenclaturalCode","county","georeferenceRemarks","individualCount","nomenclaturalStatus","fieldNumber","type","ownerInstitutionCode","bibliographicCitation","elevationAccuracy","georeferenceProtocol","eventRemarks","higherGeography","infraspecificEpithet","organismID","locationID","accessRights","georeferenceSources","verbatimTaxonRank","reproductiveCondition","associatedOccurrences","lifeStage","preparations","language","georeferencedDate","coordinateUncertaintyInMeters","georeferencedBy","verbatimLocality","identificationID","identificationRemarks","typeStatus","disposition","projectId","programmeAcronym","locationRemarks","datasetID","media_url","license"
"3313939302","Myrcia neospeciosa A.R.Lourenço & E.Lucas","cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:55.733+00:00",520,"PRESERVED_SPECIMEN","PRESENT",10825908,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Myrcia","neospeciosa","SPECIES","ACCEPTED","LC","SOUTH_AMERICA","Acre",NA,2017,5,2,"2017-05-02",122,122,"2023-07-04T18:38:40.000+00:00","2024-08-01T12:21:55.733+00:00",FALSE,"urn:catalog:JBRJ:RB:1439686","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 811893","S. Bereta; D.S. Costa, A.S. Lima, L. Fernandes, D.B. Pereira","M. Sobral","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","285","urn:catalog:JBRJ:RB:1439686","04.936.616/0001-20","{""project"" : ""Flora do Acre- Brasil""}","Sena Madureira","Resex Cazumbá-Iracema, Ramal do núcleo da Cazumbá para o rio Caeté, colocação do Senhor Branco","RB","3313939302","urn:catalog:JBRJ:RB:1439686","RB01439686","JBRJ","Floresta aberta com Bambu","Myrcia neospeciosa A.R.Lourenço & E.Lucas",-9.114444,-68.948889,"WGS84","Arbusto 3m, frutos imaturos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/43/96/86/01439686.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1845613299","Myrcia neospeciosa A.R.Lourenço & E.Lucas","cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:50.118+00:00",520,"PRESERVED_SPECIMEN","PRESENT",10825908,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Myrcia","neospeciosa","SPECIES","ACCEPTED","LC","SOUTH_AMERICA","Amapá",NA,2017,11,17,"2017-11-17",321,321,"2023-06-30T00:00:52.000+00:00","2024-08-01T12:21:50.118+00:00",FALSE,"urn:catalog:JBRJ:RB:1388547","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 766076","H. Medeiros; Adriano E.S. Farias, Dierretrin B. Gomes, Astrogildo S. Gomes, Rodrigo N. Miranda, Alberlam P. Oliveira, Adriano S. Lima & Daniel da S. Costa.","M. Sobral","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2957","urn:catalog:JBRJ:RB:1388547","04.936.616/0001-20","{""project"" : ""Programa de Monitoramento da Biodiversidade - ICMBio""}","Calçoene","Parque Nacional do Cabo Orange, Vila Velha, Rio Cacipore, Programa de Monitoramento da Biodiversidade. Unidade Amostral 03, PÁ ""Norte"".","RB","1845613299","urn:catalog:JBRJ:RB:1388547","RB01388547","JBRJ",NA,"Myrcia neospeciosa A.R.Lourenço & E.Lucas",3.0825,-51.249444,"WGS84","Árvore 14 m, estéril. Placa: # 474.","cf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/38/85/47/01388547.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2270542751","Calyptranthes speciosa Sagot","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:22.322+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Pasco",NA,2012,10,30,"2012-10-30",304,304,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:22.322+00:00",FALSE,"21227070","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,NA,"Rocio Rojas; G. Ortiz; T. Carhuaricra","L. R. Landrum","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA",NA,"8732","21227070",NA,NA,NA,"Peru, Oxapampa Dist. Palcazu, Comunidad Nativa Alto Lagarto - Reserva Comunal Yanesha","Plants","2270542751","b3a43d43-28c8-441f-a165-1194a0c2b63d","ASU0304825","ASU",NA,"Calyptranthes speciosa Sagot",-10.133333,-75.366667,"WGS84","Arbolito 1 m, frutos verdes","cf.","2018-01-01T00:00:00",500,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21227070","Remanente de bosque prlmario","30 octubre 2012","b3a43d43-28c8-441f-a165-1194a0c2b63d","47727","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","500 m","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0304/ASU0304825_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2845781392","Calyptranthes speciosa Sagot","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:56:26.032+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Brokopondo",NA,2011,3,30,"2011-03-30",89,89,NA,"2024-07-18T23:56:26.032+00:00",FALSE,"U.1616111@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"U  0289439","Bhikhi CR; Troon F van; Diran F; Sedranie KS; Teunissen PA; Teunissen S; Lingaard F","Lucas E","Magnoliopsida","SR","none","none","LATIN_AMERICA","Suriname","EUROPE","Naturalis Biodiversity Center","Bhikhi, CR; Troon, F van; Diran, F; Sedranie, KS; Teunissen, PA; Teunissen, S; Lingaard, F 741","U.1616111@BRAHMS","Naturalis Biodiversity Center",NA,NA,"van Blommesteijn Lake, mainland east, to the Nassau Mountain.","Botany","2845781392","https://data.biodiversitydata.nl/naturalis/specimen/U.1616111","U.1616111",NA,NA,"Calyptranthes speciosa Sagot",4.87117,-54.81883,"WGS84",NA,NA,"2011-09-01T00:00:00",NA,NA,"On the banks. Creek forest on laterite, rocky soil.",NA,NA,NA,NA,NA,"73.0 m","Plantae|Myrtales|Myrtaceae",NA,"ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/U.1616111/format/large","http://creativecommons.org/publicdomain/zero/1.0/"
"2845791395","Calyptranthes speciosa Sagot","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:55:03.126+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Brokopondo",NA,2011,4,2,"2011-04-02",92,92,NA,"2024-07-18T23:55:03.126+00:00",FALSE,"U.1616140@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"U  0289435","Bhikhi CR; Troon F van; Diran F; Sedranie KS; Lingaard F","Lucas E","Magnoliopsida","SR","none","none","LATIN_AMERICA","Suriname","EUROPE","Naturalis Biodiversity Center","Bhikhi, CR; Troon, F van; Diran, F; Sedranie, KS; Lingaard, F 784","U.1616140@BRAHMS","Naturalis Biodiversity Center",NA,NA,"van Blommesteijn Lake, Island east, to the Nassau Mountain, plot 6.","Botany","2845791395","https://data.biodiversitydata.nl/naturalis/specimen/U.1616140","U.1616140",NA,NA,"Calyptranthes speciosa Sagot",4.83767,-55.0435,"WGS84",NA,NA,"2011-09-01T00:00:00",NA,NA,"In the forest. Primary forest on laterite, rocky soil.",NA,NA,NA,NA,NA,"43.0 m","Plantae|Myrtales|Myrtaceae",NA,"ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/U.1616140/format/large","http://creativecommons.org/publicdomain/zero/1.0/"
"2270574601","Calyptranthes speciosa Sagot","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:17.400+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Pasco",NA,2009,3,14,"2009-03-14",73,73,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:17.400+00:00",FALSE,"5423927","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"289300","Rodolfo Vasquez; Luis Valenzuela & Antonio Pena",NA,"Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA",NA,"35578","5423927",NA,NA,NA,"Distrito Palcazú. Parque Nacional Yanachaqa-Chemillén. Estación Biológica Paujil","Plants","2270574601","c56a0801-0f9a-4884-9b59-63a4748ce904","ASU0077595","ASU",NA,"Calyptranthes speciosa Sagot",-10.325278,-75.264167,"WGS84","Arbolito 4 m, frutos negros","cf.",NA,380,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5423927","Bosque primario sobre suelo rocoso",NA,"c56a0801-0f9a-4884-9b59-63a4748ce904","47727","http://creativecommons.org/licenses/by-nc/3.0/","waltola64",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Oxapampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0077/ASU0077595_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"3762891439","Calyptranthes speciosa Sagot","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:23.117+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA",NA,NA,2009,8,4,"2009-08-04",216,216,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:23.117+00:00",FALSE,"29222027","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"CSP12180",NA,NA,"Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA",NA,NA,"29222027",NA,NA,NA,"Jenaro Herrera 1; JH1","Plants","3762891439","60e8ea8b-9378-4664-8b06-8b15fc8a2a4a","ASU0319923","ASU",NA,"Calyptranthes speciosa Sagot",-4.8991,-73.6468,"WGS84","Tree","aff.",NA,124,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29222027","Tropical Moist Forest, soil order: Ultisol","08/04/2009","60e8ea8b-9378-4664-8b06-8b15fc8a2a4a","47727","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,"MAP: 2700, MAT: 26.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP12/CSP12180.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2270564032","Calyptranthes speciosa Sagot","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.534+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Pasco",NA,2008,3,16,"2008-03-16",76,76,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.534+00:00",FALSE,"3224919","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"283272","Rodolfo Vasquez M.; Abel Monteagudo, Antonio Peña, J. L. Mateo, V. Flor","L. R. Landrum","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA",NA,"34010","3224919",NA,NA,NA,"Oxapampa. Dist. Palcazu. Parque Nacional Yanachaga-Chemillén, sector Paujil, quebrada Paujil.","Plants","2270564032","a512b674-f993-4481-a16d-8161632fda04","ASU0061796","ASU",NA,"Calyptranthes speciosa Sagot",-10.32361,-75.26389,"WGS84","Arbol 6 m; frutos atropurpureos. Comestible.",NA,"2011-01-01T00:00:00",395,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3224919","Bosque primario en borde de quebrada.",NA,"a512b674-f993-4481-a16d-8161632fda04","47727","http://creativecommons.org/licenses/by-nc/3.0/","Anne 2012_09_21",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0061/ASU0061796_lg.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1257674427","Calyptranthes speciosa Sagot","cdround,gass84,osiic,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862",NA,"c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:59:35.413+00:00",102,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Pasco",NA,2008,3,16,"2008-03-16",76,76,"2021-06-12T04:42:00.000+00:00","2024-08-02T19:59:35.413+00:00",FALSE,"urn:catalog:MO:Tropicos:100324876","none","none","27ae3c95-00f4-4442-aea7-af68a6cf2349",NA,TRUE,"Tropicos",NA,"Rodolfo Vásquez|Abel Monteagudo|A. Peña Cruz|J. Mateo M.|Valerio Flores","Les R. Landrum (ASU)","Magnoliopsida","PE","none","none","LATIN_AMERICA","Peru","NORTH_AMERICA","Missouri Botanical Garden","Vásquez Martínez 34010","urn:catalog:MO:Tropicos:100324876",NA,NA,NA,"Dist. Palcazu. Parque Nacional Yanachaga-Chemillen, Sector Paujil, Quebrada Paujil.","Tropicos","1257674427","urn:catalog:MO:Tropicos:100324876","100324876","MOL",NA,"Calyptranthes speciosa Sagot",-10.323611,-75.263889,"WGS84",NA,"cf.","2011-01-01T00:00:00",395,NA,NA,NA,NA,"22101838",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859","ICNafp","Oxapampa",NA,9,"No opinion","1040","PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/100324876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100358000/A8686AE8-61F9-4FA5-A501-3BCE7308F0C4.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1424291138","Calyptranthes speciosa Sagot","cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:40.665+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3181400,6,7707728,220,690,5014,3173889,10825908,10825908,"Myrcia neospeciosa A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neospeciosa","Calyptranthes","speciosa","SPECIES","SYNONYM","LC","SOUTH_AMERICA","Acre",NA,2008,7,16,"2008-07-16",198,198,"2017-11-19T14:58:45.000+00:00","2024-08-01T12:21:40.665+00:00",FALSE,"urn:catalog:JBRJ:RB:580602","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 492238","D.C. Daly; M. Silveira & E.C. Oliveira & D.A. Martins","M. Sobral","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","13360","urn:catalog:JBRJ:RB:580602","04.936.616/0001-20",NA,"Sena Madureira","Basin  of  Rio  Iaco  (Tributary  of  Rio  Purus),  Fazenda  São  Jorge  I,  propery  of  Acre  Brasil  Verde,  timber  concession  of  Laminados  Triunfo  Ltda.,  107  km  NW  of  Rio  Branco  on  BR-364,  then  ca.  22  km  E  on  Toco  preto  access  road.","RB","1424291138","urn:catalog:JBRJ:RB:580602","RB00580602","JBRJ",NA,"Calyptranthes speciosa Sagot",-9.3575,-68.594167,"WGS84","Understory treelet 4m, branching from 1m, fruits immature, depressed-globose, ca. 1,5 cm diam, dull green. Stipule-like structures (bracts for resting buds?) green, foliose. Rare",NA,"2015-06-24T00:00:00",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/58/6/2/00580602.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
