"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","isSequenced","identifier","facts","relations","isInCluster","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","identifier.1","informationWithheld","catalogNumber","dataGeneralizations","organismName","identificationVerificationStatus","gbifID","verbatimLocality","occurrenceID","higherClassification","taxonID","identificationID","name","projectId","programmeAcronym","gadm","institutionKey","collectionKey","preparations","recordNumber","institutionID","institutionCode","collectionCode","type","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceVerificationStatus","occurrenceRemarks","networkKeys","distanceFromCentroidInMeters","higherGeography","typeStatus","otherCatalogNumbers","dynamicProperties","fieldNumber","media_url","license"
"4035430510","Eugenia singampattiana Bedd.",8.63194,77.3058,"cdc","89fa407a-f4f3-4f9c-90a2-3d37388a90ab","b9ae0aa9-7f74-4f8c-b335-960d1f2f76bc","08eefeeb-e20f-4482-8e0f-f218547e2f50","12b1df00-3f75-11d8-aa2d-b8a03c50a862","IN","EML","2024-01-19T18:07:21.319+00:00","2024-01-26T11:21:46.302+00:00",63,"PRESERVED_SPECIMEN","PRESENT",5417186,6,7707728,220,690,5014,3177662,5417186,5417186,"Eugenia singampattiana Bedd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia singampattiana","Eugenia","singampattiana","SPECIES","ACCEPTED","EN","ASIA",2007,5,13,"2007-05-13",133,133,"2024-01-26T11:21:46.302+00:00",FALSE,"HIFP:HRB:14590","none","none",FALSE,"N, Ayyappan; B.R, Ramesh",NA,"WGS84","Magnoliopsida","IN","none","none","ASIA","India","ASIA","HIFP:HRB:14590",NA,"HIFP_014590",NA,NA,NA,"4035430510","Kannikatti Reserve Forest, Kalakad-Mundanthurai WLS","HIFP:HRB:14590",NA,NA,NA,"Eugenia singampattiana Bedd.","BIFA6_015","BIFA",NA,"62bde1c6-6b9e-4e8d-8456-ac7f21f594bc","fd3dabce-ce4f-4fd6-bfc6-9feff15773bb","Wet Herbaium preparation","HIFP BTWG446","https://www.gbif.org/grscicoll/institution/62bde1c6-6b9e-4e8d-8456-ac7f21f594bc","HIFP","HIFP","PhysicalObject",301,"GEOLocate","verified by contributor","Evergreen forest",NA,NA,NA,NA,NA,NA,NA,"http://www.ifpindia.org/hifp/images/HIFP_014590.JPG","http://creativecommons.org/licenses/by/4.0/"
"4035430570","Eugenia singampattiana Bedd.",10.3583,77.05,"cdc","89fa407a-f4f3-4f9c-90a2-3d37388a90ab","b9ae0aa9-7f74-4f8c-b335-960d1f2f76bc","08eefeeb-e20f-4482-8e0f-f218547e2f50","12b1df00-3f75-11d8-aa2d-b8a03c50a862","IN","EML","2024-01-19T18:07:21.319+00:00","2024-01-26T11:21:46.303+00:00",63,"PRESERVED_SPECIMEN","PRESENT",5417186,6,7707728,220,690,5014,3177662,5417186,5417186,"Eugenia singampattiana Bedd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia singampattiana","Eugenia","singampattiana","SPECIES","ACCEPTED","EN","ASIA",1993,12,13,"1993-12-13",347,347,"2024-01-26T11:21:46.303+00:00",FALSE,"HIFP:HRB:14586","none","none",FALSE,"B.R, Ramesh; De Franceschi, Dario",NA,"WGS84","Magnoliopsida","IN","none","none","ASIA","India","ASIA","HIFP:HRB:14586",NA,"HIFP_014586",NA,NA,NA,"4035430570","Akkamalai","HIFP:HRB:14586",NA,NA,NA,"Eugenia singampattiana Bedd.","BIFA6_015","BIFA",NA,"62bde1c6-6b9e-4e8d-8456-ac7f21f594bc","fd3dabce-ce4f-4fd6-bfc6-9feff15773bb","Wet Herbaium preparation","HIFP R&D1338","https://www.gbif.org/grscicoll/institution/62bde1c6-6b9e-4e8d-8456-ac7f21f594bc","HIFP","HIFP","PhysicalObject",301,"GEOLocate","verified by contributor",NA,NA,NA,NA,NA,NA,NA,NA,"http://www.ifpindia.org/hifp/images/HIFP_014586.JPG","http://creativecommons.org/licenses/by/4.0/"
"4035430571","Eugenia singampattiana Bedd.",8.625,77.308334,"cdc","89fa407a-f4f3-4f9c-90a2-3d37388a90ab","b9ae0aa9-7f74-4f8c-b335-960d1f2f76bc","08eefeeb-e20f-4482-8e0f-f218547e2f50","12b1df00-3f75-11d8-aa2d-b8a03c50a862","IN","EML","2024-01-19T18:07:21.319+00:00","2024-01-26T11:21:46.303+00:00",63,"PRESERVED_SPECIMEN","PRESENT",5417186,6,7707728,220,690,5014,3177662,5417186,5417186,"Eugenia singampattiana Bedd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia singampattiana","Eugenia","singampattiana","SPECIES","ACCEPTED","EN","ASIA",1989,1,21,"1989-01-21",21,21,"2024-01-26T11:21:46.303+00:00",FALSE,"HIFP:HRB:14585","none","none",FALSE,"N, Parthasarathy",NA,"WGS84","Magnoliopsida","IN","none","none","ASIA","India","ASIA","HIFP:HRB:14585",NA,"HIFP_014585",NA,NA,NA,"4035430571","Kannikatti","HIFP:HRB:14585",NA,NA,NA,"Eugenia singampattiana Bedd.","BIFA6_015","BIFA",NA,"62bde1c6-6b9e-4e8d-8456-ac7f21f594bc","fd3dabce-ce4f-4fd6-bfc6-9feff15773bb","Wet Herbaium preparation","HIFP NP","https://www.gbif.org/grscicoll/institution/62bde1c6-6b9e-4e8d-8456-ac7f21f594bc","HIFP","HIFP","PhysicalObject",301,"GEOLocate","verified by contributor","Plant not common Evergreen & Semi-evergreen forest.",NA,NA,NA,NA,NA,NA,NA,"http://www.ifpindia.org/hifp/images/HIFP_014585.JPG","http://creativecommons.org/licenses/by/4.0/"
"1057453586","Eugenia singampattiana Bedd.",22.883478,79.616202,"gass84,mdativ,muldativ,txmatfuz,colmafu,inmafu","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T06:57:04.427+00:00","2024-07-30T10:10:35.769+00:00",392,"PRESERVED_SPECIMEN","PRESENT",5417186,6,7707728,220,690,5014,3177662,5417186,5417186,"Eugenia singampattiana Bedd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia singampattiana","Eugenia","singampattiana","SPECIES","ACCEPTED","EN","ASIA",NA,NA,NA,NA,NA,NA,"2024-07-30T10:10:35.769+00:00",FALSE,"432466","none","none",FALSE,"Col. Richard Henry Beddome",NA,"WGS84","Magnoliopsida","IN","none","none","ASIA","India","EUROPE","432466",NA,"BM000944115",NA,NA,NA,"1057453586",NA,"8d05d3e2-2715-4aec-a7ac-7bb49c245683","Myrtaceae",NA,NA,"Eugenia singampattiana Bedd.",NA,NA,NA,"1d808a7c-1f9e-4379-9616-edb749ecf10e","8bb3763f-955c-4791-8777-44de1996b378",NA,"2958",NA,"NHMUK","BOT",NA,2600,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",397.160083525399,"Asia; India","SYNTYPE","NHMUK:ecatalogue:432466","{""associatedMediaCount"": 1, ""barcode"": null, ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": ""Sheet"", ""collectionName"": null, ""commodity"": null, ""created"": 1216656915000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Eugenia singampattriana Bedd."", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057453586"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": ""GPI Georeferencing"", ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""Gen Herb"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}","2958","https://data.nhm.ac.uk/media/d5acd650-d7a6-44b1-8d4d-9fa8df5309f9","http://creativecommons.org/licenses/by/4.0/"
"1055577689","Eugenia singampattiana Bedd.",22.883478,79.616202,"gass84,mdativ,muldativ,txmatfuz,colmafu,inmafu","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T06:57:04.427+00:00","2024-07-30T10:10:38.396+00:00",392,"PRESERVED_SPECIMEN","PRESENT",5417186,6,7707728,220,690,5014,3177662,5417186,5417186,"Eugenia singampattiana Bedd.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia singampattiana","Eugenia","singampattiana","SPECIES","ACCEPTED","EN","ASIA",NA,NA,NA,NA,NA,NA,"2024-07-30T10:10:38.396+00:00",FALSE,"432467","none","none",FALSE,"Col. Richard Henry Beddome",NA,"WGS84","Magnoliopsida","IN","none","none","ASIA","India","EUROPE","432467",NA,"BM000944116",NA,NA,NA,"1055577689",NA,"c7f3c4b8-a882-4329-a707-8f900e97114b","Myrtaceae",NA,NA,"Eugenia singampattiana Bedd.",NA,NA,NA,"1d808a7c-1f9e-4379-9616-edb749ecf10e","8bb3763f-955c-4791-8777-44de1996b378",NA,"2959",NA,"NHMUK","BOT",NA,2600,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",397.160083525399,"Asia; India","SYNTYPE","NHMUK:ecatalogue:432467","{""associatedMediaCount"": 1, ""barcode"": null, ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": ""Sheet"", ""collectionName"": null, ""commodity"": null, ""created"": 1216657280000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Eugenia singampattriana Bedd."", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055577689"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": ""GPI Georeferencing"", ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""Gen Herb"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}","2959","https://data.nhm.ac.uk/media/fa52c6b3-af51-461f-98ab-d88dc37058e9","http://creativecommons.org/licenses/by/4.0/"
