"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","fieldNotes","gadm","media_url","license"
"1423897189","Eugenia longohypanthiata Giaretta",-21.336944,-41.663611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:47.792+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9921992,6,7707728,220,690,5014,3173616,3173659,3173659,"Calycorectes pohlianus (O.Berg) Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycorectes","Calycorectes pohlianus","Eugenia","longohypanthiata","SPECIES","SYNONYM","EN","2020-10-01T00:00:00",113,"SOUTH_AMERICA","Rio de Janeiro",2015,3,22,"2015-03-22",81,81,"2020-11-17T22:43:34.000+00:00","2024-08-01T12:21:47.792+00:00",FALSE,"urn:catalog:JBRJ:RB:1040340","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 636677","I.G. Costa","K.S. Valdemarin","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","611","urn:catalog:JBRJ:RB:1040340","RB01040340","04.936.616/0001-20","JBRJ","Itaperuna","localidade de Córrego da Chica. em mata à margem da estrada.","1423897189","lâmina cartácea esverdeada.","RB","urn:catalog:JBRJ:RB:1040340","Eugenia longohypanthiata Giaretta",NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/4/3/40/01040340.jpg","http://creativecommons.org/licenses/by/4.0/"
"1423897241","Eugenia longohypanthiata Giaretta",-21.336944,-41.663611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:46.677+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9921992,6,7707728,220,690,5014,3173616,3173659,3173659,"Calycorectes pohlianus (O.Berg) Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycorectes","Calycorectes pohlianus","Eugenia","longohypanthiata","SPECIES","SYNONYM","EN","2020-11-01T00:00:00",113,"SOUTH_AMERICA","Rio de Janeiro",2015,6,9,"2015-06-09",160,160,"2021-02-26T15:21:19.000+00:00","2024-08-01T12:21:46.677+00:00",FALSE,"urn:catalog:JBRJ:RB:1040379","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 636715","I.G. Costa","K.S.Valdemarin","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","651","urn:catalog:JBRJ:RB:1040379","RB01040379","04.936.616/0001-20","JBRJ","Itaperuna","localidade de Córrego da Chica. em mata à margem da estrada.","1423897241","lâmina cartácea esverdeada.","RB","urn:catalog:JBRJ:RB:1040379","Eugenia longohypanthiata Giaretta",NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/4/3/79/01040379.jpg","http://creativecommons.org/licenses/by/4.0/"
"1440665551","Eugenia longohypanthiata Giaretta",-21.336667,-41.663611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:47.593+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9921992,6,7707728,220,690,5014,3173616,3173659,3173659,"Calycorectes pohlianus (O.Berg) Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycorectes","Calycorectes pohlianus","Eugenia","longohypanthiata","SPECIES","SYNONYM","EN","2020-11-01T00:00:00",NA,"SOUTH_AMERICA","Rio de Janeiro",2015,6,26,"2015-06-26",177,177,"2021-02-26T15:21:11.000+00:00","2024-08-01T12:21:47.593+00:00",FALSE,"urn:catalog:JBRJ:RB:1236222","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 682973","A. Giaretta; I.G. Costa","K.S.Valdemarin","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1500","urn:catalog:JBRJ:RB:1236222","RB01236222","04.936.616/0001-20","JBRJ","Itaperuna","Córrego da Chica","1440665551",NA,"RB","urn:catalog:JBRJ:RB:1236222","Eugenia longohypanthiata Giaretta","Floresta sobre Tabuleiro. Solo argiloso",NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/23/62/22/01236222.jpg","http://creativecommons.org/licenses/by/4.0/"
"1440665630","Eugenia longohypanthiata Giaretta",-21.336667,-41.663611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:50.800+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9921992,6,7707728,220,690,5014,3173616,3173659,3173659,"Calycorectes pohlianus (O.Berg) Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycorectes","Calycorectes pohlianus","Eugenia","longohypanthiata","SPECIES","SYNONYM","EN","2020-11-01T00:00:00",NA,"SOUTH_AMERICA","Rio de Janeiro",2015,6,26,"2015-06-26",177,177,"2021-02-26T15:21:13.000+00:00","2024-08-01T12:21:50.800+00:00",FALSE,"urn:catalog:JBRJ:RB:1236300","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 683004","A. Giaretta; I.G. Costa","K.S.Valdemarin","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1501","urn:catalog:JBRJ:RB:1236300","RB01236300","04.936.616/0001-20","JBRJ","Itaperuna",NA,"1440665630",NA,"RB","urn:catalog:JBRJ:RB:1236300","Eugenia longohypanthiata Giaretta","Floresta sobre Tabuleiro. Solo argiloso",NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/23/63/0/01236300.jpg","http://creativecommons.org/licenses/by/4.0/"
