"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","continent","stateProvince","georeferencedBy","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","georeferenceVerificationStatus","http...unknown.org.recordID","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","higherClassification","collectionID","georeferenceSources","name","networkKeys","individualCount","elevation","gadm","higherGeography","datasetName","institutionID","county","habitat","taxonID","verbatimTaxonRank","reproductiveCondition","dateIdentified","preparations","rightsHolder","nomenclaturalCode","verbatimEventDate","language","type","associatedOccurrences","verbatimElevation","elevationAccuracy","georeferencedDate","georeferenceProtocol","municipality","bibliographicCitation","fieldNumber","verbatimLocality","organismID","locationID","ownerInstitutionCode","accessRights","typeStatus","typifiedName","recordedByIDs.type","recordedByIDs.value","fieldNotes","iucnRedListCategory","nomenclaturalStatus","acceptedNameUsage","eventRemarks","eventID","footprintSRS","verbatimIdentification","media_url","license"
"2270685531","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",-25.450405,-49.069061,"cdc,cdround,gass84,txmatfuz,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:07.241+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185803,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","fuliginea","VARIETY","ACCEPTED",10000,"SOUTH_AMERICA","Parana","alorozco",2004,1,9,"2004-01-09",9,9,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:07.241+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=773778",FALSE,"773778","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"263158","O.S. Ribas; JM Silva, EF Costa","L.R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","5770","773778","reviewed - high confidence","abbfc3f8-029b-4e7e-b313-341f30d6d602","Medianeira (Mun. Piraquara).","Plants","2270685531","abbfc3f8-029b-4e7e-b313-341f30d6d602","ASU0060685","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arvoreta, 4m, flor alva. Orla da mata.","Xmirny","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales","a2e32c87-d320-4a01-bafd-a9182ae2e191","GoogleMaps","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0060/ASU0060685_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270677455","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",-25.1833,-49.1333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.062+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185803,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","fuliginea","VARIETY","ACCEPTED",NA,"SOUTH_AMERICA","Parana",NA,2000,1,7,"2000-01-07",7,7,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.062+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764187",FALSE,"764187","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"236716","J.M. Silva; O.S. Ribas","M.L. Kawasaki, 2000.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","3150","764187",NA,"c4abd552-5003-4efb-9617-7fe2d371c906","Serra da Bocaina","Plants","2270677455","c4abd552-5003-4efb-9617-7fe2d371c906","ASU0060683","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Coor from www.fallingrain.com/world; Arbusto, 1m, flor alva.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia alpigena","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",NA,NA,NA,NA,NA,NA,NA,"Bocaiuva do Sul","Matinha nebular.","33066","var.","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0060/ASU0060683_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270679077","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",-24.508393,-50.427933,"cdc,cdround,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.002+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185803,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","fuliginea","VARIETY","ACCEPTED",10000,"SOUTH_AMERICA","Parana","alorozco",1998,1,22,"1998-01-22",22,22,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.002+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764186",FALSE,"764186","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"223258","L.H. Soares e Silva; F. Chagas","L.H. Soares e Silva, 1998.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","736","764186","reviewed - high confidence","e494e082-0068-4db7-a767-aded4f9e336e","Canyon Guartela.","Plants","2270679077","e494e082-0068-4db7-a767-aded4f9e336e","ASU0033116","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbusto com 2.0m alto; botoes e flores acinzentadas petalas brancas. Flores em final de antese com porcao interna, sepalas e estigmas.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia alpigena","a2e32c87-d320-4a01-bafd-a9182ae2e191","GoogleMaps","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",NA,NA,NA,NA,NA,NA,NA,NA,"Beira de capao floresta. Solo arenoso. Tambem ocorre em campo rupestre dentro de Capao de floresta.","33066","var.","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033116_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270677201","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",-24.5,-50.4,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.774+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185803,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","fuliginea","VARIETY","ACCEPTED",NA,"SOUTH_AMERICA","Parana",NA,1994,4,11,"1994-04-11",101,101,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.774+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764185",FALSE,"764185","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"223257","L.H. Soares e Silva","L.H. Soares e Silva, 1999.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","353","764185",NA,"4e7f0caf-8608-4864-a8ba-dca9f6ad12eb","Canyon Guartela.","Plants","2270677201","4e7f0caf-8608-4864-a8ba-dca9f6ad12eb","ASU0033115","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Coor from www.fallingrain.com/world; Arbusto c. 2.0m alto; frutos maduros marrons.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia alpigena","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",NA,NA,NA,NA,NA,NA,NA,"Tibagi",NA,"33066","var.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033115_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1929839903","Myrceugenia alpigena var. rufa (O.Berg) Landrum",-24.52,-50.3,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:14.800+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185804,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","rufa","VARIETY","SYNONYM",NA,"SOUTH_AMERICA","Paraná",NA,1994,4,19,"1994-04-19",109,109,NA,"2024-07-21T05:14:14.800+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570977",FALSE,"92b060b7-78dc-4e5a-8d7b-6bf966134964","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",FALSE,NA,"S. M. Silva","A. Uhlmann","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","s.n.","92b060b7-78dc-4e5a-8d7b-6bf966134964",NA,NA,"Parque Estadual do Guarteiá","NY","1929839903","92b060b7-78dc-4e5a-8d7b-6bf966134964","615633","NY",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Myrceugenia alpigena var. rufa (O.Berg) Landrum",NA,NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556","Tibagi Mun.","Campo",NA,NA,NA,"1998-01-01T00:00:00","sheet","The New York Botanical Garden","ICN","19 Apr 1994","en","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/296/00615633.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270674433","Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",-24.5,-50.4,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.164+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185803,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","fuliginea","VARIETY","ACCEPTED",NA,"SOUTH_AMERICA","Parana",NA,1993,10,21,"1993-10-21",294,294,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.164+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764188",FALSE,"764188","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,"195893","G. Hatschbach","M. Sobral, 1994.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","59697","764188",NA,"cb39664e-0b1f-4b06-9b6c-b61a4e920569","Canyon Rio Iapo, Lajeado do Pedregulho.","Plants","2270674433","cb39664e-0b1f-4b06-9b6c-b61a4e920569","ASU0060710","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Coor from www.fallingrain.com/world; Arbusto 2m, ramoso.","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia|Myrceugenia alpigena","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum",NA,NA,NA,NA,NA,NA,NA,"Tibagi","Zona de campo, junto a uma pequena formacao de cerrado.","33066","var.",NA,NA,NA,NA,NA,NA,NA,NA,"herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=B868583B-BBE7-4475-AFB6-4AA50AC9FDB0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0060/ASU0060710_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1929038509","Myrceugenia alpigena var. rufa (O.Berg) Landrum",-19.25,-43.67,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:56.931+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185804,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","rufa","VARIETY","SYNONYM",NA,"SOUTH_AMERICA","Minas Gerais",NA,1982,1,31,"1982-01-31",31,31,NA,"2024-07-21T05:13:56.931+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570976",FALSE,"59dade74-43a1-4e57-bfa2-f71a472e1e2b","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,NA,"L. R. Landrum","L. R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","4233","59dade74-43a1-4e57-bfa2-f71a472e1e2b",NA,NA,"Serra do Cipó, between Veu da Noiva and Alto do Palacio","NY","1929038509","59dade74-43a1-4e57-bfa2-f71a472e1e2b","615645","NY",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Myrceugenia alpigena var. rufa (O.Berg) Landrum",NA,NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Mainly low shrubby vegetation in very poor sandy or rocky soil",NA,NA,NA,"1982-01-01T00:00:00","sheet","The New York Botanical Garden","ICN","31 Jan 1982","en","PhysicalObject",NA,"3281-4593 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/308/00615645.jpg","http://creativecommons.org/licenses/by/4.0/"
"1930274992","Myrceugenia alpigena var. rufa (O.Berg) Landrum",-25.118389,-48.888796,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:26.805+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185804,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","rufa","VARIETY","SYNONYM",NA,"SOUTH_AMERICA","Paraná",NA,1978,12,5,"1978-12-05",339,339,NA,"2024-07-21T05:14:26.805+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570973",FALSE,"b169ecad-244c-4223-8b07-c4a4537faa5e","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,NA,"G. G. Hatschbach","L. R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","41990","b169ecad-244c-4223-8b07-c4a4537faa5e",NA,NA,"Bocaiuva do Sul, arredores","NY","1930274992","b169ecad-244c-4223-8b07-c4a4537faa5e","615635","NY",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Google Maps (map data 2016), Manis Georef. Calculator","Myrceugenia alpigena var. rufa (O.Berg) Landrum",NA,NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556","Bocaiúva do Sul Mun.","Em pequeno capao na borda de campo",NA,NA,NA,"1980-01-01T00:00:00","sheet","The New York Botanical Garden","ICN","05 Dec 1978","en","PhysicalObject",NA,NA,NA,"2016-09-21","Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/298/00615635.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928255807","Myrceugenia alpigena var. rufa (O.Berg) Landrum",-26.25,-49.62,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:34.308+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185804,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","rufa","VARIETY","SYNONYM",NA,"SOUTH_AMERICA","Santa Catarina",NA,1977,11,24,"1977-11-24",328,328,NA,"2024-07-21T05:13:34.308+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570974",FALSE,"2269f6af-21b5-40b4-9744-6cb287d0088c","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,NA,"L. R. Landrum","L. R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","2723","2269f6af-21b5-40b4-9744-6cb287d0088c",NA,NA,"Ca. 10 km west of Rio Negrinho, at bridge crossing Rio Preto","NY","1928255807","2269f6af-21b5-40b4-9744-6cb287d0088c","615639","NY",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Myrceugenia alpigena var. rufa (O.Berg) Landrum",NA,NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556","Mafra Mun.",NA,NA,NA,NA,"1980-01-01T00:00:00","sheet","The New York Botanical Garden","ICN","24 Nov 1977","en","PhysicalObject",NA,"ca 2953 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/302/00615639.jpg","http://creativecommons.org/licenses/by/4.0/"
"1931369399","Myrceugenia alpigena var. rufa (O.Berg) Landrum",-25.5385842,-49.2069932,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:16:30.880+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185804,6,7707728,220,690,5014,3185514,3185795,3185803,"Myrceugenia alpigena var. fuliginea (O.Berg) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia alpigena","Myrceugenia","alpigena","rufa","VARIETY","SYNONYM",NA,"SOUTH_AMERICA","Paraná",NA,1972,12,28,"1972-12-28",363,363,NA,"2024-07-21T05:16:30.880+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570982",FALSE,"fee9723b-92db-4557-bce0-efbe13744a20","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,NA,"G. G. Hatschbach","L. R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","31065","fee9723b-92db-4557-bce0-efbe13744a20",NA,NA,"Rod. BR 277, Rio Itagui","NY","1931369399","fee9723b-92db-4557-bce0-efbe13744a20","615641","NY",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","CRIA (Centro de Referência em Informação Ambiental)","Myrceugenia alpigena var. rufa (O.Berg) Landrum",NA,NA,NA,NA,NA,"Vascular plants","http://biocol.org/urn:lsid:biocol.org:col:15556","São José dos Pinhais Mun.","Orla matinha",NA,NA,NA,"1980-01-01T00:00:00","sheet","The New York Botanical Garden","ICN","28 Dec 1972","en","PhysicalObject",NA,NA,NA,NA,"Other source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/304/00615641.jpg","http://creativecommons.org/licenses/by/4.0/"
