"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","informationWithheld","occurrenceRemarks","identificationRemarks","identifiedByIDs.type","identifiedByIDs.value","recordedByIDs.type","recordedByIDs.value","networkKeys","elevation","elevationAccuracy","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","nomenclaturalCode","locality","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","verbatimElevation","collectionID","otherCatalogNumbers","http...unknown.org.recordID","associatedTaxa","rights","http...unknown.org.recordEnteredBy","higherClassification","reproductiveCondition","georeferenceProtocol","georeferenceRemarks","organismID","locationID","accessRights","georeferenceSources","individualCount","gadm","georeferencedBy","georeferenceVerificationStatus","preparations","georeferencedDate","language","locationRemarks","typeStatus","typifiedName","nomenclaturalStatus","bibliographicCitation","dynamicProperties","fieldNumber","infraspecificEpithet","disposition","eventID","footprintSRS","verbatimIdentification","municipality","media_url"
"1571263585","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-36.653611,-71.350556,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:11.669+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Ñuble",2017,2,17,"2017-02-17",48,48,NA,"2024-07-30T17:32:11.669+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00840450","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00840450",NA,"17th February 2017",NA,"E","1571263585","https://data.rbge.org.uk/herb/E00840450",NA,"E00840450","RBGE",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",593,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","121","Riaprian forest dominated by Forest dominated by Nothofagus obliqua with Gevuina avellana, Myrceugenia lanceolata, Luma apiculata, Quillaja saponaria and Drimys winteri","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VIII [Biobío]:Provincia de Ñuble:San Fabián de Alico:Marigin of the Ríio Ñuble","Provincia de Ñuble","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","834701","593m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00840450/manifest"
"575130777","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-36.653333,-71.368056,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:04.304+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Ñuble",2011,2,24,"2011-02-24",55,55,NA,"2024-07-30T17:32:04.304+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00420409","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00420409",NA,"24th February 2011",NA,"E","575130777","https://data.rbge.org.uk/herb/E00420409",NA,"E00420409","RBGE",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",653,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","66","Waterside margins","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VIII [Biobío]:Provincia de Ñuble:San Fabián:After San Fabián de Alico at El Caracol","Punilla","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","438476","653m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00420409/full/300,/0/default.jpg"
"574677730","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-36.725278,-72.261944,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.915+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Ñuble",2004,1,18,"2004-01-18",18,18,NA,"2024-07-30T17:31:58.915+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00182265","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00182265",NA,"18th January 2004",NA,"E","574677730","https://data.rbge.org.uk/herb/E00182265",NA,"E00182265","RBGE",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",63,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","805","Margin of small river","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VIII [Biobío]:Provincia de Ñuble:Chillán Viejo:Close to Ruta 5 near Bulnes. Road to Larqui Oriente at Río Larqui bridge.","Provincia de Ñuble","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","180223","63m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00182265/full/300,/0/default.jpg"
"2270676836","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-36.6293,-71.4358,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.267+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Biobio",2001,11,4,"2001-11-04",308,308,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.267+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764215","http://creativecommons.org/licenses/by/4.0/",FALSE,"764215","none","none",TRUE,NA,"L. R. Landrum; S.S. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"764215",NA,NA,NA,"Plants","2270676836","9797e373-9e4a-4dd0-a206-c1557a67a959","48017","ASU0043317","ASU",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,"Shrub along stream in sandy soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","10078","Stream bed, sandy.",NA,NA,"Road from San Fabian to La Punilla, 5km above Puente Lara.","Nuble",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","238304","9797e373-9e4a-4dd0-a206-c1557a67a959","ecologicallyOccursWith: Quillaja|ecologicallyOccursWith: Cryptocarya|ecologicallyOccursWith: Luma","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043317_lg.jpg"
"2270675819","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-36.515,-71.6143,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.123+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Biobio",2001,11,3,"2001-11-03",307,307,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.123+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764218","http://creativecommons.org/licenses/by/4.0/",FALSE,"764218","none","none",FALSE,NA,"L. R. Landrum; S.S. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"764218",NA,NA,NA,"Plants","2270675819","59ff809e-434e-4a14-b572-499d91330ac6","48017","ASU0043320","ASU",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,"Shrub.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","10074","Rocky stream bed.",NA,NA,"Road from San Carlos to San Fabian to Alico at Puente Estero.","Nuble",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","238319","59ff809e-434e-4a14-b572-499d91330ac6","ecologicallyOccursWith: Peumus|ecologicallyOccursWith: Lithrea|ecologicallyOccursWith: Retanilla","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043320_lg.jpg"
"575327641","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-35.565278,-71.242222,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.478+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",1998,2,4,"1998-02-04",35,35,NA,"2024-07-30T17:31:57.478+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00096218","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096218",NA,"4th February 1998",NA,"E","575327641","https://data.rbge.org.uk/herb/E00096218",NA,"E00096218","RBGE",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",390,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","11","Amongst large boulders along side fast flowing river.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VII [Maule]:Prov. de Talca:15 km on road towards Vilches, south bank of the Río Lircay.",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67236","390m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096218/manifest"
"574801805","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-38.249167,-72.51,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.567+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Araucanía",1998,3,9,"1998-03-09",68,68,NA,"2024-07-30T17:31:57.567+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00096082","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096082",NA,"9th March 1998",NA,"E","574801805","https://data.rbge.org.uk/herb/E00096082",NA,"E00096082","RBGE",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",100,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","455","Well vegetated riverside bank with Austrocedrus chilensis","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región IX [Araucania]:Prov. de Malleco:Traiguén:Cerro Adencul; north bank of Río Traiguén","Malleco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67596","100m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096082/full/300,/0/default.jpg"
"2270676925","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-35.8333,-71.1667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.118+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",1993,1,21,"1993-01-21",21,21,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.118+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764217","http://creativecommons.org/licenses/by/4.0/",FALSE,"764217","none","none",FALSE,NA,"C. M. Taylor; R. E. Gereau",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"764217",NA,NA,NA,"Plants","2270676925","ab48320a-97ce-4f25-af41-ed0c1334c6a6","48017","ASU0043316","ASU",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,"Frequent shrubs to 1m tall on river bank. Buds green.",NA,NA,NA,NA,NA,NA,825,75,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","10976","Nothofagus, Lithraea.",NA,NA,"East and a little south of Linares along the Rio Ancoa, along the road to Melado and Medina 38.2km upstream from the intersection with open woodlands.","Linares",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","192580","ab48320a-97ce-4f25-af41-ed0c1334c6a6",NA,"http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043316_lg.jpg"
"575157559","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-35.833333,-72.483333,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:55.703+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",1993,2,13,"1993-02-13",44,44,NA,"2024-07-30T17:31:55.703+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00005931","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00005931",NA,"13th February 1993",NA,"E","575157559","https://data.rbge.org.uk/herb/E00005931",NA,"E00005931","RBGE",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",240,0,"Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","5517","Gravel bed above river surrounded by lush temperate rainforest.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VII [Maule]:Prov. de Talca:Cauquenes; road from Chanco to Cauquenes.",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67235","240m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00005931/full/300,/0/default.jpg"
"2270677073","Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",-36.79892,-73.16261,"cdc,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.023+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185515,6,7707728,220,690,5014,3185514,3185515,3185515,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia lanceolata","Myrceugenia","lanceolata","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Biobio",1988,1,24,"1988-01-24",24,24,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.023+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764219","http://creativecommons.org/licenses/by/4.0/",FALSE,"764219","none","none",FALSE,NA,"L. R. Landrum; S.S. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"764219",NA,NA,NA,"Plants","2270677073","5ff69689-1d99-4b81-a59b-7898936f02e4","48017","ASU0043318","ASU",NA,NA,NA,"Myrceugenia lanceolata (Juss. ex J.St.-Hil.) Kausel",NA,"No glands/ anther. Coor from www.fallingrain.com/world; Shrub, ca. 15.m high at edge of river, ca. 0.3km E of road along coast.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","5921","Sclerophyllous forest. Myrtaceous  thickets in wet areas and open grassy areas.",NA,NA,"N side of desembocadura of Rio Biobio, ca. 15km W of Concepcion.","Concepcion",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","153494","5ff69689-1d99-4b81-a59b-7898936f02e4","ecologicallyOccursWith: Peumus|ecologicallyOccursWith: Lithraea","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043318blg.jpg"
