"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","gadm","fieldNotes","elevation","habitat","georeferenceProtocol","eventRemarks","higherClassification","identificationQualifier","typeStatus","nomenclaturalCode","verbatimElevation","preparations","verbatimLocality","verbatimEventDate","media_url","license"
"3704830333","Myrcia neodimorpha E.Lucas & C.E.Wilson",-21.7175,-41.266111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:57.121+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8793713,6,7707728,220,690,5014,3173889,8793713,8793713,"Myrcia neodimorpha E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neodimorpha","Myrcia","neodimorpha","SPECIES","ACCEPTED","VU","2021-09-01T00:00:00","SOUTH_AMERICA","Rio de Janeiro",2021,9,12,"2021-09-12",255,255,"2022-02-07T21:45:36.000+00:00","2024-08-01T12:21:57.121+00:00",FALSE,"urn:catalog:JBRJ:RB:1452986","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 824181","T. Fernandes","T. Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","714","urn:catalog:JBRJ:RB:1452986","RB01452986","04.936.616/0001-20","JBRJ","Campos dos Goytacazes","Parque Natural Municipal do Taquaruçu (Mata do Bom Jesus). Floresta Estacional Semidecidual. Parque Natural Municipal do Taquaruçu","3704830333","Arvoreta, 5 m, ramificada apenas no ápice. Caule rugoso, não descamante. Ramos jovens lisos, lustrosos, descamantes. Ramos com domácias habitadas por Pseudomyrmecinae. Folhas jovens com forte coloração vermelha, as maduras cartáceas, discolores. Inflorescência com raque verde descamante, coberta com indumento esbranquiçado, pruinoso (flores idem). Flores visitadas por opiliões.","RB","urn:catalog:JBRJ:RB:1452986","Myrcia neodimorpha E.Lucas & C.E.Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/29/86/01452986.jpg","http://creativecommons.org/licenses/by/4.0/"
"2312219278","Myrcia neodimorpha E.Lucas & C.E.Wilson",-19.2475,-39.963333,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:51.636+00:00",520,"PRESERVED_SPECIMEN","PRESENT",8793713,6,7707728,220,690,5014,3173889,8793713,8793713,"Myrcia neodimorpha E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neodimorpha","Myrcia","neodimorpha","SPECIES","ACCEPTED","VU","2019-10-01T00:00:00","SOUTH_AMERICA","Espírito Santo",2019,7,22,"2019-07-22",203,203,"2019-11-05T16:53:16.000+00:00","2024-08-01T12:21:51.636+00:00",FALSE,"urn:catalog:JBRJ:RB:1415069","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 790680","J.Külkamp; C.N.Fraga; P.M.L.A.Santos","T.Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1040","urn:catalog:JBRJ:RB:1415069","RB01415069","04.936.616/0001-20","JBRJ","Linhares","Vale do Suruaca, estrada que leva as dunas quaternárias. Borda da estrada da praia do Pontal do Ipiranga para Linhares pela restinga.","2312219278",NA,"RB","urn:catalog:JBRJ:RB:1415069","Myrcia neodimorpha E.Lucas & C.E.Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/41/50/69/01415069.jpg","http://creativecommons.org/licenses/by/4.0/"
"912285940","Marlierea dimorpha O.Berg",-21.166667,-55.416667,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:34.596+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3186240,6,7707728,220,690,5014,3173889,8793713,8793713,"Myrcia neodimorpha E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neodimorpha","Marlierea","dimorpha","SPECIES","SYNONYM","VU",NA,"SOUTH_AMERICA",NA,2002,10,17,"2002-10-17T00:00",290,290,NA,"2024-08-02T01:14:34.596+00:00",FALSE,"K000330516","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,FALSE,NA,NA,"Matsumoto, K.; Santos-Goncalbes, A.P.","Matsumoto, K.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"828","K000330516","K000330516",NA,"K",NA,"Praia de maroba.","912285940",NA,"Herbarium","http://specimens.kew.org/herbarium/K000330516","Marlierea dimorpha O.Berg",NA,NA,10,"Restinga","label","Treelet 2m.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/b424ed145840c94392d7a9f06cd772a7.jpg","http://creativecommons.org/licenses/by/4.0/"
"912287390","Marlierea dimorpha O.Berg",-23.066667,-44.966667,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:34.664+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3186240,6,7707728,220,690,5014,3173889,8793713,8793713,"Myrcia neodimorpha E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neodimorpha","Marlierea","dimorpha","SPECIES","SYNONYM","VU",NA,"SOUTH_AMERICA",NA,1980,7,11,"1980-07-11T00:00",193,193,NA,"2024-08-02T01:14:34.664+00:00",FALSE,"K000332040","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,FALSE,NA,NA,"Martins, F.R.","Lucas, E.; Murray-Smith, C.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"12379","K000332040","K000332040",NA,"K",NA,"Cunha - Reserva Est. de Cunha.","912287390",NA,"Herbarium","http://specimens.kew.org/herbarium/K000332040","Marlierea dimorpha O.Berg",NA,NA,NA,"Interior da mata.","Gazetteer","Tree 12m., white flowers.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/de76a4325257b5257e299818219477fc.jpg","http://creativecommons.org/licenses/by/4.0/"
