"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","networkKeys","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","nomenclaturalCode","locality","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","collectionID","identificationRemarks","informationWithheld","gadm","elevation","elevationAccuracy","verbatimElevation","otherCatalogNumbers","http...unknown.org.recordID","associatedTaxa","rights","http...unknown.org.recordEnteredBy","higherClassification","reproductiveCondition","preparations","locationRemarks","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","associatedOccurrences","individualCount","municipality","fieldNotes","georeferenceRemarks","georeferenceProtocol","organismID","locationID","accessRights","typeStatus","typifiedName","materialSampleID","verbatimIdentification","eventID","disposition","fieldNumber","footprintSRS","bibliographicCitation","vernacularName","verbatimTaxonRank","media_url","license"
"4420558912","Myrceugenia planipes (Hook. & Arn.) O.Berg",-42.491,-72.320627,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:15.479+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,2,18,"2022-02-18",49,49,NA,"2024-07-30T17:32:15.479+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01080659","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01080659",NA,"18th February 2022",NA,"E","4420558912","https://data.rbge.org.uk/herb/E01080659",NA,"E01080659","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","383","Bosque ribereño sobre suelos arenosos; colindante con ribera del río por el norte y con praderas de uso ganadero por el sur.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","CHILE. Región de Los Lagos. Provincia de Palena. Comuna de Hualaihué. Vodudahue.","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1238134","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01080659/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
"890182014","Myrceugenia planipes (Hook. & Arn.) O.Berg",-39.858056,-71.956111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:06.947+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",2013,1,20,"2013-01-20",20,20,NA,"2024-07-30T17:32:06.947+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00647236","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00647236",NA,"20th January 2013",NA,"E","890182014","https://data.rbge.org.uk/herb/E00647236",NA,"E00647236","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","250","Regenerating Valdivian rainforest still with most old-growth tree species present. Dominant species including Aextoxicon punctatum, Nothofagus dombeyi and Eucryphia cordifolia.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Provincia de Valdivia:Reserva Biológica Huilo Huilo.  Sendero Truful.","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","633148","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,407,0,"407m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00647236/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
"575329411","Myrceugenia planipes (Hook. & Arn.) O.Berg",-39.743611,-73.376389,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:04.049+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",2011,9,14,"2011-09-14",257,257,NA,"2024-07-30T17:32:04.049+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00420862","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00420862",NA,"14th September 2011",NA,"E","575329411","https://data.rbge.org.uk/herb/E00420862",NA,"E00420862","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","8647","Coastal, secondary temperate rainforest with Drimys winteri, Myrcuegenia planipes, M. parvifolia, M. obtusa, Ugni molinae, Eucryphia cordifolia, Dasyphyllum diacanthoides, Saxegothaea conspicua and Podocarpus nubigenu..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Prov. de Valdivia:Valdivia:Road from Oncol to Curiñanco","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","490168","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,100,0,"100m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00420862/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
"2270554602","Myrceugenia planipes (Hook. & Arn.) O.Berg",-41.0168,-72.607,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:15.652+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,50,"SOUTH_AMERICA","Los Lagos",2011,11,4,"2011-11-04",308,308,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:15.652+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2468374",FALSE,"2468374","none","none",FALSE,NA,"L. R. Landrum; S. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"2468374",NA,NA,NA,"Plants","2270554602","92679286-564e-41ec-9bf5-a05e9ddc5cdc","33745","ASU0059812","ASU",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Small tree; fruits turning purple.",NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","11604","Remnant forest with much Myrtaceae.",NA,NA,"Road to La Picada, ca. 6 km from principal road around Lago Llanquihue.",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,"284300","92679286-564e-41ec-9bf5-a05e9ddc5cdc","ecologicallyOccursWith: Amomyrtus luma|ecologicallyOccursWith: Luma apiculata|ecologicallyOccursWith: Myrceugenia planipes|ecologicallyOccursWith: Nothofagus dombeyi","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/201111/Myrceugenia_planipes-11604.jpg","http://creativecommons.org/licenses/by-sa/4.0/"
"575209693","Myrceugenia planipes (Hook. & Arn.) O.Berg",-42.453333,-73.84,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:02.090+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2006,2,NA,"2006-02",NA,NA,NA,"2024-07-30T17:32:02.090+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00322197","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00322197",NA,"February 2006",NA,"E","575209693","https://data.rbge.org.uk/herb/E00322197",NA,"E00322197","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","305","Regenerating Valdivian Rainforest","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Provincia de Chiloé:Castro:Route to Refugio Abtao above the Río Gamboa","Chiloé","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","315040","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,161,0,"161m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00322197/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
"2270681238","Myrceugenia planipes (Hook. & Arn.) O.Berg",-36.8036,-73.1751,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:07.018+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Biobio",2006,3,18,"2006-03-18",77,77,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:07.018+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=769448",FALSE,"769448","none","none",FALSE,NA,"L. R. Landrum","L. R. Landrum","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"769448",NA,NA,NA,"Plants","2270681238","7c1084ec-ba27-451c-a441-33e3e0ea741f","33745","ASU0043431","ASU",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Understory shrub.",NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","11107","Forest of evergreen species pruned by ocean winds.",NA,NA,"Desembocadura of Rio Bio Bio.  Hills and ravines above river and ocean.",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,30,0,NA,"259724","7c1084ec-ba27-451c-a441-33e3e0ea741f","ecologicallyOccursWith: Peumus boldus|ecologicallyOccursWith: Myrceugenia obtusa|ecologicallyOccursWith: Aextoxicon|ecologicallyOccursWith: Lapageria|ecologicallyOccursWith: Senna","http://creativecommons.org/licenses/by-nc/3.0/","Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia","old flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0043/ASU0043431_lg.jpg","http://creativecommons.org/licenses/by-sa/4.0/"
"575212245","Myrceugenia planipes (Hook. & Arn.) O.Berg",-41.089167,-73.056111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.943+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2004,1,9,"2004-01-09",9,9,NA,"2024-07-30T17:31:58.943+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00182670","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00182670",NA,"9th January 2004",NA,"E","575212245","https://data.rbge.org.uk/herb/E00182670",NA,"E00182670","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","700","Ñadi - poorly drained soils.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Provincia de Llanquihue:Frutillar:Fundo Paso La Botella near to Sector La Radio. Close to Río El Burro.","Llanquihue","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","180141","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,144,0,"144m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00182670/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
"575029031","Myrceugenia planipes (Hook. & Arn.) O.Berg",-41.089167,-73.056111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:59.213+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2004,1,9,"2004-01-09",9,9,NA,"2024-07-30T17:31:59.213+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00198908","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00198908",NA,"9th January 2004",NA,"E","575029031","https://data.rbge.org.uk/herb/E00198908",NA,"E00198908","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","702","Ñadi - poorly drained soils.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Provincia de Llanquihue:Frutillar:Fundo Paso La Botella near to Sector La Radio. Close to Río El Burro.","Llanquihue","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","190075","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,144,0,"144m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00198908/full/300,/0/default.jpg","http://creativecommons.org/licenses/by-sa/4.0/"
"575294297","Myrceugenia planipes (Hook. & Arn.) O.Berg",-34.753889,-70.696667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:59.540+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Libertador General Bernardo O'Higgins",2004,11,17,"2004-11-17",322,322,NA,"2024-07-30T17:31:59.540+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00212468","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00212468",NA,"17th November 2004",NA,"E","575294297","https://data.rbge.org.uk/herb/E00212468",NA,"E00212468","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","1418","North-facing rocky slopes on margin of stream growing with Cryptocarya alb., Drimys winter., Luma cheque., Azara petiolari., Lithrea caustic., Aristotelia chilensi., Cissus striatu., Quillaja saponari., Escallonia myrtoide., Proustia pyrifoli., and Maytenus boari..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VI [Libertador Gral. Bdo. O'Higgins]:Provincia de Colchagua:San Fernando:Sector La Rufina. Pasando Unión between Río Clarillo and Río Tinguiririca. Quebrada el Avellano","Colchagua","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","195180","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,963,0,"963m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00212468/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
"575034589","Myrceugenia planipes (Hook. & Arn.) O.Berg",-39.6,-72.1,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.746+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185825,6,7707728,220,690,5014,3185514,3185825,3185825,"Myrceugenia planipes (Hook. & Arn.) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia planipes","Myrceugenia","planipes","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",2002,9,17,"2002-09-17",260,260,NA,"2024-07-30T17:31:58.746+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00166148","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00166148",NA,"17th September 2002",NA,"E","575034589","https://data.rbge.org.uk/herb/E00166148",NA,"E00166148","RBGE",NA,NA,NA,"Myrceugenia planipes (Hook. & Arn.) O.Berg",NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","6438","Valdivian rainforest dominated by Saxegothaea conspicua and Nothofagus dombeyi","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Prov. de Valdivia:Panguipulli:San Pablo de Tregua UACH Research station","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","158778","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,650,0,"650m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00166148/manifest","http://creativecommons.org/licenses/by-sa/4.0/"
