"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","institutionKey","preparations","recordNumber","informationWithheld","institutionID","nomenclaturalCode","county","disposition","ownerInstitutionCode","reproductiveCondition","identificationRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","networkKeys","elevation","gadm.level0.gid","gadm.level0.name","distanceFromCentroidInMeters","collectionKey","fieldNumber","gadm","locationRemarks","previousIdentifications","otherCatalogNumbers","habitat","http...unknown.org.recordID","locality","language","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","individualCount","higherGeography","islandGroup","island","georeferencedDate","type","verbatimElevation","georeferenceSources","dynamicProperties","elevationAccuracy","identificationQualifier","lifeStage","associatedTaxa","eventRemarks","associatedOccurrences","georeferencedBy","georeferenceVerificationStatus","projectId","datasetID","samplingProtocol","acceptedNameUsage","georeferenceRemarks","materialSampleID","parentNameUsageID","acceptedNameUsageID","bibliographicCitation","accessRights","parentNameUsage","organismID","georeferenceProtocol","verbatimIdentification","eventID","footprintSRS","typeStatus","typifiedName","media_url","license"
"4167718304","Eugenia confusa DC.",25.549,-80.386,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:03.926+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Florida",2023,1,14,"2023-01-14",14,14,NA,"2024-08-05T04:07:03.926+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:284657",FALSE,"82159f91-7b8a-401d-8c97-a5ba22e73378","none","none",FALSE,NA,"Michael Ross;Alan R. Franck",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","82159f91-7b8a-401d-8c97-a5ba22e73378",NA,NA,"Princeton, along SW 120th Avenue, south of SW 232nd Street.",NA,"4167718304","82159f91-7b8a-401d-8c97-a5ba22e73378",NA,"284657","FLAS",NA,NA,NA,"Eugenia confusa DC.",NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","5899","location information not given for endangered species","University of Florida Herbarium","ICN","Miami-Dade County","FLASCAT","FLAS","Fruit (mature)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/165f81ca-6d11-463e-bda4-d66ed2447c40","http://creativecommons.org/licenses/by/4.0/"
"3923972331","Eugenia confusa DC.",18.11303,-63.03588,"cdc,gass84","b5cdf794-8fa4-4a85-8b26-755d087bf531","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","2cd829bb-b713-433d-99cf-64bef11e5b3e","FR","EML","2024-07-31T14:46:57.413+00:00","2024-07-31T15:50:16.571+00:00",549,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA",NA,2021,11,8,"2021-11-08",312,312,"2022-10-13T15:15:39.000+00:00","2024-07-31T15:50:16.571+00:00",NA,FALSE,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00861054","none","none",FALSE,NA,"Servientis, N.|Ferlay, B.|Lecompte, C.|Andreis, D.|Girod, C.",NA,"WGS84","Magnoliopsida","MF","none","none","LATIN_AMERICA","Saint Martin (French part)","EUROPE",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00861054",NA,NA,"Anse Marcel","P","3923972331","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00861054",NA,"P00861054","MNHN",NA,NA,NA,"Eugenia confusa DC.",NA,"6a6ac6c5-1b8a-48db-91a2-f8661274ff80","hb",NA,NA,"http://grbio.org/institution/museum-national-dhistoire-naturelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",-21,"MAF","Saint-Martin",2174.8673307384,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2","1449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://mediaphoto.mnhn.fr/media/1665666942825EQTxVkeIYsT1JhAR","http://creativecommons.org/licenses/by/4.0/"
"4404208305","Eugenia confusa DC.",25.675,-80.268333,"cdc,cdround,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:03.563+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Florida",2008,1,3,"2008-01-03",3,3,NA,"2024-08-05T04:07:03.563+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:282020",FALSE,"883fe6c0-f34e-454f-91a8-aa6bb25e9095","none","none",TRUE,NA,"J. Richard Abbott",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","883fe6c0-f34e-454f-91a8-aa6bb25e9095",NA,NA,"Miami, Coral Gables, Fairchild Tropical Botanic Garden, 10901 Old Cutler Road. In plot 199.",NA,"4404208305","883fe6c0-f34e-454f-91a8-aa6bb25e9095",NA,"282020","FLAS",NA,NA,NA,"Eugenia confusa DC.","Not tagged, but FTG accession #s 97327 A & B planted in plot.","2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","24085","location information not given for endangered species","University of Florida Herbarium","ICN","Dade","FLASCAT","FLAS","Fertile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/22033db8-9872-4883-a001-0b8c4728d604","http://creativecommons.org/licenses/by/4.0/"
"1457792116","Eugenia confusa DC.",25.67707,-80.27242,"cdc,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:04.144+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Florida",2008,7,15,"2008-07-15",197,197,NA,"2024-08-05T04:07:04.144+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:235532",FALSE,"8dd0a9b7-aed5-43df-bc3f-627c652554ba","none","none",FALSE,NA,"Lucas C. Majure",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","8dd0a9b7-aed5-43df-bc3f-627c652554ba",NA,"15 Jul 2008","Miami, Coral Gables: Fairchild Tropical Botanic Garden, 10901 Old Cutler Road.,",NA,"1457792116","8dd0a9b7-aed5-43df-bc3f-627c652554ba",NA,"235532","FLAS",NA,NA,NA,"Eugenia confusa DC.",NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","3337","location information not given for endangered species","University of Florida Herbarium","ICN","Miami-Dade County","FLASCAT","FLAS","Fruit (mature)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coral Gables: Fairchild Tropical Botanic Garden","[Orig. id.:] Eugenia confusa DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/14709c98-4b9b-4774-85f7-561a173092b8","http://creativecommons.org/licenses/by/4.0/"
"2270653548","Eugenia confusa DC.",24.46715,-77.730917,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:18.420+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,800,"NORTH_AMERICA","Central Andros",2002,5,23,"2002-05-23",143,143,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:18.420+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7383837",FALSE,"7383837","none","none",FALSE,NA,"Michael A. Vincent; R. James Hickey & Jessica Woo",NA,"WGS84","Magnoliopsida","BS","none","none","LATIN_AMERICA","Bahamas","NORTH_AMERICA",NA,"7383837",NA,NA,NA,"Plants","2270653548","d1343ee8-fd22-46f9-a1c9-972742978b79","47796","ASU0087837","ASU",NA,NA,NA,"Eugenia confusa DC.",NA,"530c45d0-e0f7-401d-b3f6-34f58482c485",NA,"10640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0bbd7d8f-706c-4e2a-9505-58b142356450",NA,NA,NA,NA,"293187","Along road","d1343ee8-fd22-46f9-a1c9-972742978b79","North Andros Island: Behring Point","en","http://creativecommons.org/licenses/by-nc/3.0/","dwscott","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU_Plants/201509/ASU0087837_1441820387_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1321219707","Eugenia confusa DC.",18.3372,-66.6042,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:37.466+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Arecibo",2002,9,14,"2002-09-14",257,257,"2019-01-10T10:05:00.000+00:00","2024-08-02T12:41:37.466+00:00",NA,FALSE,"http://n2t.net/ark:/65665/3b1a90e04-61a8-4c8f-b7ae-bf8848d13f0e","none","none",FALSE,"NMNH Extant Biology","J. C. Trejo-Torres, L. Santiago & R. Rodríguez",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3b1a90e04-61a8-4c8f-b7ae-bf8848d13f0e",NA,NA,NA,"US","1321219707","http://n2t.net/ark:/65665/3b1a90e04-61a8-4c8f-b7ae-bf8848d13f0e",NA,"US 3659282","US",NA,NA,NA,"Eugenia confusa DC.",NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"1780",NA,"urn:lsid:biocol.org:col:15463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",370,NA,NA,NA,"151c91ba-a521-4735-8c11-5abf8db7fb67",NA,NA,NA,NA,NA,NA,NA,"Bo. Sabana Hoyos, Finca Las Abras.",NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",1,"West Indies - Neotropics, Puerto Rico, Arecibo, Greater Antilles, Puerto Rico","Greater Antilles","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3ac242f16-f12c-4c69-b831-de3ac6962f4a","http://creativecommons.org/licenses/by/4.0/"
"2270699983","Eugenia confusa DC.",24.113817,-74.5021,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:19.165+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","San Salvador",2001,5,23,"2001-05-23",143,143,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:19.165+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8468060",FALSE,"8468060","none","none",TRUE,NA,"Michael A. Vincent; R. J. Hickey; L. R. Richey",NA,"WGS84","Magnoliopsida","BS","none","none","LATIN_AMERICA","Bahamas","NORTH_AMERICA",NA,"8468060",NA,NA,NA,"Plants","2270699983","977adb08-e257-4397-ad0f-09fa1c9dfa1a","47796","ASU0294090","ASU",NA,NA,NA,"Eugenia confusa DC.","Tree, 3 m tall, in bud.","530c45d0-e0f7-401d-b3f6-34f58482c485",NA,"#9302",NA,NA,NA,NA,NA,NA,"fl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0bbd7d8f-706c-4e2a-9505-58b142356450",NA,NA,NA,NA,NA,NA,"977adb08-e257-4397-ad0f-09fa1c9dfa1a","Bahamas, Along Jake Jones Road, entrance to which is at marker 19, along the Queen's Highway",NA,"http://creativecommons.org/licenses/by-nc/3.0/","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.idigbio.org/v2/media/e0a94377a7bd5900afdda3ea07eff13d?size=fullsize","http://creativecommons.org/licenses/by/4.0/"
"1928082555","Eugenia confusa DC.",18.12302,-66.94964,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:15.671+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA",NA,2001,8,11,"2001-08-11",223,223,NA,"2024-07-21T05:13:15.671+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012540",FALSE,"16537cb4-a2ba-48cd-b2cc-a131de80a914","none","none",FALSE,"Vascular plants","A. M.Salywon",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","16537cb4-a2ba-48cd-b2cc-a131de80a914",NA,"11 Aug 2001",NA,"NY","1928082555","16537cb4-a2ba-48cd-b2cc-a131de80a914",NA,"946192","NY",NA,NA,NA,"Eugenia confusa DC.",NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","sheet","1236",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2190553-4505-4fdd-8fff-065c8ca26f72",NA,NA,NA,NA,NA,NA,NA,"San Germán. Bo. Minillas, Maricao Forest Reserve, Rt. 120, km 13.25, across from Centro Vacional Monte del Estado. Area behing gate leading into short service rd.","en",NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,"2008-07-02","PhysicalObject","2690 ft","U.S. Geological Survey. Sabana Grande, P.R. [map]. 1:20,000. N1800–W6652.5. 7.5 Minute Series. U.S. Department of the Interior, USGS, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/441/v-247-00946192.jpg","http://creativecommons.org/licenses/by/4.0/"
"1846501900","Eugenia confusa DC.",18.144667,-66.98,"cdc,cudc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:44.969+00:00",320,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Puerto Rico",2001,8,11,"2001-08-11",223,223,"2023-07-16T07:02:03.000+00:00","2024-08-01T23:10:44.969+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2054161",FALSE,"2054161","none","none",TRUE,NA,"Andrew Salywon; Neil Snow",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"2054161",NA,"11 August 2001",NA,NA,"1846501900","0511a3e0-fb2d-4c80-b190-ab7924ead7ad","47796","DES00058594","DES",NA,NA,NA,"Eugenia confusa DC.","Permits: 99-1C-23; 01-IC-47; Tree 6 m tall, near roadside on steep slope.","a8dfdf0d-ceae-466f-ab90-393a0d2319be",NA,"1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,NA,NA,NA,NA,"0511a3e0-fb2d-4c80-b190-ab7924ead7ad","MPIO. BARICAO: Bo. Maricao Afuero, km 14.1 on Rt. 120 near observation (lookout) tower.",NA,"http://creativecommons.org/licenses/by-nc/3.0/","lois","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,NA,NA,NA,NA,"2968ft.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00058/DES00058594_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1846501854","Eugenia confusa DC.",18.137833,-66.955667,"cdc,cudc,gass84,inmafu","3c59bd42-7bfd-421b-8da4-275780390e4c","e1f6195c-b21b-4601-809e-bdf0488ee9a4","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T23:08:49.360+00:00","2024-08-01T23:10:44.969+00:00",320,"PRESERVED_SPECIMEN","PRESENT",5417010,6,7707728,220,690,5014,3177662,5417010,5417010,"Eugenia confusa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia confusa","Eugenia","confusa","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Puerto Rico",2001,8,11,"2001-08-11",223,223,"2023-07-16T07:02:03.000+00:00","2024-08-01T23:10:44.969+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2054163",FALSE,"2054163","none","none",TRUE,NA,"Andrew Salywon; Neil Snow",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"2054163",NA,"11 August 2001",NA,NA,"1846501854","7fbd7e63-7cbd-47e7-9856-4933d65ba512","47796","DES00058592","DES",NA,NA,NA,"Eugenia confusa DC.","Tree 3 m tall, overhanging cut bank. Pedicels yellowish.","a8dfdf0d-ceae-466f-ab90-393a0d2319be",NA,"1233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,NA,NA,NA,"baebb418-b4fe-49a5-91d4-4c11d597937f",NA,NA,NA,NA,NA,NA,"7fbd7e63-7cbd-47e7-9856-4933d65ba512","MPIO. SABANA GRANDE: Bo. Santana, Maricao Forest Reserve, along Hwy 120, 0.8 km S of jct. with Hwy 366.",NA,"http://creativecommons.org/licenses/by-nc/3.0/","lois","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","edb9860c-c481-4d19-88cc-224a536ebcd4",NA,NA,NA,NA,NA,NA,"2312ft.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00058/DES00058592_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
