"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","references","habitat","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","individualCount","higherGeography","verbatimEventDate","reproductiveCondition","gadm","nomenclaturalCode","verbatimElevation","typeStatus","preparations","language","type","identificationRemarks","locationRemarks","media_url","license"
"1424508043","Calycolpus cochleatus McVaugh",5.198333,-60.172222,"cdc,cdround,gass84,muluriiv,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:44.582+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE","2019-07-01T00:00:00",1350,"SOUTH_AMERICA","Roraima",2014,11,7,"2014-11-07",311,311,"2019-07-31T22:51:47.000+00:00","2024-08-01T12:21:44.582+00:00",FALSE,"urn:catalog:JBRJ:RB:943001","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 622358","R.C. Forzza; M. Nadruz, D.P. Costa, G. Martinelli, C.S. Costa & R. Azoury","M.Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","8199","urn:catalog:JBRJ:RB:943001","RB00943001","04.936.616/0001-20","JBRJ","Uiramutã","Monte Caburaí. Parque Nacional do Monte Roraima","1424508043","Arbusto, 1,5 m alt. Flores com cálice verde; corola e estames alvos.","RB","urn:catalog:JBRJ:RB:943001","Calycolpus cochleatus McVaugh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/94/30/1/00943001-1.jpg","http://creativecommons.org/licenses/by/4.0/"
"1671186227","Calycolpus cochleatus McVaugh",5.776667,-60.263611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.717+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE",NA,620,"SOUTH_AMERICA",NA,2012,5,15,"2012-05-15",136,136,"2017-10-15T20:22:31.000+00:00","2024-08-01T12:21:48.717+00:00",FALSE,"urn:catalog:JBRJ:RB:1370660","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 749073","E. Tripp; et al","B.K. Holst","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2882","urn:catalog:JBRJ:RB:1370660","RB01370660","04.936.616/0001-20","JBRJ","Guiana","Region: Cuyuni-Mazaruni. Below 1st escarpment (of four) of Kamakusa Mt., 0-1.5 mi NE of Ducking (1 st) Camp","1671186227",NA,"RB","urn:catalog:JBRJ:RB:1370660","Calycolpus cochleatus McVaugh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/37/6/60/01370660.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270578504","Calycolpus cochleatus McVaugh",5.674167,-60.272167,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:17.664+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE","2014-01-01T00:00:00",492,"SOUTH_AMERICA","Cuyuni-Mazaruni",2012,6,15,"2012-06-15",167,167,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:17.664+00:00",FALSE,"6185185","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"289776","K.J. Wurdack; E.A. Tripp & A. Radosavljevic","L.R. Landrum","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"5903","6185185","ASU0080860",NA,"ASU",NA,"On Karowrieng River upstream from confluence with Mazaruni River, and landing on N bank of Karowrieng near base of first impassable falls","2270578504","Tree to 3 m. Calyx and young fruits reddish-green. Old corollas whitish-brown. Silica sample.","Plants","6d009349-6044-4517-af81-b3c13640b021","Calycolpus cochleatus McVaugh","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6185185","River banks and adjacent scrub forest and savanna","6d009349-6044-4517-af81-b3c13640b021","34011","http://creativecommons.org/licenses/by-nc/3.0/","waltola64","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calycolpus","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0080/ASU0080860_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1456458502","Calycolpus cochleatus McVaugh",5.70833,-60.3,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:18.741+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE",NA,500,"SOUTH_AMERICA","Cuyuni-Mazaruni",2004,7,2,"2004-07-02",184,184,"2019-01-08T22:38:00.000+00:00","2024-08-02T12:40:18.741+00:00",FALSE,"http://n2t.net/ark:/65665/3f40eb8eb-3eed-411a-a1fa-1b1668e9bc89","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"H. D. Clarke, C. Perry, E. Tripp, S. R. Stern & D. Gittens","Holst, Bruce K.","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"12383","http://n2t.net/ark:/65665/3f40eb8eb-3eed-411a-a1fa-1b1668e9bc89","US 3554500","urn:lsid:biocol.org:col:15463","US",NA,"Imbaimadai, savanna near airstrip","1456458502",NA,"US","http://n2t.net/ark:/65665/3f40eb8eb-3eed-411a-a1fa-1b1668e9bc89","Calycolpus cochleatus McVaugh",NA,"Savanna on white sand and sandstone with Sauvagesia, Tibouchina, and Trachypogon",NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",1,"South America - Neotropics, Guyana, Cuyuni-Mazaruni","2 July 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3dd215fad-33b3-49c7-a442-597cbc2f3da5","http://creativecommons.org/licenses/by/4.0/"
"1456153386","Calycolpus cochleatus McVaugh",5.61767,-60.219,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:23.581+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE",NA,902,"SOUTH_AMERICA","Cuyuni-Mazaruni",2002,12,4,"2002-12-04",338,338,"2019-01-10T04:50:00.000+00:00","2024-08-02T12:39:23.581+00:00",FALSE,"http://n2t.net/ark:/65665/3659d569c-5e47-4c89-baa6-94acbc5c6ceb","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",TRUE,"NMNH Extant Biology",NA,"K. M. Redden, C. Perry, R. Williams & E. Forbes","Holst, Bruce K.","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"1399","http://n2t.net/ark:/65665/3659d569c-5e47-4c89-baa6-94acbc5c6ceb","US 3552864","urn:lsid:biocol.org:col:15463","US",NA,"Imbaimadai vicinity. On top of tepui. 1.02 miles Northeast of base camp","1456153386",NA,"US","http://n2t.net/ark:/65665/3659d569c-5e47-4c89-baa6-94acbc5c6ceb","Calycolpus cochleatus McVaugh",NA,"Scrub forest. Predominately sandstone",NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",1,"South America - Neotropics, Guyana, Cuyuni-Mazaruni","4 December 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m308a5c2a3-93fa-40ae-bc12-3a26c6111c94","http://creativecommons.org/licenses/by/4.0/"
"1456116340","Calycolpus cochleatus McVaugh",5.70833,-60.1833,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:12.766+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE",NA,1385,"SOUTH_AMERICA","Cuyuni-Mazaruni",1986,6,13,"1986-06-13",164,164,"2024-05-31T11:06:00.000+00:00","2024-08-02T12:41:12.766+00:00",FALSE,"http://n2t.net/ark:/65665/35438dbb5-3ea9-453f-b014-b3152c18651b","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"J. J. Pipoly & K. Alfred","Holst, Bruce K.","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"7673","http://n2t.net/ark:/65665/35438dbb5-3ea9-453f-b014-b3152c18651b","US 3554413","urn:lsid:biocol.org:col:15463","US",NA,"Pakaraima Mts. Upper Mazaruni River Basin. Karowrieng River. Unnamed peak NW of Maipuri Falls","1456116340",NA,"US","http://n2t.net/ark:/65665/35438dbb5-3ea9-453f-b014-b3152c18651b","Calycolpus cochleatus McVaugh",NA,"Moist montane and elfin forest",NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",1,"South America - Neotropics, Guyana, Cuyuni-Mazaruni","13 June 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m38b3f691f-b865-4ae5-99e1-aea9e3e86c0b","http://creativecommons.org/licenses/by/4.0/"
"2270484782","Calycolpus cochleatus McVaugh",5.95,-60.6333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:11.790+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3177639,6,7707728,220,690,5014,3177606,3177639,3177639,"Calycolpus cochleatus McVaugh","Plantae","Tracheophyta","Myrtales","Myrtaceae","Calycolpus","Calycolpus cochleatus","Calycolpus","cochleatus","SPECIES","DOUBTFUL","NE",NA,900,"SOUTH_AMERICA",NA,1979,11,10,"1979-11-10",314,314,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:11.790+00:00",FALSE,"1125488","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,NA,"266880","Maas; L. Y. T. Westra, W. Driehuis, E. Eetgerink, R. van Leewen, H. Persoon, H. Snuverink, & A. Timmerman","R. McVaugh, 1980.","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"4228","1125488","ASU0008683",NA,"ASU",NA,"Pakaraima Mts. Mt. Latipu', top (Mazaruni R.)","2270484782","loc 3; placenta axile.; Tree ca. 4m tall; flower remnant brown.","Plants","83fd913d-7a4f-41a1-b6f0-715e4ad01be6","Calycolpus cochleatus McVaugh","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1125488","Shrub savanna with tree-layer up to 6m, dense grou","83fd913d-7a4f-41a1-b6f0-715e4ad01be6","34011","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calycolpus","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,"fl, yft",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008683_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
