"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","informationWithheld","occurrenceRemarks","distanceFromCentroidInMeters","gadm","elevation","otherCatalogNumbers","preparations","http...unknown.org.recordID","associatedTaxa","locality","county","taxonRemarks","locationID","rights","ownerInstitutionCode","higherClassification","collectionID","projectId","individualCount","elevationAccuracy","institutionKey","nomenclaturalStatus","recordNumber","nomenclaturalCode","type","bibliographicCitation","institutionID","disposition","previousIdentifications","reproductiveCondition","fieldNumber","networkKeys","lifeStage","higherGeography","collectionKey","habitat","island","islandGroup","associatedSequences","verbatimIdentification","eventRemarks","http...unknown.org.recordEnteredBy","language","georeferenceProtocol","georeferencedDate","verbatimElevation","georeferenceSources","locationRemarks","organismID","accessRights","dynamicProperties","municipality","datasetID","samplingProtocol","acceptedNameUsage","georeferenceRemarks","materialSampleID","parentNameUsageID","acceptedNameUsageID","parentNameUsage","identificationRemarks","fieldNotes","infraspecificEpithet","programmeAcronym","identificationQualifier","media_url","license"
"4517055533","Eugenia monticola (Sw.) DC.",18.021261,-67.076889,"cdc,cudc,ambinst","3fed506c-d04f-4cd4-b373-bd602572f39b","e794e60e-e558-4549-99f8-cfb241cdce24","1de87984-ce7c-407c-988c-a28014ae53ad","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-07-30T07:20:10.759+00:00","2024-07-30T07:20:27.166+00:00",252,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC","2023-11-09T16:00:00",5,"NORTH_AMERICA","Puerto Rico",2023,11,9,"2023-11-09",313,313,"2024-04-18T10:44:12.000+00:00","2024-07-30T07:20:27.166+00:00","https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1124174",FALSE,"1124174","none","none",FALSE,NA,"Wilmarie Plaza-Muniz (ORCID 0000-0002-9129-5419)","Wilmarie Plaza-Muniz (ORCID 0000-0002-9129-5419)","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"1124174",NA,NA,NA,"TPLC-HV","4517055533","NEON09QMU","34654","NEON09QMU","NEON",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,"Terrestrial plant herbarium voucher collected during NEON plant diversity survey protocols conducted 1-2 annually.",NA,NA,16,"NEON sampleID: PLA.LAJA.20231109.12:20.WP.V226|NEON sampleCode (barcode): B00000130832|NEON sampleUUID: e72a23aa-4f6f-45df-8b99-16e8869613e1","herbarium sheet","bc5c948a-f91d-4013-9f5a-18ed5a24f431","Abrus precatorius, Adelia ricinella, Schaefferia frutescens","Atlantic Neotropical (D04), Lajas Experimental Station NEON (LAJA), Lajas PR, UPR-M experimental station","Lajas Municipio","Identification source: harvested from NEON API","LAJA","http://creativecommons.org/publicdomain/zero/1.0/","ASU","Organism|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Eugenia","951b3637-fded-4c51-a565-e0e12063c408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000130/B00000130832.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"4112260320","Eugenia monticola (Sw.) DC.",18.021261,-67.076889,"cdc,cudc,ambinst","3fed506c-d04f-4cd4-b373-bd602572f39b","e794e60e-e558-4549-99f8-cfb241cdce24","1de87984-ce7c-407c-988c-a28014ae53ad","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-07-30T07:20:10.759+00:00","2024-07-30T07:20:27.099+00:00",252,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC","2022-11-30T16:00:00",5,"NORTH_AMERICA","Puerto Rico",2022,11,30,"2022-11-30",334,334,"2024-04-18T10:44:12.000+00:00","2024-07-30T07:20:27.099+00:00","https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1022109",FALSE,"1022109","none","none",FALSE,NA,"Wilmarie Plaza-Muniz (ORCID 0000-0002-9129-5419)","Wilmarie Plaza-Muniz (ORCID 0000-0002-9129-5419)","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"1022109",NA,NA,NA,"TPLC-HV","4112260320","NEON07YZN","34654","NEON07YZN","NEON",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,"Terrestrial plant herbarium voucher collected during NEON plant diversity survey protocols conducted 1-2 annually.",NA,NA,16,"NEON sampleID: PLA.LAJA.20221130.13:08.WP.V174|NEON sampleCode (barcode): B00000077446|NEON sampleUUID: 06af92fe-50ff-46df-bbd5-e19c39653f92","herbarium sheet","99227777-7705-402d-a3d2-9cd6ce8eb27d","Leucaena leucocephala, Guazuma ulmifolia, Achyranthes aspera","Atlantic Neotropical (D04), Lajas Experimental Station NEON (LAJA), Lajas PR, UPR-M experimental station","Lajas Municipio","Identification source: harvested from NEON API","LAJA","http://creativecommons.org/publicdomain/zero/1.0/","ASU","Organism|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Eugenia","951b3637-fded-4c51-a565-e0e12063c408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000077/B00000077446.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"4441033609","Eugenia monticola (Sw.) DC.",10.967778,-85.558278,"cdround,gass84,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:58:49.965+00:00",102,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC","2021-01-01T00:00:00",NA,"NORTH_AMERICA","Guanacaste",2021,6,11,"2021-06-11",162,162,"2023-11-16T07:50:00.000+00:00","2024-08-02T19:58:49.965+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:103429348","none","none",TRUE,"Tropicos","Nelson Zamora","Zamora Villalobos, Nelson A.","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:103429348",NA,NA,NA,"Tropicos","4441033609","urn:catalog:MO:Tropicos:103429348","22101740","103429348","CR",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,NA,NA,NA,301,NA,NA,NA,NA,"Camino a la Estación Maritza, orillas de la quebrada Espavelar.","La Cruz",NA,NA,NA,"MOBOT",NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,"6dcf2ee2-c348-4b04-9ef6-1e10109f2136","Legitimate","Zamora Villalobos 10823","ICNafp","PhysicalObject","http://www.tropicos.org/Specimen/103429348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages5/detailimages/TropicosImagesVol5/101947000/0270212F-5B69-4523-932C-3F94E31C120C.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"3329398641","Eugenia monticola (Sw.) DC.",18.37582,-71.02647,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:02.870+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Barahona",2019,5,11,"2019-05-11",131,131,NA,"2024-08-05T04:07:02.870+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:272444",FALSE,"5d637f48-9b9f-432c-ba22-b87e7ef0e85e","none","none",FALSE,NA,"Lucas C. Majure",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","University of Florida","5d637f48-9b9f-432c-ba22-b87e7ef0e85e",NA,"11 Mayo 2019","Sierra Martin Garcia, subiendo desde el cruce de Vicente Noble, en la cima de la sierra al costado de la caseta",NA,"3329398641","5d637f48-9b9f-432c-ba22-b87e7ef0e85e",NA,"272444","FLAS",NA,NA,NA,"Eugenia monticola (Sw.) DC.","location information not given for endangered species",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,"FLAS",NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d",NA,"7786","ICN",NA,NA,"University of Florida Herbarium","FLASCAT","[Orig. id.:] Eugenia monticola DC.","Fruit (mature)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/1ce8680e-8f1c-459b-81fa-3c3f79a02e99","http://creativecommons.org/publicdomain/zero/1.0/"
"2269016539","Eugenia monticola (Sw.) DC.",13.2,-86.733333,"cdround,gass84,osiic,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:59:47.485+00:00",102,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Estelí",2018,1,12,"2018-01-12",12,12,"2019-04-10T15:29:00.000+00:00","2024-08-02T19:59:47.485+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:101124142","none","none",FALSE,"Tropicos","I. Coronado G.|K. Portobanco",NA,"WGS84","Magnoliopsida","NI","none","none","LATIN_AMERICA","Nicaragua","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:101124142",NA,NA,NA,"Tropicos","2269016539","urn:catalog:MO:Tropicos:101124142","22101740","101124142","HULE",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,NA,NA,NA,350,NA,NA,NA,NA,"Camino entre San Juan de Limay y San Francisco del Norte (Departamento de Chinandega)",NA,NA,NA,NA,"MOBOT",NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,1,NA,"c1dfac15-2538-48cf-9b9d-14d3b2d0287f","Legitimate","Coronado González 7766","ICNafp","PhysicalObject","http://www.tropicos.org/Specimen/101124142",NA,NA,NA,NA,"363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100710000/2A3AACE2-AC13-4F7E-B9DF-CDED6B94959E.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"3329398956","Eugenia monticola (Sw.) DC.",18.392595,-71.038148,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:00.334+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Barahona",2016,11,14,"2016-11-14",319,319,NA,"2024-08-05T04:07:00.334+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:270383",FALSE,"0c747510-760a-40db-a37f-24b36020f7e4","none","none",FALSE,NA,"Lucas C. Majure",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","University of Florida","0c747510-760a-40db-a37f-24b36020f7e4",NA,"14-Nov 2016","Sierra Martín García, ca. 0.6 km al noreste del Cruce de Vincente Noble, al noreste ca. 13 km de la Carretera 44, a lo largo de un arroyo seco",NA,"3329398956","0c747510-760a-40db-a37f-24b36020f7e4",NA,"270383","FLAS",NA,NA,NA,"Eugenia monticola (Sw.) DC.","location information not given for endangered species",NA,NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA,NA,NA,NA,NA,NA,"FLAS",NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d",NA,"6579b","ICN",NA,NA,"University of Florida Herbarium","FLASCAT","[Orig. id.:] Eugenia monticola DC.","Flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/462288e4-3e9c-420a-ad72-5633847eae51","http://creativecommons.org/publicdomain/zero/1.0/"
"4441037484","Eugenia monticola (Sw.) DC.",10.970033,-85.567094,"cdround,gass84,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T20:00:19.352+00:00",102,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC","2015-01-01T00:00:00",NA,"NORTH_AMERICA","Guanacaste",2015,10,3,"2015-10-03",276,276,"2023-11-16T07:50:00.000+00:00","2024-08-02T20:00:19.352+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:103427029","none","none",TRUE,"Tropicos","Nelson Zamora","Zamora Villalobos, Nelson A.","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:103427029",NA,NA,NA,"Tropicos","4441037484","urn:catalog:MO:Tropicos:103427029","22101740","103427029","CR",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,NA,NA,NA,300,NA,NA,NA,NA,"La Cruz, Área de Conservación Guanacaste, camino a la Estación Maritza, sitio Altamira.","La Cruz",NA,NA,NA,"MOBOT",NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,"6dcf2ee2-c348-4b04-9ef6-1e10109f2136","Legitimate","Zamora Villalobos 8423","ICNafp","PhysicalObject","http://www.tropicos.org/Specimen/103427029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages5/detailimages/TropicosImagesVol5/101931000/8F0D09B5-5FA5-45C4-B4DD-24534AD539ED.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"4441035416","Eugenia monticola (Sw.) DC.",10.927778,-85.473889,"cdround,gass84,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:58:49.769+00:00",102,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC","2014-01-01T00:00:00",NA,"NORTH_AMERICA","Guanacaste",2014,8,9,"2014-08-09",221,221,"2023-11-16T07:50:00.000+00:00","2024-08-02T19:58:49.769+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:103425648","none","none",TRUE,"Tropicos","Nelson Zamora","Zamora Villalobos, Nelson A.","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:103425648",NA,NA,NA,"Tropicos","4441035416","urn:catalog:MO:Tropicos:103425648","22101740","103425648","CR",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,NA,NA,NA,1078,NA,NA,NA,NA,"Guanacaste. Liberia. Área de Conservación Guanacaste, Estación Cacao, Sendero Cerro Pedregal.","Liberia",NA,NA,NA,"MOBOT",NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,"6dcf2ee2-c348-4b04-9ef6-1e10109f2136","Legitimate","Zamora Villalobos 7040","ICNafp","PhysicalObject","http://www.tropicos.org/Specimen/103425648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages5/detailimages/TropicosImagesVol5/101932000/465BF5BD-28F5-4CA5-AD3B-A73239A05C3D.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1563327557","Eugenia monticola (Sw.) DC.",14.5076,-61.0028,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:12.224+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA",NA,2014,10,9,"2014-10-09",282,282,"2019-01-10T15:18:00.000+00:00","2024-08-02T12:40:12.224+00:00",NA,FALSE,"http://n2t.net/ark:/65665/3d7576060-666f-4b99-bb34-67e11080005d","none","none",FALSE,"NMNH Extant Biology","C. Delnatte & J.-P. Fiard","Fiard, J. P.","WGS84","Magnoliopsida","MQ","none","none","LATIN_AMERICA","Martinique","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3d7576060-666f-4b99-bb34-67e11080005d",NA,"09/10/2014",NA,"US","1563327557","http://n2t.net/ark:/65665/3d7576060-666f-4b99-bb34-67e11080005d",NA,"US 3696869","US",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,NA,NA,NA,230,NA,NA,NA,NA,"Commune de rivière Salée",NA,NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,1,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"3150",NA,NA,NA,"urn:lsid:biocol.org:col:15463",NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","Fruiting","West Indies - Neotropics, Martinique, Lesser Antilles, Martinique I.","151c91ba-a521-4735-8c11-5abf8db7fb67","Bord de chemin forestier","Martinique I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m376ecc095-e25f-4908-a318-8a964bd0f815","http://creativecommons.org/publicdomain/zero/1.0/"
"1563329353","Eugenia monticola (Sw.) DC.",14.5105,-61.0154,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:07.318+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5418047,6,7707728,220,690,5014,3177662,5418047,5418047,"Eugenia monticola (Sw.) DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia monticola","Eugenia","monticola","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA",NA,2014,10,21,"2014-10-21",294,294,"2019-01-10T13:29:00.000+00:00","2024-08-02T12:40:07.318+00:00",NA,FALSE,"http://n2t.net/ark:/65665/3da4e996a-e3e4-4ee6-bff1-8092b39a4357","none","none",FALSE,"NMNH Extant Biology","C. Delnatte, J.-P. Fiard & R. Dore","Fiard, J. P.","WGS84","Magnoliopsida","MQ","none","none","LATIN_AMERICA","Martinique","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3da4e996a-e3e4-4ee6-bff1-8092b39a4357",NA,NA,NA,"US","1563329353","http://n2t.net/ark:/65665/3da4e996a-e3e4-4ee6-bff1-8092b39a4357",NA,"US 3696868","US",NA,NA,NA,"Eugenia monticola (Sw.) DC.",NA,NA,NA,NA,280,NA,NA,NA,NA,"Commune du Diamant, Morne des Pères",NA,NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,1,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"3161",NA,NA,NA,"urn:lsid:biocol.org:col:15463",NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","Fruiting","West Indies - Neotropics, Martinique, Lesser Antilles, Martinique I.","151c91ba-a521-4735-8c11-5abf8db7fb67","Forêt mésophile","Martinique I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3a055d591-2633-403e-9434-76575ed76ba6","http://creativecommons.org/publicdomain/zero/1.0/"
