"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","collectionCode","occurrenceID","name","fieldNotes","elevation","occurrenceRemarks","gadm","typeStatus","references","habitat","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","verbatimElevation","higherClassification","collectionID","media_url","license"
"4131129373","Eugenia pyrifera Faria & Proença",-14.888889,-48.977778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:54.911+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2018-11-01T00:00:00","SOUTH_AMERICA","Goiás",2019,11,2,"2019-11-02",306,306,"2024-01-15T20:21:29.000+00:00","2024-08-01T12:21:54.911+00:00",FALSE,"urn:catalog:JBRJ:RB:1491867","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 851507","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","8997","urn:catalog:JBRJ:RB:1491867","RB01491867","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem esquerda da BR-080 sentido Barro Alto/Uruaçu","4131129373","RB","urn:catalog:JBRJ:RB:1491867","Eugenia pyrifera Faria & Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/49/18/67/01491867.jpg","http://creativecommons.org/licenses/by/4.0/"
"3331270305","Eugenia pyrifera Faria & Proença",-14.888889,-48.9775,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:52.689+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2017-11-01T00:00:00","SOUTH_AMERICA","Goiás",2017,11,2,"2017-11-02",306,306,"2021-07-06T15:35:18.000+00:00","2024-08-01T12:21:52.689+00:00",FALSE,"urn:catalog:JBRJ:RB:1442110","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 814266","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","8346","urn:catalog:JBRJ:RB:1442110","RB01442110","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem da BR-080 entre Barro Alto e o povoado de Placas, margem esquerda do Rio passa Três","3331270305","RB","urn:catalog:JBRJ:RB:1442110","Eugenia pyrifera Faria & Proença","Mata seca decídua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/44/21/10/01442110.jpg","http://creativecommons.org/licenses/by/4.0/"
"3331280307","Eugenia pyrifera Faria & Proença",-14.888889,-48.9775,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:52.776+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2017-11-01T00:00:00","SOUTH_AMERICA","Goiás",2017,11,2,"2017-11-02",306,306,"2021-07-06T15:52:32.000+00:00","2024-08-01T12:21:52.776+00:00",FALSE,"urn:catalog:JBRJ:RB:1442117","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 814273","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","8345","urn:catalog:JBRJ:RB:1442117","RB01442117","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem da BR-080 entre Barro Alto e o povoado de Placas, Margem esquerda do Rio Passa Três","3331280307","RB","urn:catalog:JBRJ:RB:1442117","Eugenia pyrifera Faria & Proença","Mata seca decídua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/44/21/17/01442117.jpg","http://creativecommons.org/licenses/by/4.0/"
"1423910030","Eugenia pyrifera Faria & Proença",-14.888889,-48.977778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:45.769+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2015-10-01T00:00:00","SOUTH_AMERICA","Goiás",2015,10,4,"2015-10-04",277,277,"2017-10-15T16:20:02.000+00:00","2024-08-01T12:21:45.769+00:00",FALSE,"urn:catalog:JBRJ:RB:1123993","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 649384","J.E.Q. Faria; L.H. Soares-Silva; M.C. Silva Júnior","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","5178","urn:catalog:JBRJ:RB:1123993","RB01123993","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem da BR-080 entre o povoado de Placas e Barro Alto","1423910030","RB","urn:catalog:JBRJ:RB:1123993","Eugenia pyrifera Faria & Proença","Mata seca",526,"Arvoreta ca. 3m de altura, caule liso e botões florais cinéreos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/12/39/93/01123993.jpg","http://creativecommons.org/licenses/by/4.0/"
"1455706843","Eugenia pyrifera Faria & Proença",-25.217778,-54.096389,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.332+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2016-02-26T00:00:00","SOUTH_AMERICA","Paraná",2015,10,9,"2015-10-09",282,282,"2017-10-24T21:12:08.000+00:00","2024-08-01T12:21:48.332+00:00",FALSE,"urn:catalog:JBRJ:RB:1298991","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 725880","A.R. Escher; C.S. Jesus; T. Souza","J. Cordeiro","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","49","urn:catalog:JBRJ:RB:1298991","RB01298991","04.936.616/0001-20","JBRJ","Santa Tereza do Oeste","Limite Leste PN Iguaçu. APP rio Gonçalves Dias (margens esquerda). Transição FOM-FES. P01-04","1455706843","RB","urn:catalog:JBRJ:RB:1298991","Eugenia pyrifera Faria & Proença",NA,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/29/89/91/01298991.jpg","http://creativecommons.org/licenses/by/4.0/"
"1423918866","Eugenia pyrifera Faria & Proença",-14.888611,-48.977778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.584+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2014-10-01T00:00:00","SOUTH_AMERICA","Goiás",2014,10,1,"2014-10-01",274,274,"2017-10-15T19:03:02.000+00:00","2024-08-01T12:21:48.584+00:00",FALSE,"urn:catalog:JBRJ:RB:1148260","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 655594","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","4122","urn:catalog:JBRJ:RB:1148260","RB01148260","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem da BR-080 entre Barro Alto e o rio das Almas.","1423918866","RB","urn:catalog:JBRJ:RB:1148260","Eugenia pyrifera Faria & Proença","Mata seca próximo a córrego.",577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/14/82/60/01148260.jpg","http://creativecommons.org/licenses/by/4.0/"
"1423918984","Eugenia pyrifera Faria & Proença",-14.888611,-48.977778,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:47.535+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2014-10-01T00:00:00","SOUTH_AMERICA","Goiás",2014,10,5,"2014-10-05",278,278,"2017-10-15T19:03:17.000+00:00","2024-08-01T12:21:47.535+00:00",FALSE,"urn:catalog:JBRJ:RB:1148451","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 655641","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","4138","urn:catalog:JBRJ:RB:1148451","RB01148451","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem da BR-080 entre Barro Alto e o rio das Almas.","1423918984","RB","urn:catalog:JBRJ:RB:1148451","Eugenia pyrifera Faria & Proença","Mata seca em borda de córrego.",577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/14/84/51/01148451.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424420714","Eugenia pyrifera Faria & Proença",-14.744722,-49.069167,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:41.926+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2011-09-01T00:00:00","SOUTH_AMERICA","Goiás",2011,11,6,"2011-11-06",310,310,"2017-10-19T04:02:02.000+00:00","2024-08-01T12:21:41.926+00:00",FALSE,"urn:catalog:JBRJ:RB:721567","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 553938","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2120","urn:catalog:JBRJ:RB:721567","RB00721567","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem da rodovia entre Uruaçu e Barro Alto, margem direita do rio da Almas. .","1424420714","RB","urn:catalog:JBRJ:RB:721567","Eugenia pyrifera Faria & Proença","Resquício de mata ciliar",482,"Arbusto ca 2 mde altura, frutos imaturos verdes (coletado material em sílica)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/72/15/67/00721567.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424477869","Eugenia pyrifera Faria & Proença",-14.744444,-49.068889,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:45.008+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE","2012-01-01T00:00:00","SOUTH_AMERICA","Goiás",2010,1,3,"2010-01-03",3,3,"2017-10-18T00:09:59.000+00:00","2024-08-01T12:21:45.008+00:00",FALSE,"urn:catalog:JBRJ:RB:846140","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 458003","J.E.Q. Faria","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2245","urn:catalog:JBRJ:RB:846140","RB00846140","04.936.616/0001-20","JBRJ","Santa Rita do Novo Destino","Margem direita do rio das Almas, ponte que liga Barro Alto a Uruaçu.","1424477869","RB","urn:catalog:JBRJ:RB:846140","Eugenia pyrifera Faria & Proença","Mata ciliar antropizada",456,"Arbusto ca. 1m de altura. Fruto imaturo verde e maduro amarelo.",NA,"PARATYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/84/61/40/00846140.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270580870","Eugenia pyrifera Faria & Proença",-4.744444,-49.066667,"cdc,gass84,iddativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:17.776+00:00",276,"PRESERVED_SPECIMEN","PRESENT",7839341,6,7707728,220,690,5014,3177662,7839341,7839341,"Eugenia pyrifera Faria & Proença","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pyrifera","Eugenia","pyrifera","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Goias",2010,10,16,"2010-10-16",289,289,"2023-10-11T14:48:41.000+00:00","2024-08-01T20:02:17.776+00:00",FALSE,"6330398","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"291874","Faria, J. E. Q.","Faria, J. E. Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"899","6330398","ASU0083572",NA,"ASU",NA,"Brasil, Goias, Brasil, , Santa Rita do Novo Destino, Margem da BR- , na ponte sobre o rio das Almas, entre Barro Alto e Uruafu, margem direita do rio das Almas","2270580870","Plants","4beba3a7-9df9-4bfd-ab6f-235712a0367a","Eugenia pyrifera Faria & Proença",NA,455,"Herbario UB; Arvoreta ca. 4 m de altura, flores senescentes (Retirado material para DNA) .",NA,"PARATYPE","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6330398","Mata ciliar, solo argilo-arenoso, relevo ondulado","4beba3a7-9df9-4bfd-ab6f-235712a0367a","171800","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","455 m","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191","https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0083/ASU0083572_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
