"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","networkKeys","individualCount","lifeStage","elevation","gadm","higherGeography","institutionKey","collectionKey","recordNumber","institutionID","island","locality","higherClassification","collectionID","elevationAccuracy","preparations","georeferencedDate","nomenclaturalCode","georeferenceProtocol","language","type","verbatimElevation","georeferenceSources","georeferenceRemarks","organismID","locationID","identificationQualifier","ownerInstitutionCode","accessRights","typeStatus","islandGroup","fieldNumber","typifiedName","nomenclaturalStatus","bibliographicCitation","eventID","disposition","locationRemarks","otherCatalogNumbers","dynamicProperties","occurrenceRemarks","reproductiveCondition","footprintSRS","verbatimIdentification","media_url"
"1931226586","Eugenia greggii (Sw.) Poir.",14.857905,-61.196989,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:16:30.230+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417006,6,7707728,220,690,5014,3177662,5417006,5417006,"Eugenia greggii (Sw.) Poir.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia greggii","Eugenia","greggii","SPECIES","ACCEPTED","NE",NA,2912,"NORTH_AMERICA",NA,1987,7,24,"1987-07-24",205,205,NA,"2024-07-21T05:16:30.230+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1680754","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"f4c86c6a-d8b7-4938-bae5-52c468da7688","none","none",FALSE,"Vascular plants","D. C. Daly",NA,"WGS84","Magnoliopsida","MQ","none","none","LATIN_AMERICA","Martinique","NORTH_AMERICA","The New York Botanical Garden","f4c86c6a-d8b7-4938-bae5-52c468da7688",NA,"24 Jul 1987",NA,"NY","1931226586","f4c86c6a-d8b7-4938-bae5-52c468da7688",NA,"1436099","NY",NA,NA,NA,"Eugenia greggii (Sw.) Poir.",NA,NA,NA,225,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","5295","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Anse Couleuvre-Grand Rivière trail, near Cap St. Martin and Cascade de la Rivière de Trois Bras.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",25,"sheet","2019-08-08","ICN","Georeferencing Quick Reference Guide, Version 2012","en","PhysicalObject","656.2-820.2 ft","Google Maps (map data 2019); Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/478/372/v-247-01436099.jpg"
"1228334559","Eugenia sieberiana DC.",7.0758,-65.9119,"gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T11:00:10.872+00:00",313,"PRESERVED_SPECIMEN","PRESENT",5417007,6,7707728,220,690,5014,3177662,5417006,5417006,"Eugenia greggii (Sw.) Poir.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia greggii","Eugenia","sieberiana","SPECIES","SYNONYM","NE",NA,NA,"SOUTH_AMERICA",NA,1938,4,27,"1938-04-27",117,117,"2023-03-01T20:00:00.000+00:00","2024-01-25T11:00:10.872+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"b2203325-5b1f-4825-9276-b30c25a940da","none","none",FALSE,"seeds-22-sep-2023","Ll. Williams",NA,"WGS84","Magnoliopsida","VE","none","none","LATIN_AMERICA","Venezuela (Bolivarian Republic of)","NORTH_AMERICA","The Field Museum of Natural History","b2203325-5b1f-4825-9276-b30c25a940da",NA,NA,NA,"Botany","1228334559","b2203325-5b1f-4825-9276-b30c25a940da",NA,"V0109562F","F",NA,NA,NA,"Eugenia sieberiana DC.",NA,NA,NA,NA,NA,"South America, Venezuela. [LL]","689b4219-8256-4c6e-890b-2e81405d4c58",NA,"10017","F",NA,"Venezuela","Plantae Spermatophyta Dicotyledoneae Myrtaceae","Botany",NA,NA,NA,"ICBN","TGN - Country Centroid",NA,NA,NA,"Getty Thesaurus of Geographic Names (TGN)","Generalised COUNTRY centroid","2430819","7611eec5-8b61-4234-809b-7f0e6d1f5724","aff.","F","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/516/506/V0109562F.jpg"
"1929592585","Eugenia greggii (Sw.) Poir.",15.98951,-61.716896,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:07.854+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417006,6,7707728,220,690,5014,3177662,5417006,5417006,"Eugenia greggii (Sw.) Poir.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia greggii","Eugenia","greggii","SPECIES","ACCEPTED","NE",NA,NA,"NORTH_AMERICA","Basse-Terre",1894,5,24,"1894-05-24",144,144,NA,"2024-07-21T05:14:07.854+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1680752","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"812a5a6c-bf44-4dcc-a84b-73daaf0ef373","none","none",FALSE,"Vascular plants","A. Duss",NA,"WGS84","Magnoliopsida","GP","none","none","LATIN_AMERICA","Guadeloupe","NORTH_AMERICA","The New York Botanical Garden","812a5a6c-bf44-4dcc-a84b-73daaf0ef373",NA,"24 May 1894",NA,"NY","1929592585","812a5a6c-bf44-4dcc-a84b-73daaf0ef373",NA,"01436098","NY",NA,NA,NA,"Eugenia greggii (Sw.) Poir.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","3445","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Houelmont, endroit nomme Champ de Arbod.  Bois couronne.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"sheet","2019-05-02","ICN","Georeferencing Quick Reference Guide, Version 2012","en","PhysicalObject",NA,"Google Maps (map data 2019); Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/478/371/v-247-01436098.jpg"
"1928635688","Eugenia greggii (Sw.) Poir.",15.98426,-61.7075,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:46.700+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417006,6,7707728,220,690,5014,3177662,5417006,5417006,"Eugenia greggii (Sw.) Poir.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia greggii","Eugenia","greggii","SPECIES","ACCEPTED","NE",NA,NA,"NORTH_AMERICA",NA,1892,NA,NA,"1892",NA,NA,NA,"2024-07-21T05:13:46.700+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1680756","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"3d60ed4a-7b45-4bd3-bbf4-7833af2b174c","none","none",TRUE,"Vascular plants","A. Duss",NA,"WGS84","Magnoliopsida","GP","none","none","LATIN_AMERICA","Guadeloupe","NORTH_AMERICA","The New York Botanical Garden","3d60ed4a-7b45-4bd3-bbf4-7833af2b174c",NA,"1892",NA,"NY","1928635688","3d60ed4a-7b45-4bd3-bbf4-7833af2b174c",NA,"1436101","NY",NA,NA,NA,"Eugenia greggii (Sw.) Poir.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","2205","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Massif de Houëlmont",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"sheet","2019-05-01","ICN","Georeferencing Quick Reference Guide, Version 2012","en","PhysicalObject","262-755 ft","Google Maps (map data 2019); Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/478/374/v-247-01436101.jpg"
"1055677417","Eugenia greggii (Sw.) Poir.",18.894446,-70.484634,"gass84,mdativ,muldativ,txmatfuz,colmafu,inmafu","7e380070-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","60277b56-f762-11e1-a439-00145eb45e9a","19456090-b49a-11d8-abeb-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T06:57:04.427+00:00","2024-07-30T10:11:46.252+00:00",392,"PRESERVED_SPECIMEN","PRESENT",5417006,6,7707728,220,690,5014,3177662,5417006,5417006,"Eugenia greggii (Sw.) Poir.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia greggii","Eugenia","greggii","SPECIES","ACCEPTED","NE",NA,390,"NORTH_AMERICA",NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-30T10:11:46.252+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"468057","none","none",TRUE,NA,"John Gregg",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","EUROPE",NA,"468057",NA,NA,NA,"BOT","1055677417","9aa1b2ca-b008-4195-a9f5-18926ad59fcc",NA,"BM000953766","NHMUK",NA,NA,NA,"Eugenia greggii (Sw.) Poir.","17abcf75-2f1e-46dd-bf75-a5b21dd02655,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,NA,NA,NA,"North America; Dominican Republic","1d808a7c-1f9e-4379-9616-edb749ecf10e","8bb3763f-955c-4791-8777-44de1996b378","s.n.",NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TYPE",NA,"s.n.",NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:468057","{""associatedMediaCount"": 1, ""barcode"": null, ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": ""Sheet"", ""collectionName"": null, ""commodity"": null, ""created"": 1233328845000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Eugenia gregii (Sw.) Poir."", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055677417"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""TAXON_MATCH_FUZZY""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": ""GPI Georeferencing"", ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""Gen Herb"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}",NA,NA,NA,NA,"https://data.nhm.ac.uk/media/386a8844-5652-4820-b5d7-af54ca418501"
