"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","verbatimEventDate","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","bibliographicCitation","name","identifiedBy","dateIdentified","modified","datasetName","otherCatalogNumbers","institutionID","gadm","georeferenceProtocol","eventRemarks","higherClassification","georeferencedBy","georeferencedDate","georeferenceVerificationStatus","georeferenceRemarks","references","preparations","nomenclaturalCode","county","language","type","verbatimElevation","collectionID","higherGeography","habitat","coordinateUncertaintyInMeters","georeferenceSources","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","reproductiveCondition","dynamicProperties","fieldNumber","verbatimLocality","recordedByIDs.type","recordedByIDs.value","locationRemarks","identificationRemarks","typeStatus","typifiedName","media_url","license"
"2996050027","Eugenia pistaciifolia DC.",-11.489722,-41.331111,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:36.260+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",466.5,466.5,"SOUTH_AMERICA","Bahia",2019,5,19,"2019-05-19",139,139,"2024-07-01T12:17:36.260+00:00",FALSE,"5541054","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Lucresia, L;Alunos de Botânica BIOC05","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","29","5541054","19/05/2019","Morro do Chapéu","Propriedade privada na beira da Estrada","ALCB","2996050027","5541054","ALCB065246","ALCB","ca. 2m alt. Folhas discolores, estéril. Crescendo em areia.","ca. 2m alt. Folhas discolores, estéril. Crescendo em areia.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5541054","Eugenia pistaciifolia DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/52/46/alcb00065246.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996076144","Eugenia pistaciifolia DC.",-13.602222,-41.797222,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:56.546+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",522.5,522.5,"SOUTH_AMERICA","Bahia",2018,1,25,"2018-01-25",25,25,"2024-07-01T12:17:56.546+00:00",FALSE,"5268546","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lucresia, L","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","482","5268546","25/01/2018","Mucugê","Ponto03 - Estrada para Guiné","ALCB","2996076144","5268546","ALCB059784","ALCB","Ca. 1m. folhas discolores, frutos amarelos, laranjas e vermelhos quando maduros.","Ca. 1m. folhas discolores, frutos amarelos, laranjas e vermelhos quando maduros.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5268546","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/97/84/alcb00059784.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996075674","Eugenia pistaciifolia DC.",-13.506111,-41.914167,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:56.328+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",602.5,602.5,"SOUTH_AMERICA","Bahia",2018,1,26,"2018-01-26",26,26,"2024-07-01T12:17:56.328+00:00",FALSE,"5268617","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lucresia, L","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","531","5268617","26/01/2018","Mucugê","P48 - Extração de Terra, rodeado por Gerais","ALCB","2996075674","5268617","ALCB059827","ALCB","ca. 50cm. Folhas discolores. Frutos verdes.","ca. 50cm. Folhas discolores. Frutos verdes.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5268617","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/98/27/alcb00059827.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071774","Eugenia pistaciifolia DC.",-14,-42,"cdc,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.958+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Bahia",2015,5,13,"2015-05-13",133,133,"2024-07-01T12:17:52.958+00:00",FALSE,"5154789","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Coelho, J,Santana, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","317","5154789","13/05/2015","Licínio de Almeida","Caminho para o cachoeirão","ALCB","2996071774","5154789","ALCB045514","ALCB","ca. 1,6m alt. Folhas levemente discolores. Sépalas verdes, pétalas e filetes alvos.","ca. 1,6m alt. Folhas levemente discolores. Sépalas verdes, pétalas e filetes alvos.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154789","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/55/14/alcb00045514.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071682","Eugenia pistaciifolia DC.",-14.516111,-42.533056,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.899+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",386,386,"SOUTH_AMERICA","Bahia",2014,5,29,"2014-05-29",149,149,"2024-07-01T12:17:52.899+00:00",FALSE,"5154738","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Alves, R,Lopes, R,Coelho, J","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","217","5154738","29/05/2014","Licínio de Almeida","Sete quedas","ALCB","2996071682","5154738","ALCB045463","ALCB","ca. 2m alt. Folhas discolores. Frutos verdes, amarelos a vermelhos quando maduros.","ca. 2m alt. Folhas discolores. Frutos verdes, amarelos a vermelhos quando maduros.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154738","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/54/63/alcb00045463.dzi","http://creativecommons.org/licenses/by/4.0/"
"4900579815","Eugenia pistaciifolia DC.",-12.708889,-41.333333,"cdc,cdround,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:56.138+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Bahia",2014,5,3,"2014-05-03",123,123,"2024-07-01T12:17:56.138+00:00",FALSE,"6268358","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Guedes, ML;Medeiros, A,Alunos de Microbiologia de Adriana","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","21694","6268358","03/05/2014","Andaraí","Chapada Diamantina, Caminho para Marimbús.","ALCB","4900579815","6268358","ALCB00058048","ALCB","Folhas  coriáceas, discolores. Frutos imaturos verdes, 'de vez'  laranja e maduros vermelhos.","Folhas  coriáceas, discolores. Frutos imaturos verdes, 'de vez'  laranja e maduros vermelhos.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6268358","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/80/48/alcb00058048.dzi","http://creativecommons.org/licenses/by/4.0/"
"1424464527","Eugenia pistaciifolia DC.",-18.996111,-40.653611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:42.932+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",143,NA,"SOUTH_AMERICA","Espírito Santo",2013,4,21,"2013-04-21",111,111,"2024-08-01T12:21:42.932+00:00",FALSE,"urn:catalog:JBRJ:RB:813550","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"M.O.O. Pellegrini; J.A. Oliveira & R.C. Forzza","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","359","urn:catalog:JBRJ:RB:813550",NA,"Águia Branca","Santa Luzia. Inselbergue com Alcantarea, propr.: Ciro Ferreira.","RB","1424464527","urn:catalog:JBRJ:RB:813550","RB00813550","JBRJ",NA,"Arbusto ca. 3m alt., flores alvas.",NA,"Eugenia pistaciifolia DC.","M. Sobral","2015-06-24T00:00:00","2017-10-18T18:21:03.000+00:00","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 586114","04.936.616/0001-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/81/35/50/00813550.jpg","http://creativecommons.org/licenses/by/4.0/"
"2996071674","Eugenia pistaciifolia DC.",-14.516944,-42.533333,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.876+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",378,378,"SOUTH_AMERICA","Bahia",2013,5,22,"2013-05-22",142,142,"2024-07-01T12:17:52.876+00:00",FALSE,"5154712","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Alves, M,Hurbath, F","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","150","5154712","22/05/2013","Licínio de Almeida","Trilha ao lado da 7 quedas","ALCB","2996071674","5154712","ALCB045437","ALCB","ca. 2 - 4m alt. Folhas discolores. Frutos imaturos amarelos, maduros vermelhos.","ca. 2 - 4m alt. Folhas discolores. Frutos imaturos amarelos, maduros vermelhos.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154712","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/54/37/alcb00045437.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996049002","Eugenia pistaciifolia DC.",-13,-41.366667,"cdc,cdround,gass84,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:35.541+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Bahia",2013,7,27,"2013-07-27",208,208,"2024-07-01T12:17:35.541+00:00",FALSE,"3741923","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Guedes, ML;Alunos de Botânica III","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","20852","3741923","27/07/2013","Chapada Diamantina","Mucugê, Mucugê caminho para Igatu, em lugares úmidos.","ALCB","2996049002","3741923","ALCB008653","ALCB","Folhas rígidas, discolores. Frutos verdes passando a laranja.","Folhas rígidas, discolores. Frutos verdes passando a laranja.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3741923","Eugenia pistaciifolia DC.","Stadnik, A","2017-12-28T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/0/86/53/alcb00008653.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071741","Eugenia pistaciifolia DC.",-14,-42,"cdc,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.937+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5417324,6,7707728,220,690,5014,3177662,5417324,5417324,"Eugenia pistaciifolia DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia pistaciifolia","Eugenia","pistaciifolia","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA","Bahia",2013,11,5,"2013-11-05",309,309,"2024-07-01T12:17:52.937+00:00",FALSE,"5154729","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Hurbath, F,Azevedo, FP,Silva, TTS","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","188","5154729","05/11/2013","Licínio de Almeida","Sete quedas","ALCB","2996071741","5154729","ALCB045454","ALCB","ca. 3m alt. Folhas discolores. Sépalas verdes, pétalas e filetes alvos.","ca. 3m alt. Folhas discolores. Sépalas verdes, pétalas e filetes alvos.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154729","Eugenia pistaciifolia DC.","Stadnik, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/54/54/alcb00045454.dzi","http://creativecommons.org/licenses/by/4.0/"
