"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","identificationQualifier","municipality","locality","gbifID","collectionCode","occurrenceID","name","elevation","fieldNotes","occurrenceRemarks","media_url","license"
"2412489967","Eugenia binata Mazine & Sobral",-22.960278,-43.230278,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:51.226+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9258916,6,7707728,220,690,5014,3177662,9258916,9258916,"Eugenia binata Mazine & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia binata","Eugenia","binata","SPECIES","ACCEPTED","NE","2022-06-01T00:00:00","SOUTH_AMERICA","Rio de Janeiro",2019,8,29,"2019-08-29",241,241,"2022-06-15T22:57:32.000+00:00","2024-08-01T12:21:51.226+00:00",FALSE,"urn:catalog:JBRJ:RB:1416991","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 792566","J.Külkamp; P.M.L. Santos","T. Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1076","urn:catalog:JBRJ:RB:1416991","RB01416991","04.936.616/0001-20","JBRJ","cf.","Rio de Janeiro","Mata do Jardim Botânico, Trilha para a cachoeira dos primatas. Borda da trilha, 20 metros antes da cachoeira. Parque Nacional da Tijuca","2412489967","RB","urn:catalog:JBRJ:RB:1416991","Eugenia binata Mazine & Sobral",NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/41/69/91/01416991.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424421765","Eugenia binata Mazine & Sobral",-22.922778,-42.999444,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:44.913+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9258916,6,7707728,220,690,5014,3177662,9258916,9258916,"Eugenia binata Mazine & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia binata","Eugenia","binata","SPECIES","ACCEPTED","NE","2022-06-07T00:00:00","SOUTH_AMERICA","Rio de Janeiro",2007,4,21,"2007-04-21",111,111,"2022-06-15T22:55:07.000+00:00","2024-08-01T12:21:44.913+00:00",FALSE,"urn:catalog:JBRJ:RB:722742","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 554662","A.A.M. de Barros; L.J.S. Pinto, B. de A. Alves","J. Bragança","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2837","urn:catalog:JBRJ:RB:722742","RB00722742","04.936.616/0001-20","JBRJ","aff.","Niterói","Engenho do Mato, Morro do Cordovil, Vale das Borboletas, Trilha da Jararaca. Parque Estadual da Serra da Tiririca","1424421765","RB","urn:catalog:JBRJ:RB:722742","Eugenia binata Mazine & Sobral",166,"Mata Atlântica, Floresta Ombrófila Densa Submontana","Arvoreta com cerca de 5 m de altura, DAP 17 cm , ciófila, folhas membranáceas discolores verdes com óleo essencial, botões vináceos","http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/72/27/42/00722742.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424421397","Eugenia binata Mazine & Sobral",-22.9225,-42.999444,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:42.175+00:00",520,"PRESERVED_SPECIMEN","PRESENT",9258916,6,7707728,220,690,5014,3177662,9258916,9258916,"Eugenia binata Mazine & Sobral","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia binata","Eugenia","binata","SPECIES","ACCEPTED","NE","2022-06-07T00:00:00","SOUTH_AMERICA","Rio de Janeiro",2007,7,7,"2007-07-07",188,188,"2022-06-15T22:53:43.000+00:00","2024-08-01T12:21:42.175+00:00",FALSE,"urn:catalog:JBRJ:RB:722202","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 554293","A.A.M. de Barros; B. de A. Alves & M. Pontes","J. Bragança","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2899","urn:catalog:JBRJ:RB:722202","RB00722202","04.936.616/0001-20","JBRJ","aff.","Niterói","Egenho do Mato, Parque Estadual da Serra da Tiririca, Morro do Cordovil, Vale das Borboletas, trilha da Jararaca.","1424421397","RB","urn:catalog:JBRJ:RB:722202","Eugenia binata Mazine & Sobral",204,"Mata  Atlântica, floresta ombrófila densa submontana.","Arbusto com cerca de 2,0m de altura, ciófilo, folhas cartáceas discolores verdes com óleo essencial, frutos verdes.","http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/72/22/2/00722202.jpg","http://creativecommons.org/licenses/by/4.0/"
