"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","references","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","recordedBy","preparations","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","nomenclaturalCode","verbatimEventDate","locality","collectionCode","gbifID","language","occurrenceID","type","catalogNumber","institutionCode","collectionID","name","networkKeys","individualCount","higherGeography","modified","island","higherClassification","decimalLatitude","decimalLongitude","geodeticDatum","georeferencedDate","georeferenceProtocol","georeferenceSources","media_url"
"1928815712","Eugenia cycloidea Urb.","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:31.481+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418011,6,7707728,220,690,5014,3177662,5418011,5418011,"Eugenia cycloidea Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cycloidea","Eugenia","cycloidea","SPECIES","ACCEPTED","NE","NORTH_AMERICA",NA,NA,1945,11,NA,"1945-11-03/1945-11-18",307,322,"2024-07-21T05:15:31.481+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679546","http://creativecommons.org/licenses/by/4.0/",FALSE,"4a13137d-4619-4605-b683-89d3567cf38f","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",FALSE,"Vascular plants","J. B. Acuña Gale","sheet","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","The New York Botanical Garden","13236","4a13137d-4619-4605-b683-89d3567cf38f","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","03 Nov 1945 - 18 Nov 1945","Oriente: Breñales de Playa Vaca, Moa","NY","1928815712","en","4a13137d-4619-4605-b683-89d3567cf38f","PhysicalObject","01435689","NY","http://biocol.org/urn:lsid:biocol.org:col:15556","Eugenia cycloidea Urb.",NA,NA,NA,NA,NA,NA,20.685108,-74.967028,"WGS84","2016-11-22","Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2016), Manis Georef. Calculator","http://sweetgum.nybg.org/images3/477/963/v-247-01435689.jpg"
"1928104134","Eugenia cycloidea Urb.","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:28.883+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418011,6,7707728,220,690,5014,3177662,5418011,5418011,"Eugenia cycloidea Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cycloidea","Eugenia","cycloidea","SPECIES","ACCEPTED","NE","NORTH_AMERICA","Holguín",NA,1942,3,26,"1942-03-26",85,85,"2024-07-21T05:13:28.883+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679549","http://creativecommons.org/licenses/by/4.0/",FALSE,"17e206bf-c4e4-4113-a669-95ad6fd6bbd6","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",FALSE,"Vascular plants","Fr. León","sheet","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","The New York Botanical Garden","20771","17e206bf-c4e4-4113-a669-95ad6fd6bbd6","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","26 Mar 1942","Moa, Or.","NY","1928104134","en","17e206bf-c4e4-4113-a669-95ad6fd6bbd6","PhysicalObject","1435690","NY","http://biocol.org/urn:lsid:biocol.org:col:15556","Eugenia cycloidea Urb.",NA,NA,NA,NA,NA,NA,20.576659,-74.894582,"WGS84","2016-08-08","Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2016), Manis Georef. Calculator","http://sweetgum.nybg.org/images3/477/964/v-247-01435690.jpg"
"1929836767","Eugenia cycloidea Urb.","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:14.058+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418011,6,7707728,220,690,5014,3177662,5418011,5418011,"Eugenia cycloidea Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cycloidea","Eugenia","cycloidea","SPECIES","ACCEPTED","NE","NORTH_AMERICA","Holguín",NA,1942,7,NA,"1942-07",NA,NA,"2024-07-21T05:14:14.058+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679552","http://creativecommons.org/licenses/by/4.0/",FALSE,"9283e143-2b93-4667-86b8-cc3037f70f9a","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants","V. Montero","sheet","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","The New York Botanical Garden","21118","9283e143-2b93-4667-86b8-cc3037f70f9a","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","Jul 1942","Cerro de Miraflores, Cananova. Or.","NY","1929836767","en","9283e143-2b93-4667-86b8-cc3037f70f9a","PhysicalObject","1435693","NY","http://biocol.org/urn:lsid:biocol.org:col:15556","Eugenia cycloidea Urb.",NA,NA,NA,NA,NA,NA,20.617629,-75.039103,"WGS84","2017-03-08","Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2017); MaNIS Georef. Calculator","http://sweetgum.nybg.org/images3/477/967/v-247-01435693.jpg"
"1929672183","Eugenia cycloidea Urb.","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:14.477+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418011,6,7707728,220,690,5014,3177662,5418011,5418011,"Eugenia cycloidea Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cycloidea","Eugenia","cycloidea","SPECIES","ACCEPTED","NE","NORTH_AMERICA",NA,NA,1939,NA,NA,"1939-05/1939-08",NA,NA,"2024-07-21T05:14:14.477+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1679550","http://creativecommons.org/licenses/by/4.0/",FALSE,"86d526f7-4ff0-4987-bbd9-af1af20ed7bd","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",FALSE,"Vascular plants","G. C. Bucher","sheet","Magnoliopsida","CU","none","none","LATIN_AMERICA","Cuba","NORTH_AMERICA","The New York Botanical Garden","48","86d526f7-4ff0-4987-bbd9-af1af20ed7bd","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","May 1939 - Aug 1939","Oriente: Moa, ORIENTE","NY","1929672183","en","86d526f7-4ff0-4987-bbd9-af1af20ed7bd","PhysicalObject","1435691","NY","http://biocol.org/urn:lsid:biocol.org:col:15556","Eugenia cycloidea Urb.",NA,NA,NA,NA,NA,NA,20.576659,-74.894582,"WGS84","2016-08-08","Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2016), Manis Georef. Calculator","http://sweetgum.nybg.org/images3/477/965/v-247-01435691.jpg"
