"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","class","recordedByIDs","identifiedByIDs","publishedByGbifRegion","rightsHolder","identifier.1","informationWithheld","http...unknown.org.nick","verbatimEventDate","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","identificationRemarks","http...unknown.org.captive","identificationID","name","decimalLatitude","decimalLongitude","networkKeys","elevation","continent","institutionKey","geodeticDatum","countryCode","gbifRegion","country","recordNumber","habitat","georeferenceProtocol","locality","eventRemarks","higherClassification","individualCount","stateProvince","higherGeography","collectionKey","institutionID","islandGroup","island","collectionID","preparations","nomenclaturalCode","language","type","lifeStage","media_url"
"912287101","Calyptranthes kiaerskovii Krug & Urb.","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:34.423+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3181378,6,7707728,220,690,5014,3173889,10796620,10796620,"Myrcia neokiaerskovii E.Lucas & K.Samra","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neokiaerskovii","Calyptranthes","kiaerskovii","SPECIES","SYNONYM","CR",NA,NA,"none",2002,12,5,"2002-12-05T00:00",339,339,NA,"2024-08-02T01:14:34.423+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"K000331700","none","none",FALSE,NA,"Pollard, B.J.","Pollard, B.J.","Magnoliopsida","none","none","EUROPE",NA,"K000331700",NA,NA,NA,"Herbarium","912287101","http://specimens.kew.org/herbarium/K000331700",NA,"K000331700","K",NA,NA,NA,NA,"Calyptranthes kiaerskovii Krug & Urb.",18.485,-64.686667,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",380,"NORTH_AMERICA","fa252605-26f6-426c-9892-94d071c2c77f","WGS84","VG","LATIN_AMERICA","Virgin Islands (British)","1194","Tropical dry forest.","label","Gorda Peak National Park.","Tree 5m., fruits black.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/0995ac3726c68118e9ff70441063e712.jpg"
"1318593105","Myrcia neokiaerskovii E.Lucas & K.Samra","gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:05.797+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10796620,6,7707728,220,690,5014,3173889,10796620,10796620,"Myrcia neokiaerskovii E.Lucas & K.Samra","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neokiaerskovii","Myrcia","neokiaerskovii","SPECIES","ACCEPTED","CR",NA,NA,NA,2001,7,12,"2001-07-12",193,193,"2023-11-08T10:36:00.000+00:00","2024-08-02T12:41:05.797+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/33d81bd57-7fb4-4797-85aa-0b338403c5a4","none","none",FALSE,"NMNH Extant Biology","P. Acevedo-Rodriguez & J. Silva",NA,"Magnoliopsida","none","none","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/33d81bd57-7fb4-4797-85aa-0b338403c5a4",NA,NA,"12 Jul 2001","US","1318593105","http://n2t.net/ark:/65665/33d81bd57-7fb4-4797-85aa-0b338403c5a4",NA,"US 3429243","US",NA,NA,NA,NA,"Myrcia neokiaerskovii E.Lucas & K.Samra",18.4022,-66.6425,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"NORTH_AMERICA","be5b9c72-e499-42b8-a5dc-c27505cf232e","WGS84","PR","LATIN_AMERICA","Puerto Rico","11715","Karst limestone hills; moist remnant forest.",NA,"Arecibo: 0.5 km S of Biáfara.",NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",1,"Arecibo","West Indies - Neotropics, Puerto Rico, Arecibo, Greater Antilles, Puerto Rico","151c91ba-a521-4735-8c11-5abf8db7fb67","urn:lsid:biocol.org:col:15463","Greater Antilles","Puerto Rico","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m34dd4c495-df3b-41ef-b05d-95b63ca542ee"
